K,m,v,q
10074093,123410-12,1886,1
10074093,123410-12,1887,1
10074143,111220-05,1888,1
10074217,151550-02,1889,1
10074217,151550-03,1890,1
10074217,151550-04,1891,1
10074217,151550-05,1892,1
10074217,151550-06,1893,1
10074287,100610-50,1894,1
10074287,100610-50,1895,1
10074287,100610-50,1896,1
10074287,100610-50,1897,1
10074299,151330-06,1898,1
10074299,151330-08,1899,1
10074444,124500-06,1900,1
10074454,151330-06,1901,1
10074454,151330-08,1902,1
10074572,110980-01,1903,1
10074572,110980-01,1904,1
10074572,110980-01,1905,1
10074572,110980-01,1906,1
10074716,112020-02,1907,1
10074826,135100-03,1908,1
10074884,123550-07,1909,1
10074927,135150-10,1910,1
10074927,135150-12,1911,1
10075141,111580-01,1912,1
10075141,111580-04,1913,1
10075303,151330-08,1914,1
10075331,111220-03,1915,1
10075331,111220-07,1916,1
10075343,123290-02,1917,1
10075402,123420-17,1918,1
10075511,110980-02,1919,1
10075658,111260-01,1920,1
10075798,135120-07,1921,1
10075809,135120-07,1922,1
10075810,135120-01,1923,1
10075817,135120-10,1924,1
10075869,124260-01,1925,1
10075916,123590-05,1926,1
10075916,123590-06,1927,1
10076068,111190-01,1928,1
10076068,111190-01,1929,1
10076068,111190-01,1930,1
10076068,111190-01,1931,1
10076068,111190-01,1932,1
10076069,110980-02,1933,1
10076069,111190-01,1934,1
10076069,111190-01,1935,1
10076070,110980-01,1936,1
10076070,110980-01,1937,1
10076070,110980-01,1938,1
10076070,110980-01,1939,1
10076070,110980-02,1940,1
10076071,110980-01,1941,1
10076071,110980-01,1942,1
10076071,110980-01,1943,1
10076071,110980-01,1944,1
10076071,111190-01,1945,1
10076071,111190-01,1946,1
10076071,111190-01,1947,1
10076071,111190-01,1948,1
10076072,110980-01,1949,1
10076072,110980-01,1950,1
10076072,110980-01,1951,1
10076072,110980-02,1952,1
10076072,111190-01,1953,1
10076072,111190-01,1954,1
10076072,111190-01,1955,1
10076073,111190-01,1956,1
10076073,111190-01,1957,1
10076073,111190-01,1958,1
10076074,111190-01,1959,1
10076074,111190-01,1960,1
10076074,111190-01,1961,1
10076074,111190-01,1962,1
10076074,111190-01,1963,1
10076125,123530-05,1964,1
10076126,123510-05,1965,1
10076196,110320-04,1966,1
10076235,123560-01,1967,1
10076235,123560-01,1968,1
10076275,123080-05,1969,1
10076417,110320-02,1970,1
10076425,111350-14,1971,1
10076425,111350-17,1972,1
10076484,111860-40,1973,1
10076780,123530-01,1974,1
10076850,123560-01,1975,1
10076922,123080-01,1976,1
10076964,124930-17,1977,1
10076964,124930-17,1978,1
10076964,124930-17,1979,1
10076964,124930-17,1980,1
10076964,124930-17,1981,1
10076964,124930-17,1982,1
10077024,123530-02,1983,1
10077071,100470-08,1984,1
10077072,100470-08,1985,1
10077072,100470-10,1986,1
10077073,100610-10,1987,1
10077093,111180-11,1988,1
10077093,111180-11,1989,1
10077149,135100-04,1990,1
10077202,123530-05,1991,1
10077205,123530-04,1992,1
10077239,110980-01,1993,1
10077239,110980-01,1994,1
10077239,110980-01,1995,1
10077239,110980-01,1996,1
10077239,111190-01,1997,1
10077239,111190-01,1998,1
10077239,111190-01,1999,1
10077239,111190-03,2000,1
10077239,111190-03,2001,1
10077278,111350-17,2002,1
10077278,111350-18,2003,1
10077278,111400-02,2004,1
10077278,111400-02,2005,1
10077348,123510-02,2006,1
10077426,123590-01,2007,1
10077426,123590-01,2008,1
10077451,124270-01,2009,1
10077490,111230-06,2010,1
10077490,111230-06,2011,1
10077514,151450-02,2012,1
10077606,135150-16,2013,1
10077723,151450-01,2014,1
10077801,124260-01,2015,1
10077801,124260-01,2016,1
10077801,124260-01,2017,1
10077955,110980-01,2018,1
10077955,110980-01,2019,1
10077955,110980-01,2020,1
10077955,111190-01,2021,1
10077955,111190-01,2022,1
10077955,111190-01,2023,1
10078236,136060-10,2024,1
10078279,123420-17,2025,1
10078308,123500-13,2026,1
10078334,123080-12,2027,1
10078334,123080-06,2028,1
10078423,111600-05,2029,1
10078596,110320-01,2030,1
10078614,110320-01,2031,1
10078623,110320-05,2032,1
10078634,123520-15,2033,1
10078682,111190-01,2034,1
10078682,111190-01,2035,1
10078682,111190-01,2036,1
10078682,111190-03,2037,1
10078682,111190-03,2038,1
10078988,110980-01,2039,1
10078988,110980-01,2040,1
10079216,111190-01,2041,1
10079216,111190-01,2042,1
10079231,123590-01,2043,1
10079231,123590-02,2044,1
10079313,124930-17,2045,1
10079313,124930-17,2046,1
10079411,123410-15,2047,1
10079429,100610-20,2048,1
10079726,111260-11,2049,1
10079792,123550-11,2050,1
10079828,111190-01,2051,1
10079828,111190-01,2052,1
10079859,123520-03,2053,1
10079859,123520-07,2054,1
10079931,123510-05,2055,1
10080123,110980-01,2056,1
10080123,110980-01,2057,1
10080123,110980-01,2058,1
10080123,110980-01,2059,1
10080123,110980-01,2060,1
10080123,110980-01,2061,1
10080123,110980-01,2062,1
10080123,110980-01,2063,1
10080123,110980-02,2064,1
10080123,110980-02,2065,1
10080123,110980-02,2066,1
10080123,110980-02,2067,1
10080123,110980-02,2068,1
10080123,110980-02,2069,1
10080149,140500-01,2070,1
10080289,135090-01,2071,1
10080336,110980-01,2072,1
10080448,123420-18,2073,1
10080448,123420-18,2074,1
10080496,111180-09,2075,1
10080496,111180-11,2076,1
10080496,111180-11,2077,1
10080646,135150-12,2078,1
10080654,135150-12,2079,1
10080689,135150-12,2080,1
10080690,135150-12,2081,1
10080691,135150-12,2082,1
10080692,135150-12,2083,1
10080694,135150-12,2084,1
10080696,135150-12,2085,1
10080697,135150-12,2086,1
10080698,135150-12,2087,1
10080702,123530-04,2088,1
10080775,123410-25,2089,1
10080779,123410-15,2090,1
10080779,123410-15,2091,1
10080798,123410-15,2092,1
10080798,123410-15,2093,1
10080798,123410-15,2094,1
10080901,135100-21,2095,1
10080901,135100-21,2096,1
10080978,111180-01,2097,1
10081053,100440-07,2098,1
10081062,124260-01,2099,1
10081266,110320-07,2100,1
10081315,110980-01,2101,1
10081315,110980-01,2102,1
10081315,110980-01,2103,1
10081315,110980-01,2104,1
10081315,110980-01,2105,1
10081315,110980-01,2106,1
10081315,110980-03,2107,1
10081315,111190-01,2108,1
10081315,111190-01,2109,1
10081315,111190-01,2110,1
10081315,111190-03,2111,1
10081316,110980-01,2112,1
10081316,110980-01,2113,1
10081316,110980-01,2114,1
10081316,110980-01,2115,1
10081316,110980-01,2116,1
10081316,110980-03,2117,1
10081316,111190-01,2118,1
10081316,111190-01,2119,1
10081316,111190-01,2120,1
10081316,111190-03,2121,1
10081352,124600-10,2122,1
10081373,124930-52,2123,1
10081385,124930-52,2124,1
10081481,123060-01,2125,1
10081481,123060-02,2126,1
10081481,123060-03,2127,1
10081481,123060-04,2128,1
10081492,135100-04,2129,1
10081541,110320-06,2130,1
10081542,110320-06,2131,1
10081624,134130-31,2132,1
10081624,134130-32,2133,1
10081708,123380-03,2134,1
10081708,123380-03,2135,1
10081708,123380-03,2136,1
10081708,123380-03,2137,1
10081708,123380-03,2138,1
10081708,123380-03,2139,1
10081708,123380-03,2140,1
10081708,123380-03,2141,1
10081833,124930-54,2142,1
10081833,124930-54,2143,1
10081835,151210-06,2144,1
10081917,124500-03,2145,1
10081917,124500-03,2146,1
10081917,124500-03,2147,1
10082136,151210-53,2148,1
10082187,111150-07,2149,1
10082187,111150-07,2150,1
10082235,111500-01,2151,1
10082342,135100-08,2152,1
10082342,135100-21,2153,1
10082355,135100-08,2154,1
10082355,135100-21,2155,1
10082360,111220-05,2156,1
10082372,123520-15,2157,1
10082411,123410-15,2158,1
10082444,110980-01,2159,1
10082467,100610-10,2160,1
10082468,100470-08,2161,1
10082469,100470-08,2162,1
10082486,111190-03,2163,1
10082532,112020-02,2164,1
10082536,100630-20,2165,1
10082541,100630-10,2166,1
10082569,124870-04,2167,1
10082596,123400-15,2168,1
10082858,151210-76,2169,1
10082858,151330-06,2170,1
10082913,111220-05,2171,1
10082944,111260-11,2172,1
10082944,111260-11,2173,1
10082972,110980-01,2174,1
10082972,110980-01,2175,1
10082972,110980-01,2176,1
10082972,110980-01,2177,1
10082972,111190-01,2178,1
10082972,111190-01,2179,1
10082972,111190-01,2180,1
10083117,100680-20,2181,1
10083122,151330-06,2182,1
10083190,123180-03,2183,1
10083427,123530-04,2184,1
10083708,123560-01,2185,1
10083708,123560-01,2186,1
10083708,123560-01,2187,1
10083799,111580-04,2188,1
10083829,111580-07,2189,1
10083872,110980-01,2190,1
10083872,110980-01,2191,1
10083872,110980-01,2192,1
10083872,110980-01,2193,1
10083872,110980-01,2194,1
10083872,111180-09,2195,1
10083932,151450-01,2196,1
10083935,110320-04,2197,1
10083935,110320-04,2198,1
10083973,123570-05,2199,1
10084106,100680-10,2200,1
10084121,111260-11,2201,1
10084121,111260-11,2202,1
10084321,123590-01,2203,1
10084321,123590-01,2204,1
10084321,123590-01,2205,1
10084321,123590-01,2206,1
10084334,123060-01,2207,1
10084334,123060-02,2208,1
10084334,123060-03,2209,1
10084334,123060-04,2210,1
10084364,124930-70,2211,1
10084364,124930-70,2212,1
10084393,123510-02,2213,1
10084555,123590-01,2214,1
10084593,123590-05,2215,1
10084596,123540-12,2216,1
10084624,111220-03,2217,1
10084756,100680-10,2218,1
10084841,135150-12,2219,1
10084925,136040-13,2220,1
10084926,151140-01,2221,1
10084926,151140-01,2222,1
10085070,134130-31,2223,1
10085089,110980-01,2224,1
10085107,135120-07,2225,1
10085108,135120-15,2226,1
10085388,151330-05,2227,1
10085415,112020-02,2228,1
10085539,110980-02,2229,1
10085539,110980-02,2230,1
10085548,123420-17,2231,1
10085653,151450-02,2232,1
10085701,111190-01,2233,1
10085701,111190-01,2234,1
10085701,111190-01,2235,1
10085701,111190-03,2236,1
10085708,123530-05,2237,1
10085796,111040-04,2238,1
10085796,111040-01,2239,1
10085842,111180-09,2240,1
10086057,123590-01,2241,1
10086120,111180-09,2242,1
10086120,111180-12,2243,1
10086120,111180-12,2244,1
10086130,111220-03,2245,1
10086130,111240-06,2246,1
10086190,124930-12,2247,1
10086190,124930-12,2248,1
10086190,124930-12,2249,1
10086190,124930-12,2250,1
10086190,124930-13,2251,1
10086190,124930-13,2252,1
10086190,124930-13,2253,1
10086190,124930-13,2254,1
10086190,124930-17,2255,1
10086190,124930-17,2256,1
10086190,124930-17,2257,1
10086190,124930-17,2258,1
10086324,111580-01,2259,1
10086660,111040-04,2260,1
10086660,111040-04,2261,1
10086660,111040-01,2262,1
10086722,151450-02,2263,1
10086775,111240-06,2264,1
10086821,123550-09,2265,1
10086876,100610-70,2266,1
10086877,100470-08,2267,1
10086915,111640-03,2268,1
10086915,111640-08,2269,1
10086950,124970-60,2270,1
10086960,123550-03,2271,1
10086960,123550-03,2272,1
10086961,123550-03,2273,1
10086961,123550-03,2274,1
10086963,135120-10,2275,1
10087059,151330-08,2276,1
10087071,111230-06,2277,1
10087071,111230-06,2278,1
10087119,111140-01,2279,1
10087140,110980-01,2280,1
10087140,110980-01,2281,1
10087140,110980-01,2282,1
10087140,110980-01,2283,1
10087140,110980-01,2284,1
10087140,110980-01,2285,1
10087140,110980-03,2286,1
10087140,111190-01,2287,1
10087140,111190-01,2288,1
10087140,111190-01,2289,1
10087151,110980-01,2290,1
10087151,110980-01,2291,1
10087151,110980-01,2292,1
10087151,110980-01,2293,1
10087151,110980-03,2294,1
10087184,123510-05,2295,1
10087187,111230-06,2296,1
10087187,111260-01,2297,1
10087187,111260-02,2298,1
10087394,123530-04,2299,1
10087394,123530-04,2300,1
10087509,123590-01,2301,1
10087509,123590-01,2302,1
10087667,123420-17,2303,1
10087855,124870-05,2304,1
10087856,124870-05,2305,1
10087992,111260-02,2306,1
10087992,111260-02,2307,1
10087992,111260-11,2308,1
10087992,111260-11,2309,1
10087997,123540-02,2310,1
10088013,100600-01,2311,1
10088015,100600-01,2312,1
10088021,111190-02,2313,1
10088092,111260-01,2314,1
10088092,111260-11,2315,1
10088092,111260-11,2316,1
10088134,123410-51,2317,1
10088146,111190-01,2318,1
10088146,111190-01,2319,1
10088146,111190-01,2320,1
10088146,111190-01,2321,1
10088146,111190-01,2322,1
10088146,111190-03,2323,1
10088146,111190-03,2324,1
10088146,111190-03,2325,1
10088210,111190-01,2326,1
10088210,111190-01,2327,1
10088210,111190-03,2328,1
10088210,111190-03,2329,1
10088477,110980-01,2330,1
10088477,110980-01,2331,1
10088477,110980-01,2332,1
10088477,110980-01,2333,1
10088477,110980-01,2334,1
10088477,110980-02,2335,1
10088477,110980-02,2336,1
10088500,111230-06,2337,1
10088500,111230-06,2338,1
10088651,135150-03,2339,1
10088735,123550-03,2340,1
10088735,123550-03,2341,1
10088759,135100-08,2342,1
10088759,135100-21,2343,1
10088833,110980-01,2344,1
10088833,110980-01,2345,1
10088833,110980-01,2346,1
10088833,110980-01,2347,1
10088833,111190-01,2348,1
10088833,111190-01,2349,1
10088833,111190-01,2350,1
10088833,111190-03,2351,1
10088926,110980-01,2352,1
10088926,110980-01,2353,1
10088926,111180-05,2354,1
10088926,111190-01,2355,1
10088926,111190-01,2356,1
10088926,111190-01,2357,1
10088926,111190-03,2358,1
10088927,110980-01,2359,1
10088927,110980-01,2360,1
10088927,110980-01,2361,1
10088927,110980-01,2362,1
10088927,111180-05,2363,1
10088931,111180-05,2364,1
10088931,111190-01,2365,1
10088931,111190-01,2366,1
10088931,111190-01,2367,1
10088986,100410-09,2368,1
10089008,124930-54,2369,1
10089008,124930-54,2370,1
10089184,123680-12,2371,1
10089368,100610-10,2372,1
10089368,100610-10,2373,1
10089368,100610-10,2374,1
10089368,100610-10,2375,1
10089368,100610-50,2376,1
10089368,100610-50,2377,1
10089368,100610-50,2378,1
10089368,100610-50,2379,1
10089368,100650-01,2380,1
10089392,124930-13,2381,1
10089392,124930-17,2382,1
10089392,124930-50,2383,1
10089392,124930-54,2384,1
10089403,100680-10,2385,1
10089438,151210-06,2386,1
10089440,111190-01,2387,1
10089440,111190-01,2388,1
10089440,111190-01,2389,1
10089444,111580-07,2390,1
10089481,124930-05,2391,1
10089481,124930-05,2392,1
10089545,123080-12,2393,1
10089545,123080-12,2394,1
10089545,123080-06,2395,1
10089545,123080-06,2396,1
10089601,123530-04,2397,1
10089662,111190-01,2398,1
10089748,111190-01,2399,1
10089804,123550-12,2400,1
10089831,123530-04,2401,1
10089831,123530-04,2402,1
10089832,123530-04,2403,1
10089832,123530-04,2404,1
10089938,123530-01,2405,1
10089951,123680-03,2406,1
10089951,123680-03,2407,1
10095046,111190-01,2408,1
10095046,111190-01,2409,1
10095046,111190-01,2410,1
10095144,135090-15,2411,1
10095145,135090-15,2412,1
10095146,151580-01,2413,1
10095146,151580-01,2414,1
10095146,151580-02,2415,1
10095146,151580-02,2416,1
10095146,151580-03,2417,1
10095146,151580-03,2418,1
10095146,151580-03,2419,1
10095146,151580-03,2420,1
10095147,151580-02,2421,1
10095147,151580-02,2422,1
10095147,151580-03,2423,1
10095147,151580-03,2424,1
10095147,151580-03,2425,1
10095147,151580-03,2426,1
10095148,151580-01,2427,1
10095148,151580-01,2428,1
10095155,135100-21,2429,1
10095167,135100-04,2430,1
10095240,111260-11,2431,1
10095240,111260-11,2432,1
10095275,135150-03,2433,1
10095303,151210-44,2434,1
10095384,110320-02,2435,1
10095618,124600-04,2436,1
10095618,124600-06,2437,1
10095682,110980-01,2438,1
10095682,110980-01,2439,1
10095682,110980-01,2440,1
10095682,110980-01,2441,1
10095735,111150-01,2442,1
10095735,111150-02,2443,1
10095736,111150-04,2444,1
10095803,124930-30,2445,1
10095837,111190-01,2446,1
10095837,111190-01,2447,1
10095837,111190-01,2448,1
10095844,110980-01,2449,1
10095844,110980-01,2450,1
10095844,110980-01,2451,1
10095844,110980-01,2452,1
10095844,110980-03,2453,1
10095849,123090-01,2454,1
10095849,123090-01,2455,1
10095852,111190-01,2456,1
10095852,111190-01,2457,1
10095856,151580-01,2458,1
10095856,151580-01,2459,1
10095878,111260-01,2460,1
10095915,124260-01,2461,1
10095994,110980-01,2462,1
10095994,110980-01,2463,1
10095994,110980-01,2464,1
10095994,110980-01,2465,1
10095994,110980-02,2466,1
10095994,110980-02,2467,1
10096123,111260-11,2468,1
10096123,111260-11,2469,1
10096247,111190-01,2470,1
10096247,111190-01,2471,1
10096247,111190-01,2472,1
10096247,111190-03,2473,1
10096275,111040-04,2474,1
10096275,111040-01,2475,1
10096281,123510-02,2476,1
10096282,123420-20,2477,1
10096297,123530-05,2478,1
10096297,123530-05,2479,1
10096334,123550-04,2480,1
10096334,123550-04,2481,1
10096334,123550-04,2482,1
10096345,135150-12,2483,1
10096426,110980-01,2484,1
10096426,110980-01,2485,1
10096426,110980-01,2486,1
10096426,110980-01,2487,1
10096427,135150-12,2488,1
10096457,123530-01,2489,1
10096457,123530-03,2490,1
10096575,140330-05,2491,1
10096599,135150-12,2492,1
10096601,135150-12,2493,1
10096602,111260-01,2494,1
10096602,111260-01,2495,1
10096602,111260-11,2496,1
10096602,111260-11,2497,1
10096604,135150-12,2498,1
10096620,100360-06,2499,1
10096716,111140-01,2500,1
10096718,135120-01,2501,1
10096728,110980-01,2502,1
10096728,110980-01,2503,1
10096728,110980-01,2504,1
10096728,110980-01,2505,1
10096728,110980-01,2506,1
10096728,111190-01,2507,1
10096728,111190-01,2508,1
10096728,111190-01,2509,1
10096728,111190-03,2510,1
10096850,124930-12,2511,1
10096850,124930-12,2512,1
10096850,124930-13,2513,1
10096850,124930-13,2514,1
10096860,110980-01,2515,1
10096860,110980-01,2516,1
10096860,110980-01,2517,1
10096860,110980-01,2518,1
10096860,111190-01,2519,1
10096894,100470-08,2520,1
10096959,100680-10,2521,1
10097089,100610-70,2522,1
10097091,123020-73,2523,1
10097098,111190-01,2524,1
10097098,111190-03,2525,1
10097098,111190-03,2526,1
10097125,135120-07,2527,1
10097260,100360-06,2528,1
10097316,111640-03,2529,1
10097402,135150-12,2530,1
10097432,123530-04,2531,1
10097475,111190-01,2532,1
10097475,111190-01,2533,1
10097475,111190-01,2534,1
10097475,111190-03,2535,1
10097505,123410-15,2536,1
10097565,111500-01,2537,1
10097600,124930-70,2538,1
10097600,124930-70,2539,1
10097740,123540-06,2540,1
10097803,124930-52,2541,1
10097803,124930-52,2542,1
10097808,110980-01,2543,1
10097808,110980-01,2544,1
10097808,110980-01,2545,1
10097808,110980-01,2546,1
10097808,111190-01,2547,1
10097919,124930-13,2548,1
10097919,124930-13,2549,1
10097919,124930-13,2550,1
10097919,124930-13,2551,1
10097919,124930-13,2552,1
10097919,124930-13,2553,1
10097919,124930-13,2554,1
10097919,124930-13,2555,1
10123558,134130-05,2556,1
10123885,134130-05,2557,1
10123885,134130-41,2558,1
10124196,134130-05,2559,1
10124639,134270-03,2560,1
10124888,134270-03,2561,1
10134407,134270-02,2562,1
10134408,134270-02,2563,1
10134410,134270-03,2564,1
10138795,134270-02,2565,1
10141654,134130-05,2566,1
10142212,134130-05,2567,1
10175465,134130-05,2568,1
10175465,134130-41,2569,1
10175466,134130-05,2570,1
10175467,134130-05,2571,1
10175467,134130-41,2572,1
10193317,134130-05,2573,1
10193336,134130-05,2574,1
10193370,134130-05,2575,1
10193372,134130-05,2576,1
10193373,134130-05,2577,1
10200021,123590-06,2578,1
10200021,123590-08,2579,1
10200358,111260-01,2580,1
10200389,124930-58,2581,1
10200397,111190-01,2582,1
10200397,111190-01,2583,1
10200397,111190-01,2584,1
10200423,111580-07,2585,1
10200486,123590-06,2586,1
10200685,135150-10,2587,1
10200729,100680-10,2588,1
10200730,100680-10,2589,1
10200732,100680-10,2590,1
10200778,100600-01,2591,1
10200837,111470-05,2592,1
10200841,111640-08,2593,1
10200990,111260-01,2594,1
10200990,111260-11,2595,1
10201018,111190-01,2596,1
10201018,111190-01,2597,1
10201018,111190-01,2598,1
10201018,111190-03,2599,1
10201018,111190-03,2600,1
10201074,123590-01,2601,1
10201074,123590-01,2602,1
10201074,123590-01,2603,1
10201074,123590-01,2604,1
10201117,111260-02,2605,1
10201117,111260-02,2606,1
10201117,111260-02,2607,1
10201120,110980-01,2608,1
10201120,110980-01,2609,1
10201120,110980-01,2610,1
10201120,110980-01,2611,1
10201120,110980-01,2612,1
10201120,111190-01,2613,1
10201120,111190-01,2614,1
10201120,111190-01,2615,1
10201120,111190-03,2616,1
10201120,111190-03,2617,1
10201152,110980-01,2618,1
10201152,110980-01,2619,1
10201152,110980-01,2620,1
10201152,110980-01,2621,1
10201152,111190-01,2622,1
10201153,110980-01,2623,1
10201153,110980-01,2624,1
10201153,110980-01,2625,1
10201153,110980-01,2626,1
10201153,111190-01,2627,1
10201153,111190-01,2628,1
10201153,111190-01,2629,1
10201154,110980-01,2630,1
10201154,110980-01,2631,1
10201154,110980-01,2632,1
10201154,110980-01,2633,1
10201176,123420-17,2634,1
10201189,100470-06,2635,1
10201189,100470-06,2636,1
10201216,110980-01,2637,1
10201216,110980-01,2638,1
10201341,112020-01,2639,1
10201342,112020-02,2640,1
10201370,111400-02,2641,1
10201370,111400-02,2642,1
10201370,111400-02,2643,1
10201370,111400-02,2644,1
10201370,111400-02,2645,1
10201370,111400-03,2646,1
10201370,111400-03,2647,1
10201370,111400-03,2648,1
10201370,111400-03,2649,1
10201370,111400-03,2650,1
10201370,111400-03,2651,1
10201370,111400-03,2652,1
10201370,111400-03,2653,1
10201370,111400-03,2654,1
10201370,111400-03,2655,1
10201370,111400-03,2656,1
10201370,111400-03,2657,1
10201370,111400-03,2658,1
10201370,111400-03,2659,1
10201370,111400-03,2660,1
10201370,111400-03,2661,1
10201370,111400-03,2662,1
10201370,111400-03,2663,1
10201370,111400-03,2664,1
10201533,111420-11,2665,1
10201549,123080-15,2666,1
10201554,124930-05,2667,1
10201630,111190-01,2668,1
10201630,111190-01,2669,1
10201630,111190-01,2670,1
10201631,111230-06,2671,1
10201631,111230-06,2672,1
10201631,111230-16,2673,1
10201631,111230-16,2674,1
10201647,100650-01,2675,1
10201669,111350-16,2676,1
10201669,111350-17,2677,1
10201669,111400-03,2678,1
10201720,112020-01,2679,1
10201765,111190-01,2680,1
10201765,111190-01,2681,1
10201765,111190-01,2682,1
10201790,135120-07,2683,1
10201798,111230-06,2684,1
10201798,111230-06,2685,1
10201835,100660-01,2686,1
10201835,100660-01,2687,1
10201910,135100-21,2688,1
10201941,123550-09,2689,1
10201966,123550-03,2690,1
10201966,123550-03,2691,1
10201997,140500-01,2692,1
10202061,124930-05,2693,1
10202061,124930-05,2694,1
10202079,111640-03,2695,1
10202079,111640-08,2696,1
10202113,123410-15,2697,1
10202135,111230-06,2698,1
10202135,111230-06,2699,1
10202137,135100-21,2700,1
10202166,123350-86,2701,1
10202170,123350-84,2702,1
10202171,125040-05,2703,1
10202203,111190-01,2704,1
10202203,111190-01,2705,1
10202203,111190-01,2706,1
10202203,111190-01,2707,1
10202324,123540-10,2708,1
10202334,111040-06,2709,1
10202391,123350-80,2710,1
10202392,123350-86,2711,1
10202393,123350-16,2712,1
10202394,123350-85,2713,1
10202410,123550-03,2714,1
10202410,123550-03,2715,1
10202469,135100-01,2716,1
10202469,135100-01,2717,1
10202470,135100-01,2718,1
10202470,135100-01,2719,1
10202507,111990-01,2720,1
10202507,111990-01,2721,1
10202507,111990-02,2722,1
10202508,111990-01,2723,1
10202508,111990-01,2724,1
10202508,111990-02,2725,1
10202509,111990-02,2726,1
10202510,111990-01,2727,1
10202510,111990-01,2728,1
10202511,111990-01,2729,1
10202511,111990-01,2730,1
10202512,111990-01,2731,1
10202512,111990-01,2732,1
10202512,111990-01,2733,1
10202512,111990-02,2734,1
10202513,111990-01,2735,1
10202513,111990-01,2736,1
10202513,111990-01,2737,1
10202513,111990-02,2738,1
10202515,111990-01,2739,1
10202515,111990-01,2740,1
10202515,111990-02,2741,1
10202574,111990-02,2742,1
10202575,111990-02,2743,1
10202576,111990-02,2744,1
10202584,123510-02,2745,1
10202625,134130-01,2746,1
10202681,111990-01,2747,1
10202681,111990-01,2748,1
10202682,111990-01,2749,1
10202682,111990-01,2750,1
10202683,111990-01,2751,1
10202683,111990-01,2752,1
10202683,111990-01,2753,1
10202683,111990-02,2754,1
10202684,111990-01,2755,1
10202684,111990-01,2756,1
10202684,111990-01,2757,1
10202684,111990-02,2758,1
10202685,111990-01,2759,1
10202685,111990-01,2760,1
10202685,111990-02,2761,1
10202686,111990-01,2762,1
10202686,111990-01,2763,1
10202686,111990-02,2764,1
10202704,110980-01,2765,1
10202704,110980-01,2766,1
10202704,110980-01,2767,1
10202704,110980-01,2768,1
10202704,110980-03,2769,1
10202704,111190-01,2770,1
10202704,111190-01,2771,1
10202704,111190-01,2772,1
10202705,110980-01,2773,1
10202705,110980-01,2774,1
10202705,111190-01,2775,1
10202705,111190-01,2776,1
10202705,111190-01,2777,1
10202790,111990-01,2778,1
10202790,111990-01,2779,1
10202792,111990-01,2780,1
10202792,111990-01,2781,1
10202793,111990-01,2782,1
10202793,111990-01,2783,1
10202794,111990-01,2784,1
10202794,111990-01,2785,1
10202794,111990-01,2786,1
10202794,111990-02,2787,1
10202795,111990-01,2788,1
10202795,111990-01,2789,1
10202795,111990-01,2790,1
10202795,111990-02,2791,1
10202851,111990-01,2792,1
10202851,111990-01,2793,1
10202851,111990-02,2794,1
10202852,111990-01,2795,1
10202852,111990-01,2796,1
10202852,111990-02,2797,1
10202854,111990-01,2798,1
10202854,111990-01,2799,1
10202855,111990-01,2800,1
10202855,111990-01,2801,1
10202855,111990-01,2802,1
10202855,111990-02,2803,1
10202856,111990-01,2804,1
10202856,111990-01,2805,1
10202856,111990-01,2806,1
10202856,111990-02,2807,1
10202858,111990-01,2808,1
10202858,111990-01,2809,1
10202858,111990-02,2810,1
10202861,111990-01,2811,1
10202861,111990-01,2812,1
10202861,111990-02,2813,1
10202864,111990-01,2814,1
10202864,111990-01,2815,1
10202865,111990-01,2816,1
10202865,111990-01,2817,1
10202865,111990-01,2818,1
10202865,111990-02,2819,1
10202866,111990-01,2820,1
10202866,111990-01,2821,1
10202866,111990-01,2822,1
10202866,111990-02,2823,1
10202867,111990-01,2824,1
10202867,111990-01,2825,1
10202867,111990-02,2826,1
10202892,123680-08,2827,1
10202948,134130-31,2828,1
10202948,134130-32,2829,1
10203138,123420-17,2830,1
10203212,111180-09,2831,1
10203212,111180-12,2832,1
10203212,111180-12,2833,1
10203227,135100-01,2834,1
10203254,111990-01,2835,1
10203254,111990-01,2836,1
10203255,111990-01,2837,1
10203255,111990-01,2838,1
10203256,111990-01,2839,1
10203256,111990-01,2840,1
10203256,111990-01,2841,1
10203256,111990-02,2842,1
10203257,111990-01,2843,1
10203257,111990-01,2844,1
10203257,111990-01,2845,1
10203257,111990-02,2846,1
10203258,111990-01,2847,1
10203258,111990-01,2848,1
10203258,111990-02,2849,1
10203259,111990-01,2850,1
10203259,111990-01,2851,1
10203259,111990-02,2852,1
10203260,111990-01,2853,1
10203260,111990-01,2854,1
10203260,111990-02,2855,1
10203264,111990-01,2856,1
10203264,111990-01,2857,1
10203265,111990-01,2858,1
10203266,111990-01,2859,1
10203311,110980-01,2860,1
10203311,110980-01,2861,1
10203311,110980-01,2862,1
10203311,110980-01,2863,1
10203312,110980-01,2864,1
10203312,110980-01,2865,1
10203312,110980-01,2866,1
10203312,110980-01,2867,1
10203376,100680-10,2868,1
10203376,100680-10,2869,1
10203412,123590-04,2870,1
10203459,100630-30,2871,1
10203468,140040-10,2872,1
10203483,123350-83,2873,1
10203484,123350-82,2874,1
10203517,111190-01,2875,1
10203517,111190-01,2876,1
10203517,111190-01,2877,1
10203517,111190-03,2878,1
10203546,111150-01,2879,1
10203546,111150-01,2880,1
10203546,111150-01,2881,1
10203546,111150-01,2882,1
10203546,111150-01,2883,1
10203546,111150-01,2884,1
