K,Q_max
10006350,1000000
10006351,1000000
10006356,1000000
10006386,1000000
10006433,1000000
10006561,1000000
10006697,1000000
10006796,1000000
10006855,1000000
10006906,1000000
10006961,1000000
10006967,1000000
10007003,1000000
10007045,1000000
10007061,1000000
10007079,1000000
10007079,1000000
10007102,1000000
10007141,1000000
10007142,1000000
10007144,1000000
10007144,1000000
10007227,1000000
10007287,1000000
10007402,1000000
10007402,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007575,1000000
10007751,1000000
10007777,1000000
10007780,1000000
10007780,1000000
10007932,1000000
10007932,1000000
10007968,1000000
10007968,1000000
10007968,1000000
10007979,1000000
10007979,1000000
10007979,1000000
10007979,1000000
10007979,1000000
10007979,1000000
10007979,1000000
10007987,1000000
10008026,1000000
10008111,1000000
10008111,1000000
10008122,1000000
10008124,1000000
10008142,1000000
10008224,1000000
10008284,1000000
10008284,1000000
10008321,1000000
10008350,1000000
10008352,1000000
10008355,1000000
10008372,1000000
10008425,1000000
10008444,1000000
10008444,1000000
10008775,1000000
10008775,1000000
10008775,1000000
10008775,1000000
10008869,1000000
10008869,1000000
10008869,1000000
10008869,1000000
10008869,1000000
10008869,1000000
10008869,1000000
10008869,1000000
10008995,1000000
10008995,1000000
10009291,1000000
10009397,1000000
10009397,1000000
10009397,1000000
10009397,1000000
10009482,1000000
10009490,1000000
10009668,1000000
10009700,1000000
10009700,1000000
10009946,1000000
10009994,1000000
10009994,1000000
10010138,1000000
10010175,1000000
10010189,1000000
10010189,1000000
10010189,1000000
10010189,1000000
10010278,1000000
10010278,1000000
10010278,1000000
10010278,1000000
10010278,1000000
10010278,1000000
10010311,1000000
10010329,1000000
10010385,1000000
10010547,1000000
10010562,1000000
10010562,1000000
10010562,1000000
10010562,1000000
10010598,1000000
10010680,1000000
10010680,1000000
10010697,1000000
10010742,1000000
10010755,1000000
10010755,1000000
10010953,1000000
10010953,1000000
10010953,1000000
10010953,1000000
10010953,1000000
10010953,1000000
10010953,1000000
10010953,1000000
10010953,1000000
10010960,1000000
10010960,1000000
10010978,1000000
10010978,1000000
10010978,1000000
10010978,1000000
10010979,1000000
10010979,1000000
10010979,1000000
10010979,1000000
10011097,1000000
10011211,1000000
10011214,1000000
10011241,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011296,1000000
10011329,1000000
10011338,1000000
10011467,1000000
10011514,1000000
10011566,1000000
10011664,1000000
10011664,1000000
10011844,1000000
10011844,1000000
10011844,1000000
10011844,1000000
10011844,1000000
10011844,1000000
10011884,1000000
10011884,1000000
10011884,1000000
10011884,1000000
10011930,1000000
10011993,1000000
10012005,1000000
10012063,1000000
10012221,1000000
10012221,1000000
10012233,1000000
10012263,1000000
10012293,1000000
10012293,1000000
10012293,1000000
10012336,1000000
10012384,1000000
10012385,1000000
10012385,1000000
10012422,1000000
10012422,1000000
10012569,1000000
10012569,1000000
10012587,1000000
10012587,1000000
10012587,1000000
10012630,1000000
10012680,1000000
10012680,1000000
10012680,1000000
10012699,1000000
10012699,1000000
10012746,1000000
10012746,1000000
10012766,1000000
10012792,1000000
10012870,1000000
10012918,1000000
10012983,1000000
10012983,1000000
10013116,1000000
10013116,1000000
10013130,1000000
10013130,1000000
10013130,1000000
10013228,1000000
10013242,1000000
10013354,1000000
10013360,1000000
10013481,1000000
10013481,1000000
10013481,1000000
10013610,1000000
10013726,1000000
10013791,1000000
10013791,1000000
10013914,1000000
10013987,1000000
10013990,1000000
10014326,1000000
10014333,1000000
10014357,1000000
10014361,1000000
10014361,1000000
10014374,1000000
10014496,1000000
10014529,1000000
10014597,1000000
10014688,1000000
10014758,1000000
10014806,1000000
10014806,1000000
10014827,1000000
10014827,1000000
10014969,1000000
10014969,1000000
10014969,1000000
10014994,1000000
10014994,1000000
10015098,1000000
10015136,1000000
10015141,1000000
10015141,1000000
10015141,1000000
10015141,1000000
10015141,1000000
10015241,1000000
10015258,1000000
10015264,1000000
10015267,1000000
10015287,1000000
10015430,1000000
10015436,1000000
10015436,1000000
10015455,1000000
10015456,1000000
10015469,1000000
10015469,1000000
10015469,1000000
10015469,1000000
10015469,1000000
10015469,1000000
10015469,1000000
10015469,1000000
10015469,1000000
10015469,1000000
10015469,1000000
10015508,1000000
10015544,1000000
10015581,1000000
10015690,1000000
10015690,1000000
10015691,1000000
10015696,1000000
10015715,1000000
10015715,1000000
10015715,1000000
10015715,1000000
10015715,1000000
10015750,1000000
10015781,1000000
10015911,1000000
10015928,1000000
10016000,1000000
10016035,1000000
10016035,1000000
10016035,1000000
10016035,1000000
10016035,1000000
10016035,1000000
10016056,1000000
10016056,1000000
10016056,1000000
10016057,1000000
10016057,1000000
10016057,1000000
10016057,1000000
10016057,1000000
10016057,1000000
10016057,1000000
10016057,1000000
10016154,1000000
10016267,1000000
10016333,1000000
10016346,1000000
10016346,1000000
10016407,1000000
10016528,1000000
10016528,1000000
10016598,1000000
10016618,1000000
10016630,1000000
10016630,1000000
10016630,1000000
10016630,1000000
10016630,1000000
10016630,1000000
10016630,1000000
10016636,1000000
10016649,1000000
10016649,1000000
10016649,1000000
10016649,1000000
10016649,1000000
10016649,1000000
10016667,1000000
10016667,1000000
10016723,1000000
10016723,1000000
10016723,1000000
10016723,1000000
10016786,1000000
10016786,1000000
10016786,1000000
10016807,1000000
10016807,1000000
10016807,1000000
10016807,1000000
10016814,1000000
10016814,1000000
10016814,1000000
10016814,1000000
10016814,1000000
10016816,1000000
10016816,1000000
10016816,1000000
10016816,1000000
10016821,1000000
10016821,1000000
10016821,1000000
10016821,1000000
10016825,1000000
10016825,1000000
10016825,1000000
10016825,1000000
10016825,1000000
10016851,1000000
10016851,1000000
10016851,1000000
10016965,1000000
10016965,1000000
10016965,1000000
10016965,1000000
10016965,1000000
10016965,1000000
10016965,1000000
10016965,1000000
10016965,1000000
10016965,1000000
10016965,1000000
10016965,1000000
10016965,1000000
10016965,1000000
10016965,1000000
10017043,1000000
10017043,1000000
10017114,1000000
10017236,1000000
10017236,1000000
10017261,1000000
10017275,1000000
10017329,1000000
10017329,1000000
10017329,1000000
10017329,1000000
10017329,1000000
10017329,1000000
10017329,1000000
10017329,1000000
10017329,1000000
10017329,1000000
10017329,1000000
10017362,1000000
10017366,1000000
10017373,1000000
10017377,1000000
10017415,1000000
10017437,1000000
10017458,1000000
10017473,1000000
10017495,1000000
10017518,1000000
10017526,1000000
10017526,1000000
10017526,1000000
10017545,1000000
10017619,1000000
10017634,1000000
10017634,1000000
10017634,1000000
10017634,1000000
10017668,1000000
10017720,1000000
10017720,1000000
10017720,1000000
10017720,1000000
10017727,1000000
10017735,1000000
10017735,1000000
10017769,1000000
10017769,1000000
10017769,1000000
10017769,1000000
10017769,1000000
10017769,1000000
10017769,1000000
10017769,1000000
10017769,1000000
10017770,1000000
10017770,1000000
10017770,1000000
10017770,1000000
10017770,1000000
10017770,1000000
10017770,1000000
10017778,1000000
10017778,1000000
10017781,1000000
10017794,1000000
10017794,1000000
10017826,1000000
10017830,1000000
10017848,1000000
10017848,1000000
10017848,1000000
10017848,1000000
10017850,1000000
10017850,1000000
10017850,1000000
10017850,1000000
10017859,1000000
10017859,1000000
10017859,1000000
10017859,1000000
10017860,1000000
10017860,1000000
10017860,1000000
10017860,1000000
10017904,1000000
10017904,1000000
10017904,1000000
10017904,1000000
10017904,1000000
10017924,1000000
10017924,1000000
10017924,1000000
10017924,1000000
10017924,1000000
10017925,1000000
10017925,1000000
10017925,1000000
10017925,1000000
10017925,1000000
10017927,1000000
10017927,1000000
10017927,1000000
10017927,1000000
10017927,1000000
10017937,1000000
10017954,1000000
10017954,1000000
10017954,1000000
10017954,1000000
10017954,1000000
10017955,1000000
10017955,1000000
10017955,1000000
10017955,1000000
10017955,1000000
10017956,1000000
10017956,1000000
10017956,1000000
10017956,1000000
10017956,1000000
10017956,1000000
10017956,1000000
10017956,1000000
10017956,1000000
10018039,1000000
10018113,1000000
10018113,1000000
10018113,1000000
10018113,1000000
10018113,1000000
10018113,1000000
10018209,1000000
10018209,1000000
10018209,1000000
10018209,1000000
10018209,1000000
10018209,1000000
10018209,1000000
10018312,1000000
10018369,1000000
10018369,1000000
10018369,1000000
10018474,1000000
10018641,1000000
10018641,1000000
10018649,1000000
10018649,1000000
10018649,1000000
10018649,1000000
10018718,1000000
10018719,1000000
10018741,1000000
10018741,1000000
10018741,1000000
10018741,1000000
10018741,1000000
10018770,1000000
10018770,1000000
10018799,1000000
10018821,1000000
10018823,1000000
10018866,1000000
10018887,1000000
10018889,1000000
10018889,1000000
10018920,1000000
10018920,1000000
10018927,1000000
10018932,1000000
10018952,1000000
10018952,1000000
10018952,1000000
10018952,1000000
10018952,1000000
10018952,1000000
10018958,1000000
10019023,1000000
10019023,1000000
10019023,1000000
10019086,1000000
10019147,1000000
10019261,1000000
10019261,1000000
10019261,1000000
10019261,1000000
10019270,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019284,1000000
10019320,1000000
10019320,1000000
10019348,1000000
10019410,1000000
10019448,1000000
10019451,1000000
10019451,1000000
10019451,1000000
10019451,1000000
10019451,1000000
10019451,1000000
10019490,1000000
10019490,1000000
10019490,1000000
10019490,1000000
10019490,1000000
10019504,1000000
10019504,1000000
10019504,1000000
10019540,1000000
10019699,1000000
10019699,1000000
10019699,1000000
10019699,1000000
10019699,1000000
10019770,1000000
10019844,1000000
10019947,1000000
10020052,1000000
10020074,1000000
10020097,1000000
10020100,1000000
10020101,1000000
10020108,1000000
10020175,1000000
10020204,1000000
10020273,1000000
10020317,1000000
10020342,1000000
10020342,1000000
10020408,1000000
10020431,1000000
10020445,1000000
10020486,1000000
10020539,1000000
10020539,1000000
10020557,1000000
10020648,1000000
10020780,1000000
10020881,1000000
10020903,1000000
10020917,1000000
10020920,1000000
10020938,1000000
10020940,1000000
10022257,1000000
10022275,1000000
10022300,1000000
10022315,1000000
10022460,1000000
10022470,1000000
10022552,1000000
10023190,1000000
10023245,1000000
10023290,1000000
10023539,1000000
10023644,1000000
10023648,1000000
10023667,1000000
10023698,1000000
10023724,1000000
10023743,1000000
10023770,1000000
10023914,1000000
10023917,1000000
10023921,1000000
10023956,1000000
10024051,1000000
10024051,1000000
10024070,1000000
10024070,1000000
10024071,1000000
10024071,1000000
10024095,1000000
10024241,1000000
10025098,1000000
10025131,1000000
10025195,1000000
10025283,1000000
10025286,1000000
10025290,1000000
10025294,1000000
10025298,1000000
10025306,1000000
10025325,1000000
10025348,1000000
10025358,1000000
10025358,1000000
10025358,1000000
10025358,1000000
10025358,1000000
10025358,1000000
10025475,1000000
10025481,1000000
10025484,1000000
10025497,1000000
10025497,1000000
10025562,1000000
10025568,1000000
10025575,1000000
10025620,1000000
10025650,1000000
10025654,1000000
10025654,1000000
10025655,1000000
10025659,1000000
10025677,1000000
10025677,1000000
10025677,1000000
10025677,1000000
10025728,1000000
10025738,1000000
10025781,1000000
10025781,1000000
10025796,1000000
10025800,1000000
10025948,1000000
10025951,1000000
10025983,1000000
10025995,1000000
10026039,1000000
10026039,1000000
10026054,1000000
10026098,1000000
10026112,1000000
10026118,1000000
10026158,1000000
10026171,1000000
10026171,1000000
10026218,1000000
10026221,1000000
10026257,1000000
10026285,1000000
10026381,1000000
10026442,1000000
10026570,1000000
10026692,1000000
10026698,1000000
10026720,1000000
10026751,1000000
10026775,1000000
10027029,1000000
10027055,1000000
10027127,1000000
10027128,1000000
10027132,1000000
10027135,1000000
10027211,1000000
10027211,1000000
10027212,1000000
10027213,1000000
10027214,1000000
10027215,1000000
10027238,1000000
10027258,1000000
10027401,1000000
10027438,1000000
10027465,1000000
10027562,1000000
10027616,1000000
10027723,1000000
10028021,1000000
10028039,1000000
10028042,1000000
10028178,1000000
10028211,1000000
10033102,1000000
10033314,1000000
10035085,1000000
10035143,1000000
10035202,1000000
10035222,1000000
10035275,1000000
10035275,1000000
10035275,1000000
10047098,1000000
10047229,1000000
10047699,1000000
10048003,1000000
10049482,1000000
10049891,1000000
10055820,1000000
10058137,1000000
10060021,1000000
10060026,1000000
10060026,1000000
10060027,1000000
10060027,1000000
10060028,1000000
10060159,1000000
10060177,1000000
10060177,1000000
10060177,1000000
10060177,1000000
10060177,1000000
10060178,1000000
10060178,1000000
10060178,1000000
10060178,1000000
10060178,1000000
10060180,1000000
10060180,1000000
10060180,1000000
10060180,1000000
10060180,1000000
10060203,1000000
10060203,1000000
10060203,1000000
10060203,1000000
10060314,1000000
10060364,1000000
10060496,1000000
10060564,1000000
10060566,1000000
10060568,1000000
10060583,1000000
10060650,1000000
10060690,1000000
10060690,1000000
10060693,1000000
10060728,1000000
10060744,1000000
10060744,1000000
10060839,1000000
10060848,1000000
10060848,1000000
10060848,1000000
10060860,1000000
10060860,1000000
10060871,1000000
10060919,1000000
10060925,1000000
10060925,1000000
10060991,1000000
10060991,1000000
10061001,1000000
10061054,1000000
10061054,1000000
10061054,1000000
10061054,1000000
10061083,1000000
10061083,1000000
10061083,1000000
10061191,1000000
10061192,1000000
10061313,1000000
10061329,1000000
10061404,1000000
10061411,1000000
10061412,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061422,1000000
10061431,1000000
10061431,1000000
10061431,1000000
10061431,1000000
10061431,1000000
10061482,1000000
10061584,1000000
10061673,1000000
10061673,1000000
10061683,1000000
10061696,1000000
10061700,1000000
10061700,1000000
10061757,1000000
10061761,1000000
10061847,1000000
10061950,1000000
10061959,1000000
10061977,1000000
10062021,1000000
10062060,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062070,1000000
10062101,1000000
10062228,1000000
10062228,1000000
10062228,1000000
10062297,1000000
10062304,1000000
10062351,1000000
10062409,1000000
10062409,1000000
10062494,1000000
10062494,1000000
10062494,1000000
10062507,1000000
10062507,1000000
10062536,1000000
10062574,1000000
10062585,1000000
10062633,1000000
10062633,1000000
