K,P,C,r_y
10008019.0,123410-15_10000533_0110,108,-15.062999999999999
10016431.0,123410-15_10000533_0110,109,-5.316
10049129.0,123410-15_10000533_0110,110,-18.375
10084323.0,123410-15_10000533_0110,111,-29.936
10553867.0,123410-15_10000533_0110,112,-10.703
10700684.0,123410-15_10000533_0110,113,-16.692999999999998
10005004.0,111650-01_10000566_0100,114,5.1
10005769.0,111650-01_10000566_0100,115,1.5
10040997.0,111650-01_10000566_0100,116,-0.16
10221316.0,111650-01_10000566_0100,117,78.95
10559568.0,111650-01_10000566_0100,118,3.627
10598137.0,111650-01_10000566_0100,119,-197.115
10544630.0,111570-03_10000574_0200,120,-200.0
10002177.0,123540-05_10000579_0400,121,-54.0
10003689.0,123540-05_10000579_0400,122,-66.0
10002177.0,123540-08_10000579_0600,123,-47.0
10003689.0,123540-08_10000579_0600,124,-57.0
10000566.0,111040-06_10000585_0700,125,-106.5
10241246.0,111040-06_10000585_0700,126,47.0
10740689.0,111040-06_10000585_0700,127,0.82
10040997.0,111360-03_10000586_1000,128,-0.24
10564937.0,111360-03_10000586_1000,129,-125.625
10020938.0,135150-10_10000598_0900,130,-50.0
10047411.0,135150-10_10000598_0900,131,-50.0
10020938.0,135150-15_10000598_0600,132,-52.0
10205439.0,135150-15_10000598_0600,133,-48.0
10020938.0,135150-17_10000598_0800,134,-50.0
10047411.0,135150-17_10000598_0800,135,-50.0
10003689.0,110980-02_10000644_0701,136,-40.38
10007980.0,110980-02_10000644_0701,137,-0.115
10544332.0,110980-02_10000644_0701,138,-0.217
10937258.0,110980-02_10000644_0701,139,-36.32
10952769.0,110980-02_10000644_0701,140,-26.3
10003689.0,110980-02_10000647_0700,141,-62.97
10007980.0,110980-02_10000647_0700,142,-0.1
10533394.0,110980-02_10000647_0700,143,-37.46
10544332.0,110980-02_10000647_0700,144,-0.209
10003689.0,110980-02_10000647_0702,145,-62.97
10007980.0,110980-02_10000647_0702,146,-0.1
10533394.0,110980-02_10000647_0702,147,-37.46
10544332.0,110980-02_10000647_0702,148,-0.209
10001291.0,123510-02_10000685_1000,149,-0.327
10001731.0,123510-02_10000685_1000,150,-0.909
10002237.0,123510-02_10000685_1000,151,-1.818
10005561.0,123510-02_10000685_1000,152,-1.545
10047384.0,123510-02_10000685_1000,153,-45.455
10048102.0,123510-02_10000685_1000,154,-3.636
10400227.0,123510-02_10000685_1000,155,-1.091
10700684.0,123510-02_10000685_1000,156,-18.182000000000002
10592481.0,124600-06_10000691_0600,157,-102.0
10002820.0,123540-06_10000708_0200,158,-88.0
10553862.0,123540-06_10000708_0200,159,-13.0
10000476.0,111040-04_10000712_0200,160,-80.0
10006268.0,111040-04_10000712_0200,161,-35.6
10006356.0,111040-04_10000712_0200,162,-37.8
10000476.0,111040-01_10000712_0500,163,-80.0
10006268.0,111040-01_10000712_0500,164,-29.1
10006356.0,111040-01_10000712_0500,165,-36.4
10012918.0,151210-95_10000713_0200,166,17.1
10294341.0,151210-95_10000713_0200,167,0.2
10577602.0,151210-95_10000713_0200,168,-120.48200000000001
10002820.0,123540-08_10000714_0200,169,-61.0
10006356.0,123540-08_10000714_0200,170,-47.0
10544173.0,124600-07_10000715_0700,171,-109.574
10004196.0,151310-01_10000752_0400,172,-245.0
10003689.0,123530-05_10000756_0800,173,-46.17
10007980.0,123530-05_10000756_0800,174,-0.08
10047242.0,123530-05_10000756_0800,175,-53.28
10049560.0,123530-05_10000756_0800,176,-0.24
10544332.0,123530-05_10000756_0800,177,-0.24
10003689.0,123530-05_10000756_0801,178,-46.17
10007980.0,123530-05_10000756_0801,179,-0.08
10047242.0,123530-05_10000756_0801,180,-53.28
10049560.0,123530-05_10000756_0801,181,-0.24
10544332.0,123530-05_10000756_0801,182,-0.24
10003689.0,123530-05_10000756_0802,183,-46.17
10007980.0,123530-05_10000756_0802,184,-0.08
10047242.0,123530-05_10000756_0802,185,-53.28
10049560.0,123530-05_10000756_0802,186,-0.24
10544332.0,123530-05_10000756_0802,187,-0.24
10003689.0,110980-01_10000757_0700,188,-39.09
10007980.0,110980-01_10000757_0700,189,-0.061
10544332.0,110980-01_10000757_0700,190,-0.115
10937258.0,110980-01_10000757_0700,191,-60.92
10003689.0,110980-01_10000757_0703,192,-39.09
10007980.0,110980-01_10000757_0703,193,-0.061
10544332.0,110980-01_10000757_0703,194,-0.115
10937258.0,110980-01_10000757_0703,195,-60.92
10003689.0,110980-01_10000757_0707,196,-39.09
10007980.0,110980-01_10000757_0707,197,-0.061
10544332.0,110980-01_10000757_0707,198,-0.115
10937258.0,110980-01_10000757_0707,199,-60.92
10003689.0,110980-01_10000757_0708,200,-39.09
10007980.0,110980-01_10000757_0708,201,-0.061
10544332.0,110980-01_10000757_0708,202,-0.115
10937258.0,110980-01_10000757_0708,203,-60.92
10003689.0,110980-02_10000757_0200,204,-39.09
10007980.0,110980-02_10000757_0200,205,-0.061
10544332.0,110980-02_10000757_0200,206,-0.115
10937258.0,110980-02_10000757_0200,207,-60.92
10003689.0,110980-02_10000757_0201,208,-39.09
10007980.0,110980-02_10000757_0201,209,-0.061
10544332.0,110980-02_10000757_0201,210,-0.115
10937258.0,110980-02_10000757_0201,211,-60.92
10003689.0,110980-02_10000757_0202,212,-39.09
10007980.0,110980-02_10000757_0202,213,-0.061
10544332.0,110980-02_10000757_0202,214,-0.115
10937258.0,110980-02_10000757_0202,215,-60.92
10003689.0,110980-01_10000758_0700,216,-68.42
10004337.0,110980-01_10000758_0700,217,-0.61
10007980.0,110980-01_10000758_0700,218,-0.1
10049373.0,110980-01_10000758_0700,219,-31.73
10544332.0,110980-01_10000758_0700,220,-0.313
10003689.0,110980-01_10000758_0701,221,-68.42
10004337.0,110980-01_10000758_0701,222,-0.61
10007980.0,110980-01_10000758_0701,223,-0.1
10049373.0,110980-01_10000758_0701,224,-31.73
10544332.0,110980-01_10000758_0701,225,-0.313
10003689.0,110980-01_10000758_0703,226,-68.42
10004337.0,110980-01_10000758_0703,227,-0.61
10007980.0,110980-01_10000758_0703,228,-0.1
10049373.0,110980-01_10000758_0703,229,-31.73
10544332.0,110980-01_10000758_0703,230,-0.313
10003689.0,110980-01_10000758_0705,231,-68.42
10004337.0,110980-01_10000758_0705,232,-0.61
10007980.0,110980-01_10000758_0705,233,-0.1
10049373.0,110980-01_10000758_0705,234,-31.73
10544332.0,110980-01_10000758_0705,235,-0.313
10003689.0,110980-02_10000758_0200,236,-68.42
10004337.0,110980-02_10000758_0200,237,-0.61
10007980.0,110980-02_10000758_0200,238,-0.1
10049373.0,110980-02_10000758_0200,239,-31.73
10544332.0,110980-02_10000758_0200,240,-0.313
10003689.0,110980-02_10000758_0201,241,-68.42
10004337.0,110980-02_10000758_0201,242,-0.61
10007980.0,110980-02_10000758_0201,243,-0.1
10049373.0,110980-02_10000758_0201,244,-31.73
10544332.0,110980-02_10000758_0201,245,-0.313
10003689.0,110980-02_10000758_0202,246,-68.42
10004337.0,110980-02_10000758_0202,247,-0.61
10007980.0,110980-02_10000758_0202,248,-0.1
10049373.0,110980-02_10000758_0202,249,-31.73
10544332.0,110980-02_10000758_0202,250,-0.313
10003689.0,110980-01_10000761_0700,251,-80.78
10004337.0,110980-01_10000761_0700,252,-0.5
10007980.0,110980-01_10000761_0700,253,-0.1
10544332.0,110980-01_10000761_0700,254,-0.16899999999999998
10937250.0,110980-01_10000761_0700,255,-21.38
10003689.0,110980-01_10000761_0701,256,-80.78
10004337.0,110980-01_10000761_0701,257,-0.5
10007980.0,110980-01_10000761_0701,258,-0.1
10544332.0,110980-01_10000761_0701,259,-0.16899999999999998
10937250.0,110980-01_10000761_0701,260,-21.38
10003689.0,110980-01_10000761_0703,261,-80.78
10004337.0,110980-01_10000761_0703,262,-0.5
10007980.0,110980-01_10000761_0703,263,-0.1
10544332.0,110980-01_10000761_0703,264,-0.16899999999999998
10937250.0,110980-01_10000761_0703,265,-21.38
