P,u
111190-01_10001902_0101,42486.012
111190-01_10001902_0103,42486.012
111190-01_10001902_0111,42486.012
111190-03_10001902_0301,24601.776
111190-03_10001902_0302,24601.776
111600-01_10001908_0600,9000.0
111600-01_10001911_0500,15000.0
111600-01_10001912_0500,11000.004
100620-01_10001916_0210,1200.0
123080-01_10001922_0400,28138.8
111240-10_10001939_0100,480.0
111260-02_10001953_0500,194735.04280000002
111260-03_10001953_0510,86406.624
111700-09_10002089_0900,720.0
124500-03_10002097_0200,33699.99996
151550-02_10002117_0200,198504.0
135150-16_10002122_0800,351.0
123560-01_10002128_0100,150000.0
123560-01_10002128_0300,150000.0
123540-08_10002131_0300,21000.0
124600-12_10002141_0500,960.0
111040-04_10002153_0100,8037.252
111040-04_10002153_0300,8101.44
111040-01_10002153_0500,13301.004
111040-01_10002153_0400,10677.588
151550-03_10002160_0200,67999.2
123540-08_10002170_0300,21000.0
123540-08_10002172_0500,21000.0
151140-01_10002173_0300,275000.0
123560-01_10002174_0100,150000.0
123560-01_10002174_0300,150000.0
111040-05_10002177_0200,12196.8
123540-06_10002178_0200,15000.0
123540-10_10002196_0500,2400.0
123540-12_10002196_0600,1080.096
111650-03_10002207_0100,3000.0
151210-51_10002209_0500,73333.332
111040-04_10002211_0100,8037.252
111040-04_10002211_0300,8101.44
111040-01_10002211_0400,10677.588
111040-01_10002211_0500,13301.004
123560-01_10002237_1000,150000.0
123540-03_10002243_0200,6600.0
124260-14_10002244_0200,100005.336
151540-01_10002247_0110,99999.6
151540-02_10002247_0200,53600.004
124260-01_10002256_0100,10622.4
111040-05_10002258_0500,12204.72
111560-05_10002282_0200,13140.0
111640-07_10002682_0700,7149.99996
100680-10_10002714_0210,240.0
123540-14_10002736_0200,12499.995
111130-10_10002795_0100,83520.0
124930-17_10002815_1700,2273.688
124930-17_10002815_1710,2273.688
111140-01_10002820_0100,130554.792
123080-12_10002864_0300,900.0
123080-12_10002864_0400,6717.6
123080-15_10002864_0600,3110.004
123080-06_10002864_1300,900.0
123080-06_10002864_1400,6717.6
123180-04_10002923_0400,120000.0
151330-06_10002938_0200,5629.62
110320-04_10002939_0100,480.0
124870-05_10002994_0500,5066.988
111500-01_10003100_0200,5004.0
111190-01_10003110_0101,56235.816
111190-01_10003110_0106,56235.816
111190-01_10003110_0108,56235.816
135130-01_10003241_0100,6871.444896000001
123530-01_10003310_0500,5471.676
123530-04_10003310_0800,11639.172
124260-01_10003313_0300,10622.4
111470-02_10003320_0101,39125.004
151040-04_10003330_0402,1680.0
151040-11_10003330_0202,600.0
151550-04_10003331_0300,424995.996
151550-06_10003331_0600,9600.0
123530-04_10003335_0800,9485.16
111040-05_10003340_0500,12212.64
100610-10_10003344_0110,900.0030840000001
100470-08_10003345_0110,9000.0
100610-70_10003346_0110,1080.001476
100610-70_10003346_0200,1080.014796
135100-04_10003363_0100,1714.056
135100-21_10003363_0500,1159.644
124930-17_10003553_170A,5499.996
124930-17_10003553_170B,5499.996
124930-17_10003553_170C,5499.996
124930-17_10003553_171A,5499.996
124930-17_10003553_171B,5499.996
124930-17_10003553_171C,5499.996
124930-05_10003635_0500,13824.588
124930-05_10003635_0502,21510.468
111690-01_10003650_0200,86399.88
111700-03_10003670_0500,717.6
111130-04_10003685_0100,1790.004
111160-01_10003689_0401,313917.804
124260-04_10003712_0300,24999.996
123590-06_10003756_0300,5592.0
123590-06_10003756_0301,5592.0
124600-04_10003796_0400,733.333332
135130-25_10003826_0400,507.828
124600-10_10003860_0700,813.756
124600-10_10003860_0800,620.004
111150-01_10003895_0100,88245.0
151210-76_10003896_0200,12000.0
111150-01_10003901_0100,88245.0
111150-01_10003903_0100,88245.0
125040-05_10004034_0600,49.2
111130-02_10004144_0400,29856.876
111190-01_10004174_0101,31335.84
111190-01_10004174_0102,31335.84
111190-01_10004174_0103,31335.84
135090-11_10004193_0200,24000.0
100470-08_10004320_0110,9000.0
111130-02_10004337_0400,29856.876
162150-01_10004472_1000,667317.0732000001
151450-11_10004512_0100,3480.0
111350-16_10004573_6610,12000.0
111350-17_10004573_6710,12000.0
111400-03_10004573_4310,13200.0
110980-02_10004578_0700,21720.0
110980-02_10004578_0701,21720.0
100610-70_10004606_0200,324.00044399999996
140040-14_10004632_0200,436800.0
140040-15_10004632_0300,157248.0
140040-16_10004632_0100,436800.0
140040-22_10004632_0400,105120.0
123510-05_10004663_1000,6432.0
110980-01_10004665_0700,187920.0
110980-01_10004665_0702,187920.0
110980-01_10004665_0703,187920.0
110980-01_10004665_0705,187920.0
111190-01_10004665_0100,48065.328
111190-01_10004665_0101,48065.328
111190-01_10004665_0102,48065.328
111190-03_10004665_0300,66044.292
111190-03_10004665_0301,66044.292
111190-02_10004728_0100,14016.0
110980-01_10004729_0100,18840.0
110980-02_10004729_0200,18840.0
111580-04_10004776_0400,2846.256
123510-02_10004777_1000,9036.0
124930-58_10004808_2200,42000.0
151140-01_10004837_0100,370000.0
111150-01_10004843_0400,39960.0
111150-02_10004843_0100,40430.004
123530-05_10005056_0500,14154.324
111220-07_10005212_0700,5220.0
151210-53_10005214_0100,19999.992
134130-05_10005274_1400,2528.307696
123410-15_10005371_0500,18000.0
135130-25_10005418_0400,507.828
123410-23_10005473_0500,6000.0
123410-15_10005475_0400,23840.04
111500-01_10005489_0300,7119.0
100620-01_10005510_0210,1440.0789119999997
100680-20_10005513_0210,553.846152
100470-08_10005537_0110,9000.0
100470-08_10005538_0110,9000.0
111190-01_10005561_0101,35533.752
111190-01_10005561_0106,35533.752
111190-01_10005561_0107,35533.752
123420-17_10005594_0100,20192.712
124950-15_10005619_0200,5823.6
124950-15_10005619_0210,5823.6
124930-52_10005622_5200,36092.304
124930-52_10005681_5200,32067.372
124950-15_10005689_0300,5640.0
124950-15_10005689_0310,5640.0
135100-21_10005767_0500,629.304
135100-21_10005775_0600,887.064
135100-21_10005777_0500,957.6
123530-01_10005872_0500,5985.756
123530-03_10005872_0100,3980.052
110980-01_10006003_0700,66007.2
111190-01_10006003_0102,34607.04
111190-01_10006003_0103,34607.04
111190-01_10006003_0109,34607.04
111190-03_10006003_0300,33223.308
123540-05_10006066_0100,1956.0
123540-12_10006068_0100,972.0
110980-01_10006071_0703,79320.0
110980-01_10006071_0704,79320.0
100650-01_10006099_0210,360.00493200000005
100650-01_10006099_0220,360.00493200000005
135100-04_10006110_0500,1087.764
135100-21_10006110_0700,798.564
135100-04_10006190_0200,1569.756
135100-21_10006190_0500,1389.672
140040-13_10006244_0500,249998.4
162430-08_10006251_0700,140160.0
140040-25_10006268_0500,269990.4
140320-01_10006283_0400,986100.0
110980-02_10006314_0700,29280.0
110980-02_10006314_0701,29280.0
111580-04_10006350_0400,2678.82
111580-01_10006351_0500,6768.84
124260-14_10006356_0100,100005.336
124260-14_10006386_0100,100005.336
111600-03_10006433_0500,18800.004
123570-04_10006697_0400,11015.196
135100-21_10006796_0500,732.096
151450-02_10006855_0100,20880.0
123530-05_10006906_0800,5225.34
111480-01_10006961_0200,69600.0
151450-02_10006967_0100,15600.0
124600-04_10007003_0300,1139.4
123410-15_10007045_0200,54000.0
140040-20_10007061_0800,80010.0
100660-01_10007079_0310,600.0
100660-01_10007079_0320,600.0
135090-01_10007102_0400,305.4
135130-09_10007141_0200,1523.052
100410-09_10007142_0200,1950.0
124600-06_10007144_0600,1700.004
123080-06_10007144_0900,3840.0
123510-02_10007227_1000,10464.0
