P,u
123410-12_10074093_0260,22908.0
123410-12_10074093_0270,22908.0
111220-05_10074143_0500,13200.0
100610-50_10074287_0210,900.0030840000001
100610-50_10074287_0220,900.0030840000001
100610-50_10074287_0230,900.0030840000001
100610-50_10074287_0240,900.0030840000001
151330-06_10074299_0200,8333.328
151330-08_10074299_0800,9279.996
124500-06_10074444_0800,49740.0
151330-06_10074454_0600,7039.992
151330-08_10074454_0700,7999.992
110980-01_10074572_0700,102360.0
110980-01_10074572_0701,102360.0
110980-01_10074572_0703,102360.0
110980-01_10074572_0705,102360.0
112020-02_10074716_0200,5010.0
135100-03_10074826_0200,2740.116
123550-07_10074884_1000,12792.0
135150-10_10074927_0200,174.48
135150-12_10074927_0300,167.496
111580-01_10075141_0100,11314.284
111580-04_10075141_0400,3168.0
151330-08_10075303_0400,2545.452
111220-03_10075331_0300,6720.0
111220-07_10075331_0700,4764.0
123290-02_10075343_0200,12519.36
123420-17_10075402_0200,20192.712
110980-02_10075511_0700,6480.0
111260-01_10075658_0600,46468.596
135120-07_10075798_0100,3642.504
135120-07_10075809_0100,3690.0
135120-01_10075810_0100,1391.16
135120-10_10075817_0100,3797.64
124260-01_10075869_0100,4519.8
123590-05_10075916_0300,1608.0
123590-06_10075916_0200,3852.0
111190-01_10076068_0101,37583.784
111190-01_10076068_0102,37583.784
111190-01_10076068_0103,37583.784
111190-01_10076068_0104,37583.784
111190-01_10076068_0106,37583.784
110980-02_10076069_0200,6000.0
111190-01_10076069_0100,27741.624
111190-01_10076069_0101,27741.624
110980-01_10076070_0700,172080.0
110980-01_10076070_0701,172080.0
110980-01_10076070_0702,172080.0
110980-01_10076070_0703,172080.0
110980-02_10076070_0200,35160.0
110980-01_10076071_0700,112800.0
110980-01_10076071_0701,112800.0
110980-01_10076071_0702,112800.0
110980-01_10076071_0703,112800.0
111190-01_10076071_0100,34899.228
111190-01_10076071_0101,34899.228
111190-01_10076071_0102,34899.228
111190-01_10076071_0103,34899.228
110980-01_10076072_0700,121200.0
110980-01_10076072_0702,121200.0
110980-01_10076072_0706,121200.0
110980-02_10076072_0200,21240.0
111190-01_10076072_0100,35753.988
111190-01_10076072_0101,35753.988
111190-01_10076072_0102,35753.988
111190-01_10076073_0100,31424.292
111190-01_10076073_0101,31424.292
111190-01_10076073_0102,31424.292
111190-01_10076074_0101,41061.072
111190-01_10076074_0102,41061.072
111190-01_10076074_0103,41061.072
111190-01_10076074_0104,41061.072
111190-01_10076074_0105,41061.072
123530-05_10076125_0800,21656.4
123510-05_10076126_1000,1500.0
110320-04_10076196_0300,840.0
123560-01_10076235_0100,150000.0
123560-01_10076235_0300,150000.0
123080-05_10076275_0100,8638.332
110320-02_10076417_0200,480.0
111350-14_10076425_6411,13200.0
111350-17_10076425_6711,13200.0
111860-40_10076484_0071,76580.004
123530-01_10076780_0500,3692.256
123560-01_10076850_0100,15000.0
124930-17_10076964_170A,2241.624
124930-17_10076964_170B,2241.624
124930-17_10076964_170C,2241.624
124930-17_10076964_171A,2241.624
124930-17_10076964_171B,2241.624
124930-17_10076964_171C,2241.624
123530-02_10077024_0800,2816.808
100470-08_10077071_0210,9000.0
100470-08_10077072_0210,9000.0
100470-10_10077072_0110,4200.0
100610-10_10077073_0110,2100.014388
111180-11_10077093_0300,13200.0
111180-11_10077093_0301,13200.0
135100-04_10077149_0200,1378.284
123530-05_10077202_0800,3569.112
123530-04_10077205_0800,8682.936
110980-01_10077239_0700,323400.0
110980-01_10077239_0701,323400.0
110980-01_10077239_0703,323400.0
110980-01_10077239_0704,323400.0
111190-01_10077239_0101,55580.244
111190-01_10077239_0104,55580.244
111190-01_10077239_0105,55580.244
111190-03_10077239_0301,65016.132
111190-03_10077239_0302,65016.132
111350-17_10077278_6711,12840.0
111350-18_10077278_6817,19560.0
111400-02_10077278_6230,35112.0
111400-02_10077278_4230,35160.0
123510-02_10077348_1000,9972.0
123590-01_10077426_0202,38652.0
123590-01_10077426_0204,38652.0
124270-01_10077451_0500,33894.11294
111230-06_10077490_0100,35280.72
111230-06_10077490_0200,35280.72
151450-02_10077514_0100,13800.0
135150-16_10077606_0800,351.0
151450-01_10077723_0100,30240.0
124260-01_10077801_0100,4519.8
124260-01_10077801_0200,4519.8
124260-01_10077801_0300,4519.8
110980-01_10077955_0700,187920.0
110980-01_10077955_0701,187920.0
110980-01_10077955_0702,187920.0
111190-01_10077955_0101,44793.9
111190-01_10077955_0104,44793.9
111190-01_10077955_0105,44793.9
136060-10_10078236_0500,696.78
123420-17_10078279_0100,20192.712
123500-13_10078308_0200,35000.004
123080-12_10078334_0400,6912.0
123080-06_10078334_0600,6912.0
111600-05_10078423_0500,1449.996
110320-01_10078596_0102,10032.0
110320-01_10078614_0102,9588.0
110320-05_10078623_0200,196.536
123520-15_10078634_0600,4200.0
111190-01_10078682_0200,33172.5
111190-01_10078682_0201,33172.5
111190-01_10078682_0208,33172.5
111190-03_10078682_0301,30740.508
111190-03_10078682_0302,30740.508
110980-01_10078988_0701,72960.0
110980-01_10078988_0702,46796.4
111190-01_10079216_0107,20751.084
111190-01_10079216_0108,20927.076
123590-01_10079231_0106,115224.0
123590-02_10079231_0201,28404.0
124930-17_10079313_170A,2820.336
124930-17_10079313_170B,2820.336
123410-15_10079411_0200,33487.14
100610-20_10079429_0300,4200.028764
111260-11_10079726_0500,148857.0
123550-11_10079792_1000,2026.8
111190-01_10079828_0103,9930.672
111190-01_10079828_0106,9930.672
123520-03_10079859_0300,1800.0
123520-07_10079859_0100,4800.0
123510-05_10079931_1000,17280.0
110980-01_10080123_0700,142920.0
110980-01_10080123_0701,142920.0
110980-01_10080123_0705,142920.0
110980-01_10080123_0707,142920.0
110980-01_10080123_0900,142920.0
110980-01_10080123_0901,142920.0
110980-01_10080123_0902,142920.0
110980-01_10080123_0903,142920.0
110980-02_10080123_0200,35160.0
110980-02_10080123_0201,35160.0
110980-02_10080123_0202,35160.0
110980-02_10080123_0800,35160.0
110980-02_10080123_0801,35160.0
110980-02_10080123_0802,35160.0
135090-01_10080289_0200,405.0
110980-01_10080336_0700,155516.4
111180-09_10080496_0400,24000.0
111180-11_10080496_0300,17280.0
111180-11_10080496_0301,17280.0
135150-12_10080646_0300,334.932
135150-12_10080654_0300,334.932
135150-12_10080689_0300,251.208
135150-12_10080690_0300,251.208
135150-12_10080691_0300,251.208
135150-12_10080692_0300,334.932
135150-12_10080694_0300,251.208
135150-12_10080696_0300,334.932
135150-12_10080697_0300,334.932
135150-12_10080698_0300,334.932
123530-04_10080702_0800,9206.232
123410-25_10080775_0500,6828.0
123410-15_10080779_0200,278571.48
123410-15_10080779_0210,278571.48
123410-15_10080798_0200,251612.88
123410-15_10080798_0210,251612.88
123410-15_10080798_0300,251612.88
135100-21_10080901_0200,704.844
135100-21_10080901_0300,704.844
100440-07_10081053_0100,16800.0
124260-01_10081062_0200,6630.396
110320-07_10081266_0100,15000.0
110980-01_10081315_0700,84360.0
110980-01_10081315_0701,84360.0
110980-01_10081315_0702,84360.0
110980-01_10081315_0703,84360.0
110980-01_10081315_0704,84360.0
110980-01_10081315_0705,84360.0
110980-03_10081315_0800,35160.0
111190-01_10081315_0100,40107.876
111190-01_10081315_0101,40107.876
111190-01_10081315_0102,40107.876
111190-03_10081315_0300,32812.056
110980-01_10081316_0700,77040.0
110980-01_10081316_0701,77040.0
110980-01_10081316_0702,77040.0
110980-01_10081316_0703,77040.0
110980-01_10081316_0800,121935.48
110980-03_10081316_0800,60000.0
111190-01_10081316_0101,39289.344
111190-01_10081316_0103,39289.344
111190-01_10081316_0104,39289.344
111190-03_10081316_0300,29826.048
124600-10_10081352_0300,2158.2
124930-52_10081373_5200,36876.924
124930-52_10081385_5200,36720.0
135100-04_10081492_0100,1159.62
110320-06_10081541_0100,8880.0
110320-06_10081542_0100,8880.0
134130-31_10081624_1500,1980.0
134130-32_10081624_1600,1980.0
123380-03_10081708_0350,3000.0
123380-03_58560870_0350,3000.0
123380-03_58560887_0350,3000.0
123380-03_58560894_0350,3000.0
123380-03_58689564_0350,3000.0
123380-03_58839143_0350,3000.0
123380-03_58873956_0350,3000.0
123380-03_58877343_0350,3000.0
124930-54_10081833_5400,3547.824
124930-54_10081833_5410,3547.824
151210-06_10081835_0700,25200.0
151210-53_10082136_0100,12999.996
111150-07_10082187_0300,25000.0
111150-07_10082187_0400,25000.0
111500-01_10082235_0200,3150.0
135100-08_10082342_0100,822.0
135100-21_10082342_0300,880.86
135100-08_10082355_0100,792.0
135100-21_10082355_0300,1018.452
111220-05_10082360_0500,10800.0
123520-15_10082372_0500,3603.6
123410-15_10082411_0200,35880.0
110980-01_10082444_0700,128040.0
100610-10_10082467_0110,1080.001476
100470-08_10082468_0110,9000.0
100470-08_10082469_0110,9000.0
111190-03_10082486_0300,9879.3
112020-02_10082532_0200,35499.996
100630-20_10082536_0210,270.003696
100630-10_10082541_0210,576.00126
124870-04_10082569_0500,1201.305
123400-15_10082596_0600,480.0
151210-76_10082858_0300,12000.0
151330-06_10082858_0200,5629.62
111220-05_10082913_0500,8640.0
111260-11_10082944_0500,148857.0
111260-11_10082944_0510,148857.0
110980-01_10082972_0700,129604.8
110980-01_10082972_0702,129604.8
110980-01_10082972_0703,129604.8
110980-01_10082972_0705,129604.8
111190-01_10082972_0101,44417.196
111190-01_10082972_0103,44417.196
111190-01_10082972_0104,44417.196
100680-20_10083117_0200,780.0
151330-06_10083122_0500,3999.9999960000005
123180-03_10083190_0300,3600.0
123530-04_10083427_0800,4146.396
123560-01_10083708_0100,150000.0
123560-01_10083708_0300,150000.0
123560-01_10083708_0400,150000.0
111580-04_10083799_0400,2348.052
111580-07_10083829_0200,4999.5
110980-01_10083872_0700,139920.0
110980-01_10083872_0701,139920.0
110980-01_10083872_0702,139920.0
110980-01_10083872_0703,139920.0
110980-01_10083872_0704,129595.2
111180-09_10083872_0200,50400.0
151450-01_10083932_0100,38880.0
110320-04_10083935_0100,1620.0
110320-04_10083935_0101,1620.0
123570-05_10083973_0300,70500.0
100680-10_10084106_0110,251.99930399999997
111260-11_10084121_0700,148857.0
111260-11_10084121_0800,148857.0
123590-01_10084321_0103,86316.0
123590-01_10084321_0200,86316.0
123590-01_10084321_0300,86316.0
123590-01_10084321_0301,86316.0
123060-01_10084334_0100,45600.0
123060-02_10084334_0200,72000.0
123060-03_10084334_0300,216000.0
123060-04_10084334_0400,216000.0
124930-70_10084364_7000,1257.288
124930-70_10084364_7010,1257.288
123510-02_10084393_1000,13848.0
123590-01_10084555_0200,33852.0
123590-05_10084593_0100,1932.0
123540-12_10084596_0200,840.0
111220-03_10084624_0300,2880.0
100680-10_10084756_0110,360.04932
135150-12_10084841_0300,334.932
136040-13_10084925_0300,372.06217200000003
134130-31_10085070_1500,1980.0
110980-01_10085089_0700,124920.0
135120-07_10085107_0100,2272.836
135120-15_10085108_0200,4205.115384
151330-05_10085388_0200,6197.496
112020-02_10085415_0200,35499.996
110980-02_10085539_0700,12120.0
110980-02_10085539_0701,12120.0
123420-17_10085548_0100,20192.712
151450-02_10085653_0100,16560.0
111190-01_10085701_0101,41712.84
111190-01_10085701_0106,41712.84
111190-01_10085701_0112,41712.84
111190-03_10085701_0300,38449.656
123530-05_10085708_0800,6171.528
111040-04_10085796_0800,36600.0
111040-01_10085796_0900,3962.004
111180-09_10085842_0100,5760.0
123590-01_10086057_0103,29964.0
111180-09_10086120_0500,17280.0
111180-12_10086120_0401,11520.0
111180-12_10086120_0402,13800.0
111220-03_10086130_0300,2760.0
111240-06_10086130_0200,1440.0
124930-12_10086190_120A,3600.0
124930-12_10086190_120B,3600.0
124930-12_10086190_121A,3600.0
124930-12_10086190_121B,3600.0
124930-13_10086190_130A,2926.824
124930-13_10086190_130B,2926.824
124930-13_10086190_131A,2926.824
124930-13_10086190_131B,2926.824
124930-17_10086190_170A,3789.468
124930-17_10086190_170B,3789.468
124930-17_10086190_171A,3789.468
124930-17_10086190_171B,3789.468
111580-01_10086324_0600,8644.392
111040-04_10086660_0300,10677.588
111040-04_10086660_0600,8101.44
111040-01_10086660_0800,13301.004
151450-02_10086722_0100,15600.0
111240-06_10086775_0700,2400.0
123550-09_10086821_1000,1596.0
100610-70_10086876_0210,659.9864399999999
100470-08_10086877_0110,9000.0
111640-03_10086915_0330,1824.9999599999999
111640-08_10086915_0800,720.0
124970-60_10086950_0200,10017.0
123550-03_10086960_1000,14088.0
123550-03_10086960_1100,14088.0
123550-03_10086961_1000,9324.0
123550-03_10086961_1100,9324.0
135120-10_10086963_0100,8007.996
151330-08_10087059_0100,5209.296
111230-06_10087071_0100,43369.116
111230-06_10087071_0200,43369.116
111140-01_10087119_0100,54488.304
110980-01_10087140_0700,96360.0
110980-01_10087140_0701,96360.0
110980-01_10087140_0702,96360.0
110980-01_10087140_0703,96360.0
110980-01_10087140_0704,96360.0
110980-01_10087140_0705,96360.0
110980-03_10087140_0800,32280.0
111190-01_10087140_0100,24912.504
111190-01_10087140_0101,24912.504
111190-01_10087140_0102,24912.504
110980-01_10087151_0701,75000.0
110980-01_10087151_0702,75000.0
110980-01_10087151_0703,75000.0
110980-01_10087151_0704,75000.0
110980-03_10087151_0800,35160.0
123510-05_10087184_1200,5760.0
111230-06_10087187_0200,38613.48
111260-01_10087187_0500,61779.936
111260-02_10087187_0510,234177.612
123530-04_10087394_0800,7380.168
123530-04_10087394_0801,7380.168
123590-01_10087509_0103,56340.0
123590-01_10087509_0104,56340.0
123420-17_10087667_0200,20192.712
124870-05_10087855_0500,4924.452
124870-05_10087856_0500,5059.86
111260-02_10087992_0510,226203.18
111260-02_10087992_0530,226203.18
111260-11_10087992_0500,148857.0
111260-11_10087992_0540,148857.0
123540-02_10087997_0200,2799.996
100600-01_10088013_0210,719.980272
100600-01_10088015_0210,365.00000399999993
111190-02_10088021_0100,15413.22
111260-01_10088092_0520,74678.13433
111260-11_10088092_0500,148857.0
111260-11_10088092_0510,148857.0
123410-51_10088134_0500,3003.0
111190-01_10088146_0100,33254.712
111190-01_10088146_0101,33254.712
111190-01_10088146_0102,33254.712
111190-01_10088146_0103,33254.712
111190-01_10088146_0104,33254.712
111190-03_10088146_0300,29152.608
111190-03_10088146_0301,29152.608
111190-03_10088146_0302,29152.608
111190-01_10088210_0100,28697.16
111190-01_10088210_0101,28697.16
111190-03_10088210_0301,26741.736
111190-03_10088210_0302,26741.736
110980-01_10088477_0700,115560.0
110980-01_10088477_0702,115560.0
110980-01_10088477_0706,115560.0
110980-01_10088477_0707,115560.0
110980-01_10088477_0708,115560.0
110980-02_10088477_0200,26880.0
110980-02_10088477_0201,26880.0
111230-06_10088500_0100,36798.18
111230-06_10088500_0200,36798.18
135150-03_10088651_0200,876.396
123550-03_10088735_1000,14268.0
123550-03_10088735_1100,14268.0
135100-08_10088759_0100,982.668
135100-21_10088759_0300,1203.228
110980-01_10088833_0700,187920.0
110980-01_10088833_0702,187920.0
110980-01_10088833_0705,187920.0
110980-01_10088833_0706,187920.0
111190-01_10088833_0100,51430.44
111190-01_10088833_0101,51430.44
111190-01_10088833_0102,51430.44
111190-03_10088833_0300,41434.572
110980-01_10088926_0700,60006.0
110980-01_10088926_0703,60006.0
111180-05_10088926_0200,7500.0
111190-01_10088926_0100,28984.284
111190-01_10088926_0101,28984.284
111190-01_10088926_0102,28984.284
111190-03_10088926_0300,23711.904
110980-01_10088927_0700,63002.4
110980-01_10088927_0701,63002.4
110980-01_10088927_0702,63002.4
110980-01_10088927_0703,63002.4
111180-05_10088927_0200,7500.0
111180-05_10088931_0200,7500.0
111190-01_10088931_0100,28156.164
111190-01_10088931_0101,28156.164
111190-01_10088931_0102,28156.164
100410-09_10088986_0300,5310.0
124930-54_10089008_5400,1538.196
124930-54_10089008_5410,1538.196
123680-12_10089184_0300,286.8
100610-10_10089368_0210,2100.014388
100610-10_10089368_0220,2100.014388
100610-10_10089368_0230,2100.014388
100610-10_10089368_0240,2100.014388
100610-50_10089368_0310,2879.6844239999996
100610-50_10089368_0320,2879.6844239999996
100610-50_10089368_0330,2879.6844239999996
100610-50_10089368_0340,2879.6844239999996
100650-01_10089368_0400,2879.96844
124930-13_10089392_1300,3833.556
124930-17_10089392_1700,9916.668
124930-50_10089392_5000,12000.0
124930-54_10089392_5400,12000.0
100680-10_10089403_0110,251.99930399999997
151210-06_10089438_0700,25200.0
111190-01_10089440_0100,26919.516
111190-01_10089440_0102,26919.516
111190-01_10089440_0107,26919.516
111580-07_10089444_0300,4851.0
124930-05_10089481_0500,9494.508
124930-05_10089481_0510,9494.508
123080-12_10089545_0400,2400.0
123080-12_10089545_0500,3732.0
123080-06_10089545_0800,2400.0
123080-06_10089545_0900,3732.0
123530-04_10089601_0800,12922.152
111190-01_10089662_0101,23746.164
111190-01_10089748_0100,16547.076
123550-12_10089804_1000,14400.0
123530-04_10089831_0800,4920.108
123530-04_10089831_0801,4920.108
123530-04_10089832_0800,7687.476
123530-04_10089832_0801,7687.476
123530-01_10089938_0500,3383.844
123680-03_10089951_0300,999.108
123680-03_10089951_0400,877.8
111190-01_10095046_0101,30536.82
111190-01_10095046_0104,30536.82
111190-01_10095046_0106,30536.82
135090-15_10095144_0300,265.812
135090-15_10095145_0200,459.42
151580-02_10095147_0020,366333.84
151580-02_10095147_0200,366333.84
151580-03_10095147_0030,213009.6
151580-03_10095147_0040,213009.6
151580-03_10095147_0300,213009.6
151580-03_10095147_0400,213009.6
135100-21_10095155_0500,836.868
135100-04_10095167_0200,957.492
111260-11_10095240_0500,148857.0
111260-11_10095240_0600,148857.0
135150-03_10095275_0200,876.396
110320-02_10095384_0100,960.0
124600-04_10095618_0800,1826.988
124600-06_10095618_0600,4896.0
110980-01_10095682_0700,114000.0
110980-01_10095682_0701,114000.0
110980-01_10095682_0702,114000.0
110980-01_10095682_0706,114000.0
111150-01_10095735_0400,39960.0
111150-02_10095735_0100,40430.004
111150-04_10095736_0300,18666.672
124930-30_10095803_3000,3254.232
111190-01_10095837_0101,23617.848
111190-01_10095837_0103,23617.848
111190-01_10095837_0104,23617.848
110980-01_10095844_0701,79920.0
110980-01_10095844_0703,79920.0
110980-01_10095844_0704,79920.0
110980-01_10095844_0705,79920.0
110980-03_10095844_0800,61463.412
111190-01_10095852_0100,23266.152
111190-01_10095852_0101,23266.152
111260-01_10095878_0500,50127.306240000005
124260-01_10095915_0100,7567.608
110980-01_10095994_0700,229440.0
110980-01_10095994_0701,229440.0
110980-01_10095994_0702,229440.0
110980-01_10095994_0704,229440.0
110980-02_10095994_0200,52560.0
110980-02_10095994_0201,52560.0
111260-11_10096123_0500,148857.0
111260-11_10096123_0600,148857.0
111190-01_10096247_0100,29496.444
111190-01_10096247_0101,29496.444
111190-01_10096247_0104,29496.444
111190-03_10096247_0300,27384.912
111040-04_10096275_0300,11663.28
111040-01_10096275_0600,10470.996
123510-02_10096281_1000,11748.0
123420-20_10096282_0100,2596.44
123530-05_10096297_0800,16193.292
123530-05_10096297_0801,16193.292
123550-04_10096334_1000,42960.0
123550-04_10096334_1100,42960.0
123550-04_10096334_1200,42960.0
135150-12_10096345_0300,334.932
110980-01_10096426_0700,104640.0
110980-01_10096426_0701,104640.0
110980-01_10096426_0702,104640.0
110980-01_10096426_0703,104640.0
135150-12_10096427_0300,334.932
123530-01_10096457_0500,6602.544
123530-03_10096457_0200,4390.176
140330-05_10096575_0100,332160.0
135150-12_10096599_0300,334.932
135150-12_10096601_0300,334.932
111260-01_10096602_0510,55054.68
111260-01_10096602_0520,55054.68
111260-11_10096602_0500,148857.0
111260-11_10096602_0600,148857.0
135150-12_10096604_0300,334.932
111140-01_10096716_0100,130546.416
135120-01_10096718_0100,5726.652287999999
110980-01_10096728_0700,187920.0
110980-01_10096728_0702,187920.0
110980-01_10096728_0704,187920.0
110980-01_10096728_0705,187920.0
110980-01_10096728_0706,187920.0
111190-01_10096728_0100,51430.44
111190-01_10096728_0101,51430.44
111190-01_10096728_0102,51430.44
111190-03_10096728_0300,41434.572
124930-12_10096850_1200,2733.672
124930-12_10096850_1210,2733.672
124930-13_10096850_1300,2537.316
124930-13_10096850_1310,2537.316
110980-01_10096860_0700,151920.0
110980-01_10096860_0701,151920.0
110980-01_10096860_0703,151920.0
110980-01_10096860_0706,151920.0
111190-01_10096860_0101,83614.464
100470-08_10096894_0110,9000.0
100680-10_10096959_0310,240.0
100610-70_10097089_0210,900.0030840000001
123020-73_10097091_0700,1297.297296
111190-01_10097098_0101,38621.808
111190-03_10097098_0300,33294.924
111190-03_10097098_0302,33294.924
135120-07_10097125_0200,3690.0
100360-06_10097260_0100,20000.0
111640-03_10097316_0300,7500.0
135150-12_10097402_0300,334.932
123530-04_10097432_0800,3060.924
111190-01_10097475_0100,33825.408
111190-01_10097475_0102,33825.408
111190-01_10097475_0103,33825.408
111190-03_10097475_0201,36112.704
123410-15_10097505_0300,7200.0
124930-70_10097600_7000,6399.996
124930-70_10097600_7010,6399.996
123540-06_10097740_0200,15000.0
124930-52_10097803_5200,31954.284
124930-52_10097803_5201,31954.284
110980-01_10097808_0700,84120.0
110980-01_10097808_0701,84120.0
110980-01_10097808_0702,84120.0
110980-01_10097808_0703,84120.0
111190-01_10097808_0100,25089.564
124930-13_10097919_130A,5709.804
124930-13_10097919_130B,5709.804
124930-13_10097919_130C,5709.804
124930-13_10097919_130D,5709.804
124930-13_10097919_131A,5709.804
124930-13_10097919_131B,5709.804
124930-13_10097919_131C,5709.804
124930-13_10097919_131D,5709.804
134130-05_10123558_1400,3679.2
134130-05_10123885_1700,6479.1
134130-41_10123885_1300,4983.468
134130-05_10124196_1400,2229.816
134270-03_10124639_0200,1172.004
134270-03_10124888_0200,1172.004
134270-02_10134407_0100,676.272
134270-02_10134408_0100,1597.776
134270-03_10134410_0200,1172.004
134270-02_10138795_0100,1155.6
134130-05_10141654_1400,3567.708
134130-05_10142212_1400,8584.8
134130-05_10175465_1400,4325.844
134130-41_10175465_1300,3504.0
134130-05_10175466_1700,3679.2
134130-05_10175467_1400,6454.74
134130-41_10175467_1300,3504.0
134130-05_10193317_1400,5450.664
134130-05_10193336_1400,2581.896
134130-05_10193370_1400,1962.24
134130-05_10193372_1400,6243.492
134130-05_10193373_1400,8871.828
123590-06_10200021_0200,14700.0
123590-08_10200021_0400,8604.0
111260-01_10200358_0400,39326.004
111190-01_10200397_0101,45031.26
111190-01_10200397_0105,45031.26
111190-01_10200397_0107,45031.26
111580-07_10200423_0200,4752.0
123590-06_10200486_0101,8160.0
135150-10_10200685_0200,174.48
100680-10_10200729_0210,360.00493200000005
100680-10_10200730_0110,360.00493200000005
100680-10_10200732_0210,360.00493200000005
100600-01_10200778_0210,480.0
111470-05_10200837_0101,21590.004
111640-08_10200841_0800,1125.0
111260-01_10200990_0500,67777.62
111260-11_10200990_0600,148857.0
111190-01_10201018_0101,32363.412
111190-01_10201018_0105,32363.412
111190-01_10201018_0106,32363.412
111190-03_10201018_0201,41653.8
111190-03_10201018_0202,41653.8
123590-01_10201074_0102,80196.0
123590-01_10201074_0103,80196.0
123590-01_10201074_0200,80196.0
123590-01_10201074_0300,80196.0
111260-02_10201117_0500,222103.704
111260-02_10201117_0510,222103.704
111260-02_10201117_0520,222103.704
110980-01_10201120_0700,201720.0
110980-01_10201120_0702,201720.0
110980-01_10201120_0704,201720.0
110980-01_10201120_0705,201720.0
110980-01_10201120_0706,196800.0
111190-01_10201120_0100,48065.328
111190-01_10201120_0101,48065.328
111190-01_10201120_0102,48065.328
111190-03_10201120_0300,50033.556
111190-03_10201120_0302,50033.556
110980-01_10201152_0700,149040.0
110980-01_10201152_0701,149040.0
110980-01_10201152_0703,149040.0
110980-01_10201152_0704,149040.0
111190-01_10201152_0100,47003.76
110980-01_10201153_0700,143520.0
110980-01_10201153_0701,143520.0
110980-01_10201153_0702,143520.0
110980-01_10201153_0704,143520.0
111190-01_10201153_0200,33645.732
111190-01_10201153_0201,33645.732
111190-01_10201153_0204,33645.732
110980-01_10201154_0700,158880.0
110980-01_10201154_0701,158880.0
110980-01_10201154_0703,158880.0
110980-01_10201154_0704,158880.0
123420-17_10201176_0100,20192.712
100470-06_10201189_0110,1800.0
100470-06_10201189_0120,1800.0
110980-01_10201216_0701,192960.0
110980-01_10201216_0702,192960.0
112020-01_10201341_0100,5280.0
112020-02_10201342_0200,5010.0
111420-11_10201533_0100,36003.6
123080-15_10201549_0300,3600.0
124930-05_10201554_0500,31275.264
111190-01_10201630_0100,32065.524
111190-01_10201630_0103,32065.524
111190-01_10201630_0111,32065.524
111230-06_10201631_0200,29644.656
111230-06_10201631_0300,24715.404
111230-16_10201631_0100,9889.632
111230-16_10201631_0500,9889.632
100650-01_10201647_0200,2339.7435840000003
111350-16_10201669_6610,12000.0
111350-17_10201669_6710,12000.0
111400-03_10201669_4310,13200.0
112020-01_10201720_0100,4320.0
111190-01_10201765_0101,28572.468
111190-01_10201765_0103,28572.468
111190-01_10201765_0109,28572.468
135120-07_10201790_0100,3332.196
111230-06_10201798_0100,41632.344
111230-06_10201798_0200,41632.344
100660-01_10201835_0110,215.99763600000003
100660-01_10201835_0120,215.99763600000003
135100-21_10201910_0100,982.956
123550-09_10201941_1000,1596.0
123550-03_10201966_1000,6708.0
123550-03_10201966_1100,6708.0
124930-05_10202061_0500,16353.984
124930-05_10202061_0501,24805.368
111640-03_10202079_0300,4700.00004
111640-08_10202079_0800,1164.9
123410-15_10202113_0200,36000.0
111230-06_10202135_0100,23803.092
111230-06_10202135_0200,23803.092
135100-21_10202137_0100,911.4
123350-86_10202166_0500,181.32
123350-84_10202170_0300,200.04
125040-05_10202171_0300,82.656
111190-01_10202203_0100,47468.916
111190-01_10202203_0101,47468.916
111190-01_10202203_0102,47468.916
111190-01_10202203_0103,47468.916
123540-10_10202324_0400,1200.0
111040-06_10202334_0100,42500.004
123350-80_10202391_0400,267.54
123350-86_10202392_0300,157.68
123350-16_10202393_0200,148.2
123350-85_10202394_0400,266.4
123550-03_10202410_1000,13932.0
123550-03_10202410_1100,13932.0
135100-01_10202469_0200,2376.0
135100-01_10202469_0400,1782.0
135100-01_10202470_0200,2376.0
135100-01_10202470_0500,2376.0
111990-01_10202507_0100,635.10876
111990-01_10202507_0300,657.0
111990-02_10202507_0400,401.49999600000007
111990-01_10202508_0100,438.0
111990-01_10202508_0300,580.35
111990-02_10202508_0400,423.39708
111990-02_10202509_0400,291.99999600000007
111990-01_10202510_0100,438.0
111990-01_10202510_0200,678.89124
111990-01_10202511_0100,591.3
111990-01_10202511_0200,678.89124
111990-01_10202512_0100,722.7
111990-01_10202512_0200,854.1
111990-01_10202512_0300,744.6
111990-02_10202512_0400,291.99999600000007
111990-01_10202513_0100,722.7
111990-01_10202513_0200,810.29124
111990-01_10202513_0300,744.6
111990-02_10202513_0400,291.99999600000007
111990-01_10202515_0100,722.7
111990-01_10202515_0300,700.8
111990-02_10202515_0400,248.19999600000003
111990-02_10202574_0400,262.8
111990-02_10202575_0400,189.80000399999997
111990-02_10202576_0400,219.0
123510-02_10202584_1000,9732.0
134130-01_10202625_1400,467.196
111990-01_10202681_0100,438.0
111990-01_10202681_0200,678.9
111990-01_10202682_0100,591.3
111990-01_10202682_0200,678.9
111990-01_10202683_0100,722.7
111990-01_10202683_0200,854.1
111990-01_10202683_0300,744.6
111990-02_10202683_0400,291.99999600000007
111990-01_10202684_0100,722.7
111990-01_10202684_0200,810.3
111990-01_10202684_0300,744.6
111990-02_10202684_0400,291.99999600000007
111990-01_10202685_0100,722.7
111990-01_10202685_0300,700.8
111990-02_10202685_0400,248.19999600000003
111990-01_10202686_0100,635.1
111990-01_10202686_0300,657.0
111990-02_10202686_0400,401.49999600000007
110980-01_10202704_0700,68040.0
110980-01_10202704_0703,68040.0
110980-01_10202704_0704,68040.0
110980-01_10202704_0800,111176.472
