K,P,C,r_x
10202203,111190-01_10202203_0102,10413,100.0
10202203,111190-01_10202203_0102,10414,100.0
10202203,111190-01_10202203_0103,10415,100.0
10202203,111190-01_10202203_0103,10416,100.0
10202203,111190-01_10202203_0103,10417,100.0
10202203,111190-01_10202203_0103,10418,100.0
10202324,123540-10_10202324_0400,10419,100.0
10202324,123540-10_10202324_0400,10420,100.0
10202334,111040-06_10202334_0100,10421,100.0
10202334,111040-06_10202334_0100,10422,100.0
10202334,111040-06_10202334_0100,10423,100.0
10202391,123350-80_10202391_0400,10424,100.0
10202391,123350-80_10202391_0400,10425,100.0
10202391,123350-80_10202391_0400,10426,100.0
10202391,123350-80_10202391_0400,10427,100.0
10202391,123350-80_10202391_0400,10428,100.0
10202391,123350-80_10202391_0400,10429,100.0
10202392,123350-86_10202392_0300,10430,100.0
10202392,123350-86_10202392_0300,10431,100.0
10202392,123350-86_10202392_0300,10432,100.0
10202392,123350-86_10202392_0300,10433,100.0
10202392,123350-86_10202392_0300,10434,100.0
10202392,123350-86_10202392_0300,10435,100.0
10202392,123350-86_10202392_0300,10436,100.0
10202392,123350-86_10202392_0300,10437,100.0
10202392,123350-86_10202392_0300,10438,100.0
10202392,123350-86_10202392_0300,10439,100.0
10202393,123350-16_10202393_0200,10440,100.0
10202393,123350-16_10202393_0200,10441,100.0
10202394,123350-85_10202394_0400,10442,100.0
10202394,123350-85_10202394_0400,10443,100.0
10202394,123350-85_10202394_0400,10444,100.0
10202394,123350-85_10202394_0400,10445,100.0
10202394,123350-85_10202394_0400,10446,100.0
10202394,123350-85_10202394_0400,10447,100.0
10202410,123550-03_10202410_1000,10448,100.0
10202410,123550-03_10202410_1000,10449,100.0
10202410,123550-03_10202410_1000,10450,100.0
10202410,123550-03_10202410_1100,10451,100.0
10202410,123550-03_10202410_1100,10452,100.0
10202410,123550-03_10202410_1100,10453,100.0
10202469,135100-01_10202469_0200,10454,100.0
10202469,135100-01_10202469_0400,10455,100.0
10202470,135100-01_10202470_0200,10456,100.0
10202470,135100-01_10202470_0500,10457,100.0
10202507,111990-01_10202507_0100,10458,100.0
10202507,111990-01_10202507_0100,10459,100.0
10202507,111990-01_10202507_0100,10460,100.0
10202507,111990-01_10202507_0100,10461,100.0
10202507,111990-01_10202507_0100,10462,100.0
10202507,111990-01_10202507_0100,10463,100.0
10202507,111990-01_10202507_0100,10464,100.0
10202507,111990-01_10202507_0100,10465,100.0
10202507,111990-01_10202507_0100,10466,100.0
10202507,111990-01_10202507_0100,10467,100.0
10202507,111990-01_10202507_0300,10468,100.0
10202507,111990-01_10202507_0300,10469,100.0
10202507,111990-01_10202507_0300,10470,100.0
10202507,111990-01_10202507_0300,10471,100.0
10202507,111990-01_10202507_0300,10472,100.0
10202507,111990-01_10202507_0300,10473,100.0
10202507,111990-01_10202507_0300,10474,100.0
10202507,111990-01_10202507_0300,10475,100.0
10202507,111990-01_10202507_0300,10476,100.0
10202507,111990-02_10202507_0400,10477,100.0
10202507,111990-02_10202507_0400,10478,100.0
10202507,111990-02_10202507_0400,10479,100.0
10202507,111990-02_10202507_0400,10480,100.0
10202507,111990-02_10202507_0400,10481,100.0
10202507,111990-02_10202507_0400,10482,100.0
10202507,111990-02_10202507_0400,10483,100.0
10202507,111990-02_10202507_0400,10484,100.0
10202507,111990-02_10202507_0400,10485,100.0
10202507,111990-02_10202507_0400,10486,100.0
10202507,111990-02_10202507_0400,10487,100.0
10202508,111990-01_10202508_0100,10488,100.0
10202508,111990-01_10202508_0100,10489,100.0
10202508,111990-01_10202508_0100,10490,100.0
10202508,111990-01_10202508_0100,10491,100.0
10202508,111990-01_10202508_0100,10492,100.0
10202508,111990-01_10202508_0100,10493,100.0
10202508,111990-01_10202508_0100,10494,100.0
10202508,111990-01_10202508_0100,10495,100.0
10202508,111990-01_10202508_0100,10496,100.0
10202508,111990-01_10202508_0300,10497,100.0
10202508,111990-01_10202508_0300,10498,100.0
10202508,111990-01_10202508_0300,10499,100.0
10202508,111990-01_10202508_0300,10500,100.0
10202508,111990-01_10202508_0300,10501,100.0
10202508,111990-01_10202508_0300,10502,100.0
10202508,111990-01_10202508_0300,10503,100.0
10202508,111990-01_10202508_0300,10504,100.0
10202508,111990-01_10202508_0300,10505,100.0
10202508,111990-02_10202508_0400,10506,100.0
10202508,111990-02_10202508_0400,10507,100.0
10202508,111990-02_10202508_0400,10508,100.0
10202508,111990-02_10202508_0400,10509,100.0
10202508,111990-02_10202508_0400,10510,100.0
10202508,111990-02_10202508_0400,10511,100.0
10202508,111990-02_10202508_0400,10512,100.0
10202508,111990-02_10202508_0400,10513,100.0
10202508,111990-02_10202508_0400,10514,100.0
10202508,111990-02_10202508_0400,10515,100.0
10202508,111990-02_10202508_0400,10516,100.0
10202509,111990-02_10202509_0400,10517,100.0
10202509,111990-02_10202509_0400,10518,100.0
10202509,111990-02_10202509_0400,10519,100.0
10202509,111990-02_10202509_0400,10520,100.0
10202509,111990-02_10202509_0400,10521,100.0
10202509,111990-02_10202509_0400,10522,100.0
10202509,111990-02_10202509_0400,10523,100.0
10202509,111990-02_10202509_0400,10524,100.0
10202509,111990-02_10202509_0400,10525,100.0
10202509,111990-02_10202509_0400,10526,100.0
10202510,111990-01_10202510_0100,10527,100.0
10202510,111990-01_10202510_0100,10528,100.0
10202510,111990-01_10202510_0100,10529,100.0
10202510,111990-01_10202510_0100,10530,100.0
10202510,111990-01_10202510_0100,10531,100.0
10202510,111990-01_10202510_0100,10532,100.0
10202510,111990-01_10202510_0100,10533,100.0
10202510,111990-01_10202510_0100,10534,100.0
10202510,111990-01_10202510_0100,10535,100.0
10202510,111990-01_10202510_0200,10536,100.0
10202510,111990-01_10202510_0200,10537,100.0
10202510,111990-01_10202510_0200,10538,100.0
10202510,111990-01_10202510_0200,10539,100.0
10202510,111990-01_10202510_0200,10540,100.0
10202510,111990-01_10202510_0200,10541,100.0
10202510,111990-01_10202510_0200,10542,100.0
10202510,111990-01_10202510_0200,10543,100.0
10202510,111990-01_10202510_0200,10544,100.0
10202510,111990-01_10202510_0200,10545,100.0
10202511,111990-01_10202511_0100,10546,100.0
10202511,111990-01_10202511_0100,10547,100.0
10202511,111990-01_10202511_0100,10548,100.0
10202511,111990-01_10202511_0100,10549,100.0
10202511,111990-01_10202511_0100,10550,100.0
10202511,111990-01_10202511_0100,10551,100.0
10202511,111990-01_10202511_0100,10552,100.0
10202511,111990-01_10202511_0100,10553,100.0
10202511,111990-01_10202511_0100,10554,100.0
10202511,111990-01_10202511_0200,10555,100.0
10202511,111990-01_10202511_0200,10556,100.0
10202511,111990-01_10202511_0200,10557,100.0
10202511,111990-01_10202511_0200,10558,100.0
10202511,111990-01_10202511_0200,10559,100.0
10202511,111990-01_10202511_0200,10560,100.0
10202511,111990-01_10202511_0200,10561,100.0
10202511,111990-01_10202511_0200,10562,100.0
10202511,111990-01_10202511_0200,10563,100.0
10202511,111990-01_10202511_0200,10564,100.0
10202512,111990-01_10202512_0100,10565,100.0
10202512,111990-01_10202512_0100,10566,100.0
10202512,111990-01_10202512_0100,10567,100.0
10202512,111990-01_10202512_0100,10568,100.0
10202512,111990-01_10202512_0100,10569,100.0
10202512,111990-01_10202512_0100,10570,100.0
10202512,111990-01_10202512_0100,10571,100.0
10202512,111990-01_10202512_0100,10572,100.0
10202512,111990-01_10202512_0100,10573,100.0
10202512,111990-01_10202512_0100,10574,100.0
10202512,111990-01_10202512_0200,10575,100.0
10202512,111990-01_10202512_0200,10576,100.0
10202512,111990-01_10202512_0200,10577,100.0
10202512,111990-01_10202512_0200,10578,100.0
10202512,111990-01_10202512_0200,10579,100.0
10202512,111990-01_10202512_0200,10580,100.0
10202512,111990-01_10202512_0200,10581,100.0
10202512,111990-01_10202512_0200,10582,100.0
10202512,111990-01_10202512_0200,10583,100.0
10202512,111990-01_10202512_0200,10584,100.0
10202512,111990-01_10202512_0300,10585,100.0
10202512,111990-01_10202512_0300,10586,100.0
10202512,111990-01_10202512_0300,10587,100.0
10202512,111990-01_10202512_0300,10588,100.0
10202512,111990-01_10202512_0300,10589,100.0
10202512,111990-01_10202512_0300,10590,100.0
10202512,111990-01_10202512_0300,10591,100.0
10202512,111990-01_10202512_0300,10592,100.0
10202512,111990-01_10202512_0300,10593,100.0
10202512,111990-02_10202512_0400,10594,100.0
10202512,111990-02_10202512_0400,10595,100.0
10202512,111990-02_10202512_0400,10596,100.0
10202512,111990-02_10202512_0400,10597,100.0
10202512,111990-02_10202512_0400,10598,100.0
10202512,111990-02_10202512_0400,10599,100.0
10202512,111990-02_10202512_0400,10600,100.0
10202512,111990-02_10202512_0400,10601,100.0
10202512,111990-02_10202512_0400,10602,100.0
10202513,111990-01_10202513_0100,10603,100.0
10202513,111990-01_10202513_0100,10604,100.0
10202513,111990-01_10202513_0100,10605,100.0
10202513,111990-01_10202513_0100,10606,100.0
10202513,111990-01_10202513_0100,10607,100.0
10202513,111990-01_10202513_0100,10608,100.0
10202513,111990-01_10202513_0100,10609,100.0
10202513,111990-01_10202513_0100,10610,100.0
10202513,111990-01_10202513_0100,10611,100.0
10202513,111990-01_10202513_0100,10612,100.0
10202513,111990-01_10202513_0200,10613,100.0
10202513,111990-01_10202513_0200,10614,100.0
10202513,111990-01_10202513_0200,10615,100.0
10202513,111990-01_10202513_0200,10616,100.0
10202513,111990-01_10202513_0200,10617,100.0
10202513,111990-01_10202513_0200,10618,100.0
10202513,111990-01_10202513_0200,10619,100.0
10202513,111990-01_10202513_0200,10620,100.0
10202513,111990-01_10202513_0200,10621,100.0
10202513,111990-01_10202513_0200,10622,100.0
10202513,111990-01_10202513_0300,10623,100.0
10202513,111990-01_10202513_0300,10624,100.0
10202513,111990-01_10202513_0300,10625,100.0
10202513,111990-01_10202513_0300,10626,100.0
10202513,111990-01_10202513_0300,10627,100.0
10202513,111990-01_10202513_0300,10628,100.0
10202513,111990-01_10202513_0300,10629,100.0
10202513,111990-01_10202513_0300,10630,100.0
10202513,111990-01_10202513_0300,10631,100.0
10202513,111990-02_10202513_0400,10632,100.0
10202513,111990-02_10202513_0400,10633,100.0
10202513,111990-02_10202513_0400,10634,100.0
10202513,111990-02_10202513_0400,10635,100.0
10202513,111990-02_10202513_0400,10636,100.0
10202513,111990-02_10202513_0400,10637,100.0
10202513,111990-02_10202513_0400,10638,100.0
10202513,111990-02_10202513_0400,10639,100.0
10202513,111990-02_10202513_0400,10640,100.0
10202515,111990-01_10202515_0100,10641,100.0
10202515,111990-01_10202515_0100,10642,100.0
10202515,111990-01_10202515_0100,10643,100.0
10202515,111990-01_10202515_0100,10644,100.0
10202515,111990-01_10202515_0100,10645,100.0
10202515,111990-01_10202515_0100,10646,100.0
10202515,111990-01_10202515_0100,10647,100.0
10202515,111990-01_10202515_0100,10648,100.0
10202515,111990-01_10202515_0100,10649,100.0
10202515,111990-01_10202515_0100,10650,100.0
10202515,111990-01_10202515_0300,10651,100.0
10202515,111990-01_10202515_0300,10652,100.0
10202515,111990-01_10202515_0300,10653,100.0
10202515,111990-01_10202515_0300,10654,100.0
10202515,111990-01_10202515_0300,10655,100.0
10202515,111990-01_10202515_0300,10656,100.0
10202515,111990-01_10202515_0300,10657,100.0
10202515,111990-01_10202515_0300,10658,100.0
10202515,111990-01_10202515_0300,10659,100.0
10202515,111990-02_10202515_0400,10660,100.0
10202515,111990-02_10202515_0400,10661,100.0
10202515,111990-02_10202515_0400,10662,100.0
10202515,111990-02_10202515_0400,10663,100.0
10202515,111990-02_10202515_0400,10664,100.0
10202515,111990-02_10202515_0400,10665,100.0
10202515,111990-02_10202515_0400,10666,100.0
10202515,111990-02_10202515_0400,10667,100.0
10202515,111990-02_10202515_0400,10668,100.0
10202574,111990-02_10202574_0400,10669,100.0
10202574,111990-02_10202574_0400,10670,100.0
10202574,111990-02_10202574_0400,10671,100.0
10202574,111990-02_10202574_0400,10672,100.0
10202574,111990-02_10202574_0400,10673,100.0
10202574,111990-02_10202574_0400,10674,100.0
10202574,111990-02_10202574_0400,10675,100.0
10202574,111990-02_10202574_0400,10676,100.0
10202574,111990-02_10202574_0400,10677,100.0
10202574,111990-02_10202574_0400,10678,100.0
10202574,111990-02_10202574_0400,10679,100.0
10202575,111990-02_10202575_0400,10680,100.0
10202575,111990-02_10202575_0400,10681,100.0
10202575,111990-02_10202575_0400,10682,100.0
10202575,111990-02_10202575_0400,10683,100.0
10202575,111990-02_10202575_0400,10684,100.0
10202575,111990-02_10202575_0400,10685,100.0
10202575,111990-02_10202575_0400,10686,100.0
10202575,111990-02_10202575_0400,10687,100.0
10202575,111990-02_10202575_0400,10688,100.0
10202575,111990-02_10202575_0400,10689,100.0
10202576,111990-02_10202576_0400,10690,100.0
10202576,111990-02_10202576_0400,10691,100.0
10202576,111990-02_10202576_0400,10692,100.0
10202576,111990-02_10202576_0400,10693,100.0
10202576,111990-02_10202576_0400,10694,100.0
10202576,111990-02_10202576_0400,10695,100.0
10202576,111990-02_10202576_0400,10696,100.0
10202576,111990-02_10202576_0400,10697,100.0
10202576,111990-02_10202576_0400,10698,100.0
10202576,111990-02_10202576_0400,10699,100.0
10202576,111990-02_10202576_0400,10700,100.0
10202584,123510-02_10202584_1000,10701,100.0
10202584,123510-02_10202584_1000,10702,100.0
10202584,123510-02_10202584_1000,10703,100.0
10202584,123510-02_10202584_1000,10704,100.0
10202584,123510-02_10202584_1000,10705,100.0
10202625,134130-01_10202625_1400,10706,100.0
10202625,134130-01_10202625_1400,10707,100.0
10202681,111990-01_10202681_0100,10708,100.0
10202681,111990-01_10202681_0100,10709,100.0
10202681,111990-01_10202681_0100,10710,100.0
10202681,111990-01_10202681_0100,10711,100.0
10202681,111990-01_10202681_0100,10712,100.0
10202681,111990-01_10202681_0100,10713,100.0
10202681,111990-01_10202681_0100,10714,100.0
10202681,111990-01_10202681_0100,10715,100.0
10202681,111990-01_10202681_0100,10716,100.0
10202681,111990-01_10202681_0200,10717,100.0
10202681,111990-01_10202681_0200,10718,100.0
10202681,111990-01_10202681_0200,10719,100.0
10202681,111990-01_10202681_0200,10720,100.0
10202681,111990-01_10202681_0200,10721,100.0
10202681,111990-01_10202681_0200,10722,100.0
10202681,111990-01_10202681_0200,10723,100.0
10202681,111990-01_10202681_0200,10724,100.0
10202681,111990-01_10202681_0200,10725,100.0
10202682,111990-01_10202682_0100,10726,100.0
10202682,111990-01_10202682_0100,10727,100.0
10202682,111990-01_10202682_0100,10728,100.0
10202682,111990-01_10202682_0100,10729,100.0
10202682,111990-01_10202682_0100,10730,100.0
10202682,111990-01_10202682_0100,10731,100.0
10202682,111990-01_10202682_0100,10732,100.0
10202682,111990-01_10202682_0100,10733,100.0
10202682,111990-01_10202682_0100,10734,100.0
10202682,111990-01_10202682_0200,10735,100.0
10202682,111990-01_10202682_0200,10736,100.0
10202682,111990-01_10202682_0200,10737,100.0
10202682,111990-01_10202682_0200,10738,100.0
10202682,111990-01_10202682_0200,10739,100.0
10202682,111990-01_10202682_0200,10740,100.0
10202682,111990-01_10202682_0200,10741,100.0
10202682,111990-01_10202682_0200,10742,100.0
10202682,111990-01_10202682_0200,10743,100.0
10202683,111990-01_10202683_0100,10744,100.0
10202683,111990-01_10202683_0100,10745,100.0
10202683,111990-01_10202683_0100,10746,100.0
10202683,111990-01_10202683_0100,10747,100.0
10202683,111990-01_10202683_0100,10748,100.0
10202683,111990-01_10202683_0100,10749,100.0
10202683,111990-01_10202683_0100,10750,100.0
10202683,111990-01_10202683_0100,10751,100.0
10202683,111990-01_10202683_0100,10752,100.0
10202683,111990-01_10202683_0200,10753,100.0
10202683,111990-01_10202683_0200,10754,100.0
10202683,111990-01_10202683_0200,10755,100.0
10202683,111990-01_10202683_0200,10756,100.0
10202683,111990-01_10202683_0200,10757,100.0
10202683,111990-01_10202683_0200,10758,100.0
10202683,111990-01_10202683_0200,10759,100.0
10202683,111990-01_10202683_0200,10760,100.0
10202683,111990-01_10202683_0200,10761,100.0
10202683,111990-01_10202683_0300,10762,100.0
10202683,111990-01_10202683_0300,10763,100.0
10202683,111990-01_10202683_0300,10764,100.0
10202683,111990-01_10202683_0300,10765,100.0
10202683,111990-01_10202683_0300,10766,100.0
10202683,111990-01_10202683_0300,10767,100.0
10202683,111990-01_10202683_0300,10768,100.0
10202683,111990-01_10202683_0300,10769,100.0
10202683,111990-01_10202683_0300,10770,100.0
10202683,111990-02_10202683_0400,10771,100.0
10202683,111990-02_10202683_0400,10772,100.0
10202683,111990-02_10202683_0400,10773,100.0
10202683,111990-02_10202683_0400,10774,100.0
10202683,111990-02_10202683_0400,10775,100.0
10202683,111990-02_10202683_0400,10776,100.0
10202683,111990-02_10202683_0400,10777,100.0
10202683,111990-02_10202683_0400,10778,100.0
10202683,111990-02_10202683_0400,10779,100.0
10202684,111990-01_10202684_0100,10780,100.0
10202684,111990-01_10202684_0100,10781,100.0
10202684,111990-01_10202684_0100,10782,100.0
10202684,111990-01_10202684_0100,10783,100.0
10202684,111990-01_10202684_0100,10784,100.0
10202684,111990-01_10202684_0100,10785,100.0
10202684,111990-01_10202684_0100,10786,100.0
10202684,111990-01_10202684_0100,10787,100.0
10202684,111990-01_10202684_0100,10788,100.0
10202684,111990-01_10202684_0200,10789,100.0
10202684,111990-01_10202684_0200,10790,100.0
10202684,111990-01_10202684_0200,10791,100.0
10202684,111990-01_10202684_0200,10792,100.0
10202684,111990-01_10202684_0200,10793,100.0
10202684,111990-01_10202684_0200,10794,100.0
10202684,111990-01_10202684_0200,10795,100.0
10202684,111990-01_10202684_0200,10796,100.0
10202684,111990-01_10202684_0200,10797,100.0
10202684,111990-01_10202684_0300,10798,100.0
10202684,111990-01_10202684_0300,10799,100.0
10202684,111990-01_10202684_0300,10800,100.0
10202684,111990-01_10202684_0300,10801,100.0
10202684,111990-01_10202684_0300,10802,100.0
10202684,111990-01_10202684_0300,10803,100.0
10202684,111990-01_10202684_0300,10804,100.0
10202684,111990-01_10202684_0300,10805,100.0
10202684,111990-01_10202684_0300,10806,100.0
10202684,111990-02_10202684_0400,10807,100.0
10202684,111990-02_10202684_0400,10808,100.0
10202684,111990-02_10202684_0400,10809,100.0
10202684,111990-02_10202684_0400,10810,100.0
10202684,111990-02_10202684_0400,10811,100.0
10202684,111990-02_10202684_0400,10812,100.0
10202684,111990-02_10202684_0400,10813,100.0
10202684,111990-02_10202684_0400,10814,100.0
10202684,111990-02_10202684_0400,10815,100.0
10202685,111990-01_10202685_0100,10816,100.0
10202685,111990-01_10202685_0100,10817,100.0
10202685,111990-01_10202685_0100,10818,100.0
10202685,111990-01_10202685_0100,10819,100.0
10202685,111990-01_10202685_0100,10820,100.0
10202685,111990-01_10202685_0100,10821,100.0
10202685,111990-01_10202685_0100,10822,100.0
10202685,111990-01_10202685_0100,10823,100.0
10202685,111990-01_10202685_0100,10824,100.0
10202685,111990-01_10202685_0300,10825,100.0
10202685,111990-01_10202685_0300,10826,100.0
10202685,111990-01_10202685_0300,10827,100.0
10202685,111990-01_10202685_0300,10828,100.0
10202685,111990-01_10202685_0300,10829,100.0
10202685,111990-01_10202685_0300,10830,100.0
10202685,111990-01_10202685_0300,10831,100.0
10202685,111990-01_10202685_0300,10832,100.0
10202685,111990-01_10202685_0300,10833,100.0
10202685,111990-02_10202685_0400,10834,100.0
10202685,111990-02_10202685_0400,10835,100.0
10202685,111990-02_10202685_0400,10836,100.0
10202685,111990-02_10202685_0400,10837,100.0
10202685,111990-02_10202685_0400,10838,100.0
10202685,111990-02_10202685_0400,10839,100.0
10202685,111990-02_10202685_0400,10840,100.0
10202685,111990-02_10202685_0400,10841,100.0
10202685,111990-02_10202685_0400,10842,100.0
10202686,111990-01_10202686_0100,10843,100.0
10202686,111990-01_10202686_0100,10844,100.0
10202686,111990-01_10202686_0100,10845,100.0
10202686,111990-01_10202686_0100,10846,100.0
10202686,111990-01_10202686_0100,10847,100.0
10202686,111990-01_10202686_0100,10848,100.0
10202686,111990-01_10202686_0100,10849,100.0
10202686,111990-01_10202686_0100,10850,100.0
10202686,111990-01_10202686_0100,10851,100.0
10202686,111990-01_10202686_0300,10852,100.0
10202686,111990-01_10202686_0300,10853,100.0
10202686,111990-01_10202686_0300,10854,100.0
10202686,111990-01_10202686_0300,10855,100.0
10202686,111990-01_10202686_0300,10856,100.0
10202686,111990-01_10202686_0300,10857,100.0
10202686,111990-01_10202686_0300,10858,100.0
10202686,111990-01_10202686_0300,10859,100.0
10202686,111990-01_10202686_0300,10860,100.0
10202686,111990-02_10202686_0400,10861,100.0
10202686,111990-02_10202686_0400,10862,100.0
10202686,111990-02_10202686_0400,10863,100.0
10202686,111990-02_10202686_0400,10864,100.0
10202686,111990-02_10202686_0400,10865,100.0
10202686,111990-02_10202686_0400,10866,100.0
10202686,111990-02_10202686_0400,10867,100.0
10202686,111990-02_10202686_0400,10868,100.0
10202686,111990-02_10202686_0400,10869,100.0
10202686,111990-02_10202686_0400,10870,100.0
10202704,110980-01_10202704_0700,10871,100.0
10202704,110980-01_10202704_0700,10872,100.0
10202704,110980-01_10202704_0700,10873,100.0
10202704,110980-01_10202704_0700,10874,100.0
10202704,110980-01_10202704_0703,10875,100.0
10202704,110980-01_10202704_0703,10876,100.0
10202704,110980-01_10202704_0703,10877,100.0
10202704,110980-01_10202704_0703,10878,100.0
10202704,110980-01_10202704_0704,10879,100.0
10202704,110980-01_10202704_0704,10880,100.0
10202704,110980-01_10202704_0704,10881,100.0
10202704,110980-01_10202704_0704,10882,100.0
10202704,110980-01_10202704_0800,10883,100.0
10202704,110980-01_10202704_0800,10884,100.0
10202704,110980-01_10202704_0800,10885,100.0
10202704,110980-01_10202704_0800,10886,100.0
10202704,110980-03_10202704_0800,10887,100.0
10202704,110980-03_10202704_0800,10888,100.0
10202704,110980-03_10202704_0800,10889,100.0
10202704,110980-03_10202704_0800,10890,100.0
10202704,111190-01_10202704_0101,10891,100.0
10202704,111190-01_10202704_0101,10892,100.0
10202704,111190-01_10202704_0101,10893,100.0
10202704,111190-01_10202704_0101,10894,100.0
10202704,111190-01_10202704_0103,10895,100.0
10202704,111190-01_10202704_0103,10896,100.0
10202704,111190-01_10202704_0103,10897,100.0
10202704,111190-01_10202704_0103,10898,100.0
10202704,111190-01_10202704_0104,10899,100.0
10202704,111190-01_10202704_0104,10900,100.0
10202704,111190-01_10202704_0104,10901,100.0
10202704,111190-01_10202704_0104,10902,100.0
10202705,110980-01_10202705_0700,10903,100.0
10202705,110980-01_10202705_0700,10904,100.0
10202705,110980-01_10202705_0700,10905,100.0
10202705,110980-01_10202705_0700,10906,100.0
10202705,110980-01_10202705_0700,10907,100.0
10202705,110980-01_10202705_0704,10908,100.0
10202705,110980-01_10202705_0704,10909,100.0
10202705,110980-01_10202705_0704,10910,100.0
10202705,110980-01_10202705_0704,10911,100.0
10202705,110980-01_10202705_0704,10912,100.0
10202705,111190-01_10202705_0100,10913,100.0
10202705,111190-01_10202705_0100,10914,100.0
10202705,111190-01_10202705_0100,10915,100.0
10202705,111190-01_10202705_0100,10916,100.0
10202705,111190-01_10202705_0100,10917,100.0
10202705,111190-01_10202705_0100,10918,100.0
10202705,111190-01_10202705_0102,10919,100.0
10202705,111190-01_10202705_0102,10920,100.0
10202705,111190-01_10202705_0102,10921,100.0
10202705,111190-01_10202705_0102,10922,100.0
10202705,111190-01_10202705_0102,10923,100.0
10202705,111190-01_10202705_0102,10924,100.0
10202705,111190-01_10202705_0104,10925,100.0
10202705,111190-01_10202705_0104,10926,100.0
10202705,111190-01_10202705_0104,10927,100.0
10202705,111190-01_10202705_0104,10928,100.0
10202705,111190-01_10202705_0104,10929,100.0
10202705,111190-01_10202705_0104,10930,100.0
10202790,111990-01_10202790_0100,10931,100.0
10202790,111990-01_10202790_0100,10932,100.0
10202790,111990-01_10202790_0100,10933,100.0
10202790,111990-01_10202790_0100,10934,100.0
10202790,111990-01_10202790_0100,10935,100.0
10202790,111990-01_10202790_0100,10936,100.0
10202790,111990-01_10202790_0100,10937,100.0
10202790,111990-01_10202790_0100,10938,100.0
10202790,111990-01_10202790_0100,10939,100.0
10202790,111990-01_10202790_0200,10940,100.0
10202790,111990-01_10202790_0200,10941,100.0
10202790,111990-01_10202790_0200,10942,100.0
10202790,111990-01_10202790_0200,10943,100.0
10202790,111990-01_10202790_0200,10944,100.0
10202790,111990-01_10202790_0200,10945,100.0
10202790,111990-01_10202790_0200,10946,100.0
10202790,111990-01_10202790_0200,10947,100.0
10202790,111990-01_10202790_0200,10948,100.0
10202790,111990-01_10202790_0200,10949,100.0
10202792,111990-01_10202792_0100,10950,100.0
10202792,111990-01_10202792_0100,10951,100.0
10202792,111990-01_10202792_0100,10952,100.0
10202792,111990-01_10202792_0100,10953,100.0
10202792,111990-01_10202792_0100,10954,100.0
10202792,111990-01_10202792_0100,10955,100.0
10202792,111990-01_10202792_0100,10956,100.0
10202792,111990-01_10202792_0100,10957,100.0
10202792,111990-01_10202792_0100,10958,100.0
10202792,111990-01_10202792_0200,10959,100.0
10202792,111990-01_10202792_0200,10960,100.0
10202792,111990-01_10202792_0200,10961,100.0
10202792,111990-01_10202792_0200,10962,100.0
10202792,111990-01_10202792_0200,10963,100.0
10202792,111990-01_10202792_0200,10964,100.0
10202792,111990-01_10202792_0200,10965,100.0
10202792,111990-01_10202792_0200,10966,100.0
10202792,111990-01_10202792_0200,10967,100.0
10202792,111990-01_10202792_0200,10968,100.0
10202793,111990-01_10202793_0100,10969,100.0
10202793,111990-01_10202793_0100,10970,100.0
10202793,111990-01_10202793_0100,10971,100.0
10202793,111990-01_10202793_0100,10972,100.0
10202793,111990-01_10202793_0100,10973,100.0
10202793,111990-01_10202793_0100,10974,100.0
10202793,111990-01_10202793_0100,10975,100.0
10202793,111990-01_10202793_0100,10976,100.0
10202793,111990-01_10202793_0100,10977,100.0
10202793,111990-01_10202793_0200,10978,100.0
10202793,111990-01_10202793_0200,10979,100.0
10202793,111990-01_10202793_0200,10980,100.0
10202793,111990-01_10202793_0200,10981,100.0
10202793,111990-01_10202793_0200,10982,100.0
10202793,111990-01_10202793_0200,10983,100.0
10202793,111990-01_10202793_0200,10984,100.0
10202793,111990-01_10202793_0200,10985,100.0
10202793,111990-01_10202793_0200,10986,100.0
10202793,111990-01_10202793_0200,10987,100.0
10202794,111990-01_10202794_0100,10988,100.0
10202794,111990-01_10202794_0100,10989,100.0
10202794,111990-01_10202794_0100,10990,100.0
10202794,111990-01_10202794_0100,10991,100.0
10202794,111990-01_10202794_0100,10992,100.0
10202794,111990-01_10202794_0100,10993,100.0
10202794,111990-01_10202794_0100,10994,100.0
10202794,111990-01_10202794_0100,10995,100.0
10202794,111990-01_10202794_0100,10996,100.0
10202794,111990-01_10202794_0100,10997,100.0
10202794,111990-01_10202794_0100,10998,100.0
10202794,111990-01_10202794_0200,10999,100.0
10202794,111990-01_10202794_0200,11000,100.0
10202794,111990-01_10202794_0200,11001,100.0
10202794,111990-01_10202794_0200,11002,100.0
10202794,111990-01_10202794_0200,11003,100.0
10202794,111990-01_10202794_0200,11004,100.0
10202794,111990-01_10202794_0200,11005,100.0
10202794,111990-01_10202794_0200,11006,100.0
10202794,111990-01_10202794_0200,11007,100.0
10202794,111990-01_10202794_0200,11008,100.0
10202794,111990-01_10202794_0300,11009,100.0
10202794,111990-01_10202794_0300,11010,100.0
10202794,111990-01_10202794_0300,11011,100.0
10202794,111990-01_10202794_0300,11012,100.0
10202794,111990-01_10202794_0300,11013,100.0
10202794,111990-01_10202794_0300,11014,100.0
10202794,111990-01_10202794_0300,11015,100.0
10202794,111990-01_10202794_0300,11016,100.0
10202794,111990-01_10202794_0300,11017,100.0
10202794,111990-02_10202794_0400,11018,100.0
10202794,111990-02_10202794_0400,11019,100.0
10202794,111990-02_10202794_0400,11020,100.0
