K,P
10000902,151560-01_10072390_0300
10000902,151560-01_10072390_0400
10000956,111470-02_10003320_0101
10000960,123540-08_10000960_0200
10000960,123540-10_10000960_0100
10000987,110980-01_10000987_0700
10000987,110980-01_10000987_0701
10000987,110980-01_10000987_0702
10000987,110980-01_10000987_0706
10000987,111190-01_10000987_0100
10000987,111190-01_10000987_0101
10000987,111190-01_10000987_0102
10000987,111190-03_10000987_0300
10000996,100610-10_10226202_0110
10000996,100610-10_10226202_0120
10000996,100610-10_10226202_0130
10000996,100610-10_10226202_0140
10001012,100650-01_10567418_0110
10001012,100650-01_10567418_0120
10001012,100660-01_11007756_0110
10001012,100680-10_10520539_0110
10001063,123470-20_10001063_0300
10001066,123510-02_10011329_1000
10001066,123510-02_10019448_1000
10001066,123530-05_10001066_0800
10001095,110980-01_10006003_0700
10001095,110980-01_10014688_0100
10001095,110980-01_10070932_0602
10001095,110980-01_10070932_0604
10001095,110980-01_10082444_0700
10001095,110980-01_10088926_0700
10001095,110980-01_10088926_0703
10001095,110980-01_10088927_0700
10001095,110980-01_10088927_0701
10001095,110980-01_10088927_0702
10001095,110980-01_10088927_0703
10001095,110980-01_10237302_0701
10001095,110980-01_10237302_0702
10001095,110980-01_10237302_0703
10001095,110980-01_10237302_0704
10001095,110980-01_10237302_0705
10001095,110980-01_10237302_0706
10001095,110980-01_10577205_0400
10001095,110980-01_10577205_0401
10001095,110980-01_10577205_0402
10001095,110980-01_10577205_0403
10001095,110980-01_10577205_0404
10001095,110980-01_10074572_0700
10001095,110980-01_10074572_0701
10001095,110980-01_10074572_0703
10001095,110980-01_10074572_0705
10001095,110980-02_10577205_0300
10001095,110980-03_10070932_0800
10001095,111130-10_10001095_0100
10001095,111180-09_10503264_0201
10001095,111180-09_10503264_0202
10001095,111180-09_10552964_0100
10001095,111180-09_10561313_0102
10001095,111180-09_10561313_0103
10001095,111180-09_10586867_0100
10001095,111190-01_10018369_0101
10001095,111190-01_10018369_0106
10001095,111190-01_10018369_0108
10001095,111190-01_10079216_0107
10001095,111190-01_10079216_0108
10001095,111190-01_10088926_0100
10001095,111190-01_10088926_0101
10001095,111190-01_10088926_0102
10001095,111190-01_10088931_0100
10001095,111190-01_10088931_0101
10001095,111190-01_10088931_0102
10001095,111190-01_10095837_0101
10001095,111190-01_10095837_0103
10001095,111190-01_10095837_0104
10001095,111190-01_10201765_0101
10001095,111190-01_10201765_0103
10001095,111190-01_10201765_0109
10001095,111190-01_10577205_0100
10001095,111190-01_10577205_0101
10001095,111190-01_10577205_0102
10001095,111190-01_10761199_0102
10001095,111190-01_11010454_0100
10001095,111190-01_11010454_0101
10001095,111190-01_11010454_0102
10001095,111190-03_10088926_0300
10001095,111190-03_11010454_0300
10001095,111580-01_10086324_0600
10001095,123510-02_10018799_1000
10001095,123510-02_10084393_1000
10001095,123510-02_11011442_1000
10001095,123510-05_10016154_1000
10001095,123510-05_10204766_1000
10001095,123510-05_10714021_1200
10001095,123530-05_10071182_0800
10001095,123530-05_10928450_0800
10001095,134130-02_10028021_1400
10001095,134130-02_10028039_1400
10001095,134130-02_10595617_1300
10001095,134130-02_10914252_1100
10001095,134130-02_11001704_1300
10001095,134130-03_10067397_1400
10001095,134130-03_10210103_1400
10001095,134130-04_10027135_1400
10001095,134130-04_10027258_1400
10001095,134130-04_10027438_1400
10001095,134130-04_10027465_1400
10001095,134130-04_10519730_1400
10001095,134130-05_10020557_1700
10001095,134130-05_10020648_1400
10001095,134130-05_10022275_1700
10001095,134130-05_10022315_1400
10001095,134130-05_10023290_1700
10001095,134130-05_10023914_1700
10001095,134130-05_10023917_1400
10001095,134130-05_10025728_1700
10001095,134130-05_10026381_1400
10001095,134130-05_10058137_1300
10001095,134130-05_10123558_1400
10001095,134130-05_10124196_1400
10001095,134130-05_10142212_1400
10001095,134130-05_10193317_1400
10001095,134130-05_10193336_1400
10001095,134130-05_10193370_1400
10001095,134130-05_10193372_1400
10001095,134130-05_10193373_1400
10001095,134130-05_10204620_1700
10001095,134130-05_10206947_1700
10001095,134130-05_10304443_1300
10001095,134130-05_10319118_1700
10001095,134130-05_10327354_1700
10001095,134130-05_10596247_1300
10001095,134130-08_10022460_1400
10001095,134130-08_10025800_1400
10001095,134130-08_10208278_1400
10001109,111260-02_10001109_0500
10001109,111260-02_10001109_0520
10001109,111260-03_10001109_0510
10001181,111810-01_10000446_0100
10001181,140500-01_10001181_0500
10001181,140500-02_10047229_0100
10001245,111150-01_10004843_0400
10001245,111150-01_10012221_0400
10001245,111150-01_10095735_0400
10001245,111150-02_10004843_0100
10001245,111150-02_10012221_0100
10001245,111150-02_10095735_0100
10001245,111180-05_10088926_0200
10001245,111180-05_10088927_0200
10001245,111180-05_10088931_0200
10001245,111390-01_10292510_0101
10001245,111420-12_10001344_0100
10001245,111470-08_10233595_0100
10001245,111500-01_10003100_0200
10001245,111500-01_10005489_0300
10001245,111500-01_10018823_0100
10001245,111500-01_10064285_0200
10001245,111500-01_10071922_0200
10001245,111500-01_10082235_0200
10001245,111500-01_10204666_0200
10001245,111500-01_10205568_0200
10001245,111500-01_10209464_0200
10001245,111500-01_10935951_0100
10001245,111600-01_10001912_0500
10001245,111640-07_10002682_0700
10001245,111700-03_10003670_0500
10001245,111700-03_10013610_0100
10001245,111700-03_10064522_0500
10001245,123020-24_10236902_0900
10001245,123020-24_10595405_0800
10001245,123020-24_10603819_0700
10001245,123020-24_10998712_0700
