Component,ParameterCM1,Sales Product,Site CodeCM1,2013CM1,2014CM1,2015CM1,January 2015CM1,February 2015CM1,March 2015CM1,April 2015CM1,May 2015CM1,June 2015CM1,July 2015CM1,August 2015CM1,September 2015CM1,October 2015CM1,November 2015CM1,December 2015CM1,Unnamed: 22CM1,Unnamed: 23CM1,Unnamed: 24CM1,ParameterAmount,Site CodeAmount,2013Amount,2014Amount,2015Amount,January 2015Amount,February 2015Amount,March 2015Amount,April 2015Amount,May 2015Amount,June 2015Amount,July 2015Amount,August 2015Amount,September 2015Amount,October 2015Amount,November 2015Amount,December 2015Amount,Unnamed: 22Amount,Unnamed: 23Amount,Unnamed: 24Amount,SpecificCM1
10016987,CM1,30061320,50,-552.56,-1367.19,-771.53,-625.77,0.0,0.0,0.0,0.0,0.0,-145.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amount,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10016989,CM1,30587180,50,572135.73,762149.59,1186186.03,42537.76,127664.6,61030.4,122070.01,122684.26,95107.45,95232.45,67136.7,121058.33,96819.73,176018.54,58825.8,0.0,0.0,0.0,Amount,50,76800.0,112200.0,151200.0,6600.0,19800.0,6600.0,13200.0,13200.0,13200.0,13200.0,9300.0,16500.0,13200.0,19800.0,6600.0,0.0,0.0,0.0,7.845145701058201
10017043,CM1,30054434,50,4534340.71,3130538.71,9302782.72,0.0,2181559.49,-5065.34,3804410.07,0.0,620074.08,-28.46,-122632.61,0.0,1371602.44,1313641.05,139222.0,0.0,0.0,0.0,Amount,50,102420.0,74700.0,220050.0,0.0,54810.0,0.0,81090.0,0.0,14850.0,0.0,0.0,0.0,33300.0,31950.0,4050.0,0.0,0.0,0.0,42.275767870938424
10017184,CM1,30034731,50,3856794.31,3850550.48,3611091.5,292262.49,328655.66,386063.03,263187.56,260630.27,297469.36,328086.64,274115.74,257887.71,338317.05,334386.66,250029.33,0.0,0.0,0.0,Amount,50,2688954.0,2804006.0,2494213.0,215080.0,249125.0,270160.0,179560.0,175060.0,199720.0,223620.0,187380.0,168080.0,226600.0,231800.0,168028.0,0.0,0.0,0.0,1.4477879395224065
10017212,CM1,30056753,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amount,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017236,CM1,60096710,100,178919.95,167375.61,162057.09,21345.75,10942.86,23472.36,29225.879999999997,14405.419999999998,15054.34,-7176.44,2135.95,8129.31,12088.9,29337.25,2112.44,0.0,0.0,0.0,Amount,100,167236.5,165356.5,223753.0,23261.0,8479.0,25142.5,29202.0,15300.5,48952.0,17000.0,1300.0,6608.0,8550.5,38653.5,1304.0,0.0,0.0,0.0,0.7242677863537025
10017275,CM1,30055862,50,75022.12,138868.93,118159.59,49657.86,-19337.31,-19346.98,0.0,0.0,16756.94,6478.09,0.0,0.0,14921.76,26106.36,42922.87,0.0,0.0,0.0,Amount,50,83710.0,201630.0,173800.0,63360.0,0.0,0.0,0.0,0.0,18700.0,6600.0,0.0,0.0,9900.0,28930.0,46310.0,0.0,0.0,0.0,0.6798595512082853
10017329,CM1,60635944,100,109817.81,-19.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amount,100,194940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017366,CM1,60628299,100,93643.15,91338.47,38379.98,0.0,0.0,0.0,2686.79,2655.54,0.0,2636.0,2662.47,0.0,0.0,27258.93,480.25,0.0,0.0,0.0,Amount,100,3391.0,8176.5,3054.0,1.5,0.0,0.0,190.0,191.5,0.0,190.0,190.0,0.0,0.0,2290.5,0.5,0.0,0.0,0.0,12.567118533071383
10017415,CM1,182340900,300,8830282.75,10943875.14,4307867.72,-12861.19,17452.74,1021875.22,154056.56,796691.2,728129.06,646310.12,228566.61,0.0,0.0,-6766.95,0.0,0.0,0.0,0.0,Amount,300,793101.7999999999,976365.2,418506.80000000005,-565.0,9763.2,123531.6,14983.8,91710.8,95620.6,62692.4,21515.199999999997,0.0,0.0,-745.8,0.0,0.0,0.0,0.0,10.293423476034318
10017437,CM1,30053701,50,113698.22,12155.14,9418.89,443.55,34.03,472.22,2157.52,1084.37,1418.44,760.32,729.44,794.33,973.03,39.2,610.87,0.0,0.0,0.0,Amount,50,156530.0,36890.0,21320.0,1260.0,700.0,1250.0,3350.0,2500.0,2650.0,700.0,700.0,2920.0,3200.0,0.0,2090.0,0.0,0.0,0.0,0.44178658536585363
10017440,CM1,30042002,50,411888.05,378160.87,398496.88,34000.57,56641.41,24250.06,41090.52,12752.86,11309.22,80056.47,0.0,49027.59,11097.75,54360.77,24092.31,0.0,0.0,0.0,Amount,50,368214.0,324520.0,318710.0,27000.0,43800.0,21580.0,34920.0,10350.0,9750.0,60150.0,0.0,41670.0,9150.0,43840.0,16500.0,0.0,0.0,0.0,1.2503431960089109
10017442,CM1,30034990,50,1910783.94,1998042.64,2720342.02,254402.81,280551.7,314712.67,199761.0,289515.77,379753.0,0.0,0.0,-50.0,0.0,0.0,1001695.07,0.0,0.0,0.0,Amount,50,489600.0,460800.0,402400.0,43200.0,43200.0,43200.0,28800.0,43200.0,57600.0,0.0,0.0,0.0,0.0,0.0,143200.0,0.0,0.0,0.0,6.760293290258449
10017458,CM1,30040203,50,1419496.24,1552508.54,1713736.66,112376.52,201917.01,141717.94,160197.27,138050.83,118253.13,139828.99,150196.59,134858.22,146604.67,141657.57,125121.63,0.0,0.0,0.0,Amount,50,1488340.0,1578945.0,1574751.0,100765.0,178023.0,137654.0,151772.0,135411.0,119913.0,137952.0,145651.0,129120.0,134210.0,126660.0,77620.0,0.0,0.0,0.0,1.088258816790718
10017495,CM1,30043927,50,27872.37,46693.32,-1231.98,0.0,-1231.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amount,50,14320.0,29880.0,3360.0,0.0,3360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3666607142857143
10017526,CM1,30036784,50,54439.85,105472.93,268351.51,69555.52,0.0,-75.0,37677.01,0.0,0.0,51280.95,22881.38,76605.98,-3696.47,-22.18,14144.32,0.0,0.0,0.0,Amount,50,9521.6,12924.8,46414.0,14280.0,0.0,0.0,5780.0,0.0,0.0,6460.0,5101.6,14281.6,-169.2,0.0,680.0,0.0,0.0,0.0,5.78169323910889
10017545,CM1,30048348,50,158378.85,191602.17,5006.13,0.0,2252.59,2753.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amount,50,157500.0,238350.0,4200.0,0.0,2100.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1919357142857143
10017547,CM1,30174351,50,-122556.79,-123464.66,-142683.3,0.0,-56447.86,0.0,-20374.2,-13959.01,-33.64,0.0,0.0,0.0,-5914.6,-35805.07,-10148.92,0.0,0.0,0.0,Amount,50,220000.0,338000.0,350900.0,0.0,135000.0,0.0,38900.0,15000.0,0.0,0.0,0.0,0.0,22000.0,135000.0,5000.0,0.0,0.0,0.0,-0.4066209746366486
10017558,CM1,30034733,50,393601.93,433316.31,449057.35,4968.0,51355.0,48604.1,64321.38,55635.51,30009.54,18387.21,53069.05,37882.39,0.0,36645.03,48180.14,0.0,0.0,0.0,Amount,50,239236.0,285300.0,287087.0,3905.0,33185.0,31465.0,41880.0,36202.0,19640.0,14240.0,34025.0,22880.0,0.0,21925.0,27740.0,0.0,0.0,0.0,1.5641855953073458
10017583,CM1,30048510,50,366534.03,435479.36,170551.06,4021.72,16778.17,46382.96,56643.87,44502.36,10701.84,-12693.2,-520.74,0.0,3184.64,0.0,0.0,0.0,0.0,0.0,Amount,50,180815.0,202513.0,118173.0,2160.0,10082.0,18720.0,25200.0,18001.0,23040.0,11250.0,360.0,0.0,9360.0,0.0,0.0,0.0,0.0,0.0,1.4432320411599942
10017585,CM1,60325526,100,643290.75,399026.10000000003,358913.4,54088.79,54956.88,-9.37,1253.45,51008.82,36702.52,4169.58,0.0,4179.03,50632.0,794.39,105270.38,0.0,0.0,0.0,Amount,100,413101.0,252360.0,182160.0,25920.0,26640.0,0.0,720.0,24480.0,24480.0,2880.0,0.0,2880.0,24480.0,720.0,48960.0,0.0,0.0,0.0,1.9703194993412385
