K,P,r
10000440,111260-01_10213097_0800,-14.640999999999998
10000440,111260-01_10214085_0500,-46.376999999999995
10000440,111260-01_10234339_0500,-16.227
10000440,111260-01_10244043_0510,-24.354
10000440,111260-01_10520104_0500,-23.414
10000440,111260-01_10579452_0300,-1.112
10000440,111260-01_10579452_0400,-1.112
10000440,111260-01_10588639_0500,-39.369
10000440,111260-01_10588840_0300,-16.555
10000440,111260-01_10603731_0500,-23.859
10000440,111260-01_10709148_0100,-43.297
10000440,111260-01_10748892_0400,-28.467
10000440,111260-01_10781543_0100,-23.85
10000440,111260-01_10831370_0200,-2.263
10000440,111260-01_10839311_0100,-53.591
10000440,111260-01_10870400_0500,-25.57
10000440,111260-01_10913865_0100,-2.198
10000440,111260-01_10913865_0400,-2.198
10000440,111260-01_10933957_0300,-46.62
10000440,111260-01_10955317_0100,-21.808000000000003
10000440,111260-01_10963780_0100,-28.482
10000440,111260-01_10970945_0400,-15.392999999999999
10000440,111260-01_10970945_0500,-15.392999999999999
10000440,111260-01_10975650_0100,-10.652999999999999
10000440,111260-01_10997788_0300,-23.947
10000440,111260-01_10934610_0500,-21.753
10000440,111260-01_10879645_0400,-20.43
10000440,111260-01_10980711_0100,-25.698
10000440,111260-01_10999735_0100,-19.676
10000440,111260-01_11036590_0100,-28.471
10000440,111260-02_10001109_0500,-24.451999999999998
10000440,111260-02_10001109_0520,-24.451999999999998
10000440,111260-02_10001953_0500,-34.788000000000004
10000440,111260-02_10009397_0510,-39.78
10000440,111260-02_10009397_0520,-39.78
10000440,111260-02_10009397_0530,-39.78
10000440,111260-02_10061083_0709,-25.035999999999998
10000440,111260-02_10061083_0710,-25.035999999999998
10000440,111260-02_10064207_0500,-7.711
10000440,111260-02_10073709_0510,-24.052
10000440,111260-02_10087187_0510,-40.853
10000440,111260-02_10087992_0510,-39.44
10000440,111260-02_10087992_0530,-39.44
10000440,111260-02_10206673_0500,-53.629
10000440,111260-02_10206673_0600,-53.629
10000440,111260-02_10207964_0510,-24.085
10000440,111260-02_10207964_0520,-24.085
10000440,111260-02_10210827_0500,-53.348
10000440,111260-02_10210827_0600,-53.348
10000440,111260-02_10244043_0500,-24.354
10000440,111260-02_10508450_0500,-28.276
10000440,111260-02_10508450_0600,-28.276
10000440,111260-02_10520104_0600,-23.414
10000440,111260-02_10520104_0700,-23.414
10000440,111260-02_10567149_0500,-53.0
10000440,111260-02_10567149_0600,-53.0
10000440,111260-02_10606772_0600,-21.83
