K,P,r
10007980,111190-01_10201152_0100,-0.113
10007980,111190-01_10201153_0200,-0.08900000000000001
10007980,111190-01_10201153_0201,-0.08900000000000001
10007980,111190-01_10201153_0204,-0.08900000000000001
10007980,111190-01_10202203_0100,-0.057
10007980,111190-01_10202203_0101,-0.057
10007980,111190-01_10202203_0102,-0.057
10007980,111190-01_10202203_0103,-0.057
10007980,111190-01_10203517_0101,-0.152
10007980,111190-01_10203517_0104,-0.152
10007980,111190-01_10203517_0105,-0.152
10007980,111190-01_10205499_0400,-0.175
10007980,111190-01_10205499_0401,-0.175
10007980,111190-01_10205499_0402,-0.175
10007980,111190-01_10206957_0101,-0.195
10007980,111190-01_10206957_0102,-0.195
10007980,111190-01_10206957_0103,-0.195
10007980,111190-01_10206978_0101,-0.298
10007980,111190-01_10206978_0103,-0.298
10007980,111190-01_10206978_0104,-0.298
10007980,111190-01_10207868_0101,-0.258
10007980,111190-01_10207868_0102,-0.258
10007980,111190-01_10207868_0103,-0.258
10007980,111190-01_10208174_0101,-0.16899999999999998
10007980,111190-01_10208174_0105,-0.16899999999999998
10007980,111190-01_10208174_0109,-0.16899999999999998
10007980,111190-01_10209845_0100,-0.08800000000000001
10007980,111190-01_10209845_0102,-0.08800000000000001
10007980,111190-01_10209845_0103,-0.08800000000000001
10007980,111190-01_10209845_0104,-0.08800000000000001
10007980,111190-01_10209934_0111,-0.084
10007980,111190-01_10210267_0101,-0.146
10007980,111190-01_10210267_0107,-0.146
10007980,111190-01_10210267_0108,-0.146
10007980,111190-01_10211144_0101,-0.223
10007980,111190-01_10211144_0106,-0.223
10007980,111190-01_10211144_0108,-0.223
10007980,111190-01_10212240_0100,-0.55
10007980,111190-01_10212240_0105,-0.55
10007980,111190-01_10212240_0106,-0.55
10007980,111190-01_10213092_0100,-0.07
10007980,111190-01_10213092_0101,-0.07
10007980,111190-01_10213092_0102,-0.07
10007980,111190-01_10213092_0103,-0.07
10007980,111190-01_10213093_0100,-0.053
10007980,111190-01_10213093_0101,-0.053
10007980,111190-01_10213093_0400,-0.054000000000000006
10007980,111190-01_10213093_0401,-0.054000000000000006
10007980,111190-01_10213095_0100,-0.1
10007980,111190-01_10213095_0101,-0.1
10007980,111190-01_10213095_0102,-0.1
10007980,111190-01_10213095_0103,-0.1
10007980,111190-01_10213257_0100,-0.078
10007980,111190-01_10213257_0101,-0.078
10007980,111190-01_10213257_0102,-0.078
10007980,111190-01_10235438_0101,-0.285
10007980,111190-01_10235438_0104,-0.285
10007980,111190-01_10235438_0105,-0.285
10007980,111190-01_10237583_0100,-0.057
10007980,111190-01_10237583_0101,-0.057
10007980,111190-01_10237583_0102,-0.057
10007980,111190-01_10237583_0103,-0.057
10007980,111190-01_10242280_0400,-0.109
10007980,111190-01_10242280_0401,-0.109
10007980,111190-01_10242280_0402,-0.109
10007980,111190-01_10242352_0200,-0.11
10007980,111190-01_10294700_0101,-0.19
10007980,111190-01_10294700_0107,-0.19
10007980,111190-01_10298391_0101,-0.049
10007980,111190-01_10298391_0105,-0.049
10007980,111190-01_10298391_0109,-0.049
10007980,111190-01_10301997_0100,-0.114
10007980,111190-01_10301997_0101,-0.114
10007980,111190-01_10301997_0102,-0.114
10007980,111190-01_10327703_0100,-0.096
10007980,111190-01_10327703_0101,-0.096
10007980,111190-01_10327703_0105,-0.096
10007980,111190-01_10504699_0102,-0.075
10007980,111190-01_10510640_0101,-0.09
10007980,111190-01_10510640_0103,-0.09
10007980,111190-01_10510640_0104,-0.09
10007980,111190-01_10510640_0105,-0.09
10007980,111190-01_10510640_0106,-0.09
10007980,111190-01_10510640_0107,-0.09
10007980,111190-01_10510640_0108,-0.09
10007980,111190-01_10510640_0109,-0.09
10007980,111190-01_10510640_0110,-0.09
10007980,111190-01_10515498_0100,-0.109
10007980,111190-01_10515498_0101,-0.109
10007980,111190-01_10515498_0102,-0.109
10007980,111190-01_10520647_0100,-0.136
10007980,111190-01_10520647_0103,-0.136
10007980,111190-01_10520647_0106,-0.136
10007980,111190-01_10535416_0101,-0.011000000000000001
10007980,111190-01_10561179_0101,-0.006
10007980,111190-01_10561179_0105,-0.006
10007980,111190-01_10561179_0111,-0.006
10007980,111190-01_10576627_0102,-0.11
10007980,111190-01_10576627_0111,-0.11
10007980,111190-01_10577210_0100,-0.16
10007980,111190-01_10577210_0101,-0.16
10007980,111190-01_10577210_0110,-0.16
10007980,111190-01_10586479_0101,-0.172
10007980,111190-01_10586479_0106,-0.172
10007980,111190-01_10586479_0107,-0.172
10007980,111190-01_10704522_0100,-0.311
10007980,111190-01_10704522_0101,-0.311
10007980,111190-01_10704522_0102,-0.311
10007980,111190-01_10713175_0100,-0.12
10007980,111190-01_10713175_0101,-0.12
10007980,111190-01_10781731_0100,-0.131
10007980,111190-01_10781731_0101,-0.131
10007980,111190-01_10885858_0100,-0.057999999999999996
10007980,111190-01_10885858_0101,-0.057999999999999996
10007980,111190-01_10885858_0102,-0.057999999999999996
10007980,111190-01_10914597_0100,-0.01
10007980,111190-01_10914597_0101,-0.01
10007980,111190-01_10914597_0102,-0.01
10007980,111190-01_10915393_0100,-0.012
10007980,111190-01_10915393_0101,-0.012
10007980,111190-01_10915393_0102,-0.012
10007980,111190-01_10920464_0100,-0.22
10007980,111190-01_10934390_0100,-0.217
10007980,111190-01_10934390_0101,-0.217
10007980,111190-01_10934390_0102,-0.217
10007980,111190-01_10937407_0100,-0.099
10007980,111190-01_10972289_0100,-0.235
10007980,111190-01_10972289_0101,-0.235
10007980,111190-01_10972289_0102,-0.235
10007980,111190-01_10213257_0103,-0.078
10007980,111190-03_10000987_0300,-0.113
10007980,111190-03_10004665_0300,-0.24
10007980,111190-03_10004665_0301,-0.24
10007980,111190-03_10006003_0300,-0.166
10007980,111190-03_10010953_0300,-0.20600000000000002
10007980,111190-03_10010953_0301,-0.20600000000000002
10007980,111190-03_10011930_0300,-0.358
10007980,111190-03_10017329_0300,-0.18899999999999997
10007980,111190-03_10017329_0301,-0.18899999999999997
10007980,111190-03_10017769_0300,-0.20199999999999999
10007980,111190-03_10017769_0301,-0.20199999999999999
10007980,111190-03_10017904_0201,-0.10099999999999999
10007980,111190-03_10017904_0203,-0.10099999999999999
10007980,111190-03_10017924_0201,-0.092
10007980,111190-03_10017924_0202,-0.092
10007980,111190-03_10017925_0201,-0.106
10007980,111190-03_10017925_0202,-0.106
10007980,111190-03_10017927_0201,-0.07400000000000001
10007980,111190-03_10017927_0202,-0.07400000000000001
10007980,111190-03_10017954_0201,-0.08900000000000001
10007980,111190-03_10017954_0203,-0.08900000000000001
10007980,111190-03_10017955_0201,-0.10400000000000001
10007980,111190-03_10017955_0202,-0.10400000000000001
10007980,111190-03_10017956_0300,-0.19399999999999998
10007980,111190-03_10017956_0301,-0.19399999999999998
10007980,111190-03_10018741_0201,-0.073
10007980,111190-03_10018741_0202,-0.073
10007980,111190-03_10019490_0300,-0.2
10007980,111190-03_10019490_0301,-0.2
10007980,111190-03_10060177_0201,-0.155
10007980,111190-03_10060177_0202,-0.155
10007980,111190-03_10060178_0301,-0.14
10007980,111190-03_10060178_0302,-0.14
10007980,111190-03_10060180_0300,-0.235
10007980,111190-03_10060180_0301,-0.235
10007980,111190-03_10061584_0300,-0.10800000000000001
10007980,111190-03_10065760_0300,-0.091
10007980,111190-03_10066203_0300,-0.10400000000000001
10007980,111190-03_10067290_0300,-0.092
10007980,111190-03_10077239_0301,-0.18899999999999997
10007980,111190-03_10077239_0302,-0.18899999999999997
10007980,111190-03_10085701_0300,-0.061
10007980,111190-03_10088146_0300,-0.096
10007980,111190-03_10088146_0301,-0.096
10007980,111190-03_10088146_0302,-0.096
10007980,111190-03_10088210_0301,-0.172
10007980,111190-03_10088210_0302,-0.172
10007980,111190-03_10088833_0300,-0.111
10007980,111190-03_10096728_0300,-0.115
10007980,111190-03_10201018_0201,-0.025
10007980,111190-03_10201018_0202,-0.025
10007980,111190-03_10201120_0300,-0.11900000000000001
10007980,111190-03_10201120_0302,-0.11900000000000001
10007980,111190-03_10203517_0301,-0.152
10007980,111190-03_10205499_0300,-0.187
10007980,111190-03_10205499_0301,-0.187
10007980,111190-03_10206957_0300,-0.195
10007980,111190-03_10206957_0301,-0.195
10007980,111190-03_10207868_0300,-0.258
10007980,111190-03_10207868_0301,-0.258
10007980,111190-03_10209934_0301,-0.084
10007980,111190-03_10210267_0301,-0.146
10007980,111190-03_10210267_0302,-0.146
10007980,111190-03_10242280_0500,-0.109
10007980,111190-03_10242280_0501,-0.109
10007980,111190-03_10257431_0300,-0.531
10007980,111190-03_10294700_0301,-0.19
10007980,111190-03_10294700_0302,-0.19
10007980,111190-03_10298391_0300,-0.049
10007980,111190-03_10301997_0300,-0.114
10007980,111190-03_10327703_0300,-0.096
10007980,111190-03_10327703_0302,-0.096
10007980,111190-03_10504699_0300,-0.075
10007980,111190-03_10561179_0301,-0.006
10007980,111190-03_10561179_0302,-0.006
10007980,111190-03_10576627_0301,-0.11
10007980,111190-03_10576627_0302,-0.11
10007980,111190-03_10583972_0300,-0.083
10007980,111190-03_10585451_0301,-0.14
10007980,111190-03_10596860_0300,-0.106
10007980,111190-03_10713175_0300,-0.12
10007980,111190-03_10848567_0400,-0.015
10007980,111190-03_10885858_0300,-0.057999999999999996
10007980,111190-03_10885858_0301,-0.057999999999999996
10007980,111190-03_10914597_0300,-0.01
10007980,111190-03_10914597_0301,-0.01
10007980,111190-03_10915393_0300,-0.012
10007980,111190-03_10951890_0300,-0.059000000000000004
10007980,111190-03_10298391_0301,-0.049
10007980,111190-03_11036872_0300,-0.091
10007980,111240-12_10207217_0100,-5.803
10007980,111240-12_10586341_0100,-5.8
10007980,111240-12_10874067_0200,-4.8580000000000005
10007980,123020-24_10950502_0700,-0.004
10007980,123020-73_10599651_0800,-0.02
10007980,123020-73_10707410_0700,-0.01
10007980,123020-84_10599651_0700,-0.02
10007980,123350-85_10202394_0400,-2.0
10007980,123350-85_10997924_0100,-2.0
10007980,123510-02_10004777_1000,-0.4
10007980,123510-02_10205210_1200,-1.198
10007980,123530-01_10850356_0100,-9.1
10007980,123530-01_10850356_0800,-9.1
10007980,123530-03_10995217_0100,-10.74
10007980,123530-05_10000756_0800,-0.08
10007980,123530-05_10000756_0801,-0.08
10007980,123530-05_10000756_0802,-0.08
10007980,123530-05_10001294_0800,-0.29
10007980,123530-05_10001294_0801,-0.29
10007980,123530-05_10001294_0802,-0.29
10007980,123530-05_10001308_0800,-0.43
10007980,123530-05_10012384_0800,-0.17
10007980,123530-05_10016786_0800,-0.18
10007980,123530-05_10016786_0801,-0.18
10007980,123530-05_10016786_0802,-0.18
10007980,123530-05_10063805_0800,-0.66
10007980,123530-05_10066090_0800,-0.74
10007980,123530-05_10066090_0801,-0.74
10007980,123530-05_10096297_0800,-0.183
10007980,123530-05_10096297_0801,-0.183
10007980,123530-05_10206862_0800,-0.04
10007980,123530-05_10206862_0801,-0.04
10007980,123530-05_10207671_0800,-0.19
10007980,123530-05_10293678_0800,-0.35
10007980,123530-05_10941969_0100,-0.04
10007980,123530-05_10949401_0100,-0.21
10007980,123530-05_10949401_0101,-0.21
10007980,123530-05_10949401_0102,-0.21
10007980,123530-05_10998398_0100,-0.094
10007980,123530-05_11000314_0100,-0.03
10007980,123680-18_10778949_0200,-37.0
10007980,123680-18_10926338_0100,-172.66
10007980,124870-03_10019947_0500,-6.92
10007980,124870-03_10704006_0100,-6.7
10007980,124970-60_10086950_0200,-1.6
10007980,124970-60_10916953_0100,-1.6
10007980,125040-05_10202171_0300,-9.0
10007980,125040-05_11004958_0100,-9.0
10007980,135090-01_10072240_0300,-159.649
10007980,135090-01_10204110_0100,-76.557
10007980,135090-15_10402079_0200,-30.206
10007980,135120-15_10966290_0200,-4.5
10007980,136040-18_10204048_0100,-0.9520000000000001
10007980,136040-18_10557733_0100,-0.941
10007980,136040-18_10928022_0100,-0.956
10007980,136060-10_10062494_0200,-3.7039999999999997
10007980,136060-10_10062494_0300,-4.79
10007980,136060-11_10839329_0100,-10.789000000000001
10007980,136060-11_10062494_0300,-4.79
10007980,151210-76_10003896_0200,-38.4
10007980,151210-76_10082858_0300,-49.5
10007980,151210-77_10070501_0300,-53.0
10007980,151330-06_10002938_0200,-65.0
10007980,151330-06_10074299_0200,-32.5
10007980,151330-06_10074454_0600,-38.7
10007980,151330-06_10082858_0200,-49.5
10007980,151330-06_10083122_0500,-49.0
10007980,151330-08_10074299_0800,-32.5
10007980,151330-08_10074454_0700,-38.7
10007980,151330-08_10075303_0400,-90.0
10007980,151330-08_10087059_0100,-51.7
10007980,151330-09_10068731_0400,-46.4
10007982,100700-10_10585870_0110,-101.43
10007982,100700-10_10976254_0110,-41.4
10007982,134270-02_10134407_0100,-115.0
10007982,134270-02_10134408_0100,-115.0
10007982,134270-02_10138795_0100,-125.0
10007987,123550-01_10007987_1000,100.0
10007987,123550-02_10018866_1000,-175.0
10007987,123550-03_10001481_1000,-85.837
10007987,123550-03_10001481_1100,-85.837
10007987,123550-03_10012422_1000,-78.333
10007987,123550-03_10012422_1100,-78.333
10007987,123550-03_10072362_1000,-92.083
10007987,123550-03_10072362_1100,-92.083
10007987,123550-03_10086960_1000,-83.333
10007987,123550-03_10086960_1100,-83.333
10007987,123550-03_10086961_1000,-67.5
10007987,123550-03_10086961_1100,-67.5
10007987,123550-03_10088735_1000,-80.833
10007987,123550-03_10088735_1100,-80.833
10007987,123550-03_10201966_1000,-86.18799999999999
10007987,123550-03_10201966_1100,-86.18799999999999
10007987,123550-03_10202410_1000,-86.81299999999999
10007987,123550-03_10202410_1100,-86.81299999999999
10007987,123550-03_10294697_1000,-81.82600000000001
10007987,123550-03_10294697_1100,-81.82600000000001
10007987,123550-06_10243745_1000,-17.0
10007987,123550-07_10074884_1000,-49.8
10008019,100410-09_10007142_0200,-0.1
10008019,100410-09_10552330_0100,-1.031
10008019,100620-06_10015267_0200,-91.78
10008019,100660-01_11004258_0110,-5.5
10008019,111180-05_10088926_0200,-2.4819999999999998
10008019,111180-05_10088927_0200,-4.9639999999999995
10008019,111180-05_10088931_0200,-4.9639999999999995
10008019,111460-01_10000440_0101,-1.3
10008019,111470-02_10003320_0101,-0.318
10008019,111560-05_10002282_0200,-12.627
10008019,111560-05_10063223_0100,-12.755
10008019,111690-01_10003650_0200,-18.0
10008019,123020-24_10595405_0800,-1.0759999999999998
10008019,123020-24_10998712_0700,-8.402999999999999
10008019,123020-72_10069909_0700,-13.182
10008019,123020-85_10065499_0700,-36.879
10008019,123090-01_10060650_0100,-0.183
10008019,123090-01_10205585_0100,-0.183
10008019,123090-12_10001388_0800,-0.55
10008019,123350-80_10936847_0100,-122.0
10008019,123350-84_10202170_0300,-2.0
10008019,123350-86_10202392_0300,-50.0
10008019,123410-12_10074093_0200,-33.583
10008019,123410-12_10074093_0210,-33.264
10008019,123410-12_10074093_0220,-32.056999999999995
10008019,123410-12_10074093_0230,-34.003
10008019,123410-12_10074093_0240,-33.851
10008019,123410-12_10074093_0250,-33.583
10008019,123410-12_10074093_0260,-33.583
10008019,123410-12_10074093_0270,-33.583
10008019,123410-15_10000533_0100,-15.004000000000001
10008019,123410-15_10000533_0110,-15.062999999999999
10008019,123410-15_10013914_0100,-14.607999999999999
10008019,123410-15_10014806_0200,-13.48
10008019,123410-15_10014806_0210,-13.459000000000001
10008019,123410-15_10018927_0200,-18.42
10008019,123410-15_10018958_0200,-10.618
10008019,123410-15_10061696_0200,-9.727
10008019,123410-15_10061700_0200,-13.01
10008019,123410-15_10061700_0210,-12.967
10008019,123410-15_10071258_0200,-14.203
10008019,123410-15_10071258_0210,-13.575999999999999
10008019,123410-15_10071258_0300,-13.998
10008019,123410-15_10071258_0400,-13.630999999999998
10008019,123410-15_10071258_0500,-14.106
10008019,123410-15_10071260_0200,-18.512999999999998
10008019,123410-15_10071262_0200,-12.104000000000001
10008019,123410-15_10071262_0300,-12.18
10008019,123410-15_10097505_0300,-19.281
10008019,123410-15_10228859_0100,-18.163
10008019,123410-15_10784438_0100,-12.13
10008019,123410-15_10870645_0100,-1.54
10008019,123410-15_10875166_0100,-2.755
10008019,123410-15_10880655_0100,-2.883
10008019,123410-15_10898908_0100,-2.904
10008019,123410-15_10966758_0100,-2.832
10008019,123410-15_10975780_0200,-13.833
10008019,123410-15_10975780_0210,-13.655999999999999
10008019,123410-15_10987735_0100,-13.286
10008019,123410-15_10988448_0100,-0.001
10008019,123410-15_11000160_0100,-0.991
10008019,123410-15_11001677_0100,-13.552
10008019,123410-15_11001677_0200,-13.411
10008019,123410-15_11011443_0100,-16.078
10008019,123410-15_11024115_0100,-14.975999999999999
10008019,123410-15_10987736_0100,-2.755
10008019,123420-11_10574542_0100,-60.7
10008019,123420-13_10212873_0100,-10.3
10008019,123420-18_10218684_0100,-293.76
10008019,123420-18_10990302_0100,-80.78399999999999
10008019,123420-20_10096282_0100,-1.298
10008019,123520-02_10503079_0300,-0.35
10008019,123520-03_10316502_0100,-0.364
10008019,123520-07_10000511_0101,-2.5
10008019,123530-05_10077202_0800,-15.91
10008019,123550-01_10007987_1000,-190.0
10008019,123550-03_10012422_1000,-0.792
10008019,123550-03_10012422_1100,-0.792
10008019,123550-03_10086960_1000,-0.5920000000000001
10008019,123550-03_10086960_1100,-0.5920000000000001
10008019,123550-03_10088735_1000,-0.775
10008019,123550-03_10088735_1100,-0.775
10008019,123550-06_10243745_1000,-0.5
10008019,123550-07_10074884_1000,-0.51
10008019,123550-08_10235864_1000,-3.188
10008019,123680-05_10971757_0100,-83.4
10008019,123680-08_10952365_0100,-15.0
10008019,123680-20_10539395_0100,-0.019
10008019,123680-20_10539395_9800,-0.013999999999999999
10008019,124500-02_10014357_0200,-6.0
10008019,124600-10_10003860_0700,-47.8
10008019,124600-10_10003860_0800,-47.8
10008019,124600-10_10906640_0100,-59.2
10008019,124600-10_10962981_0100,-108.0
10008019,124860-02_10205591_0100,-331.63199999999995
10008019,124860-02_10594532_0199,-185.625
10008019,124860-02_10594532_0300,-185.625
10008019,124870-07_10066790_0702,-118.766
10008019,124870-07_10066790_0703,-118.766
10008019,124870-09_10016346_0500,-108.11200000000001
10008019,124870-16_10066790_0704,-115.758
10008019,124870-16_10211758_0100,-72.348
10008019,124930-05_10000811_0500,-6.617999999999999
10008019,124930-05_10202061_0501,-0.14
10008019,124930-05_10214019_0500,-0.127
10008019,124930-05_10214019_0510,-0.127
10008019,124930-05_10936412_0500,-0.2
10008019,124970-10_10016267_0300,-2.1
10008019,135090-01_10007102_0400,-149.352
10008019,135090-14_10967654_0100,-4.841
10008019,135090-14_10974229_0100,-3.596
10008019,135090-15_10095144_0300,-401.64
10008019,135090-15_10095145_0200,-400.469
10008019,135090-15_10214248_0200,-444.652
10008019,135090-15_10402079_0200,-263.518
10008019,135090-15_10931353_0100,-538.549
10008019,135090-15_10931354_0100,-549.32
10008019,135090-16_10886281_0100,-9.251
10008019,135120-01_10018718_0100,-0.001
10008019,135120-01_10060564_0100,-0.001
10008019,135120-01_10060566_0100,-144.043
10008019,135120-01_10096718_0100,-28.393
10008019,135120-01_10952256_0100,-167.092
10008019,135120-01_10952257_0100,-80.02600000000001
10008019,135120-01_10952258_0100,-167.092
10008019,135120-01_10952285_0100,-0.095
10008019,135120-01_10989132_0100,-0.001
10008019,135120-14_10975347_0400,-712.6
10008019,135120-15_10931526_0200,-540.82
10008019,135120-15_10952911_0200,-1073.98
10008019,135120-16_10203941_0200,-0.001
10008019,135120-16_10205109_0200,-0.01
10008019,135120-16_10544648_0200,-0.005
10008019,135120-16_10607694_0100,-1361.352
10008019,135120-16_10927247_0200,-567.62
10008019,135120-16_10961367_0200,-1020.0
10008019,135120-16_10964201_0200,-727.041
10008019,135120-16_10975347_0300,-712.6
10008019,135130-02_10012233_0200,-2.0
10008019,151330-10_10017781_0100,-13.0
10008019,162080-01_10558874_0100,-187.831
10008019,162080-04_10558874_0300,-165.567
10008019,162150-01_10004472_1000,-3.9219999999999997
10008023,124870-09_10016346_0500,-130.681
10008026,111580-04_10008026_0400,100.0
10008026,123590-08_10065285_0300,-34.93
10008026,151450-01_10756753_0100,-6.0
10008070,135100-21_10005767_0500,-100.0
10008111,111230-06_10008111_0100,100.0
10008111,111230-06_10008111_0200,100.0
10008122,111600-06_10008122_0500,100.0
10008124,111600-05_10008124_0600,100.0
10008124,111600-06_10008122_0500,-100.0
10008142,111570-01_10544630_0100,0.7020000000000001
10008142,111650-03_10002207_0100,-100.0
10008220,100620-01_10005510_0210,-5.0
10008220,100620-01_10018821_0210,-40.1
10008220,100620-01_10812057_0110,-40.1
10008220,110320-07_10064254_0100,-25.0
10008220,110320-07_10081266_0100,-28.0
10008220,151210-77_10070501_0300,-0.15
10008220,162430-02_10072807_0200,-2.7
10008224,140040-13_10006244_0500,-16.298
10008224,140320-01_10006283_0400,101.39
10008284,111640-03_10008284_0300,100.0
10008284,111640-08_10008284_0800,100.0
10008321,123420-11_10574542_0100,-23.4
10008321,162590-01_10008321_0200,100.0
10008350,140500-01_10001181_0500,-1.6280000000000001
10008350,140500-01_10001181_0500,0.9159999999999999
10008352,111810-01_10000446_0100,0.36
10008355,140500-01_10001181_0500,14.95
10008360,140500-01_10001181_0500,-10.532
10008372,140500-01_10001181_0500,27.27
10008425,111230-06_10014827_0100,-42.743
10008425,111230-06_10014827_0200,-42.743
10008425,111230-06_10063694_0600,-46.646
10008425,111230-06_10070668_0100,-15.02
10008425,111230-06_10070668_0200,-15.02
10008425,111230-06_10087187_0200,-1.9980000000000002
10008425,111230-06_10088500_0100,-19.195
10008425,111230-06_10088500_0200,-19.195
10008425,111230-06_10202135_0100,-17.324
10008425,111230-06_10202135_0200,-17.324
10008425,111230-06_10211274_0100,-19.993
10008425,111230-06_10211274_0200,-19.993
10008425,111230-06_10234339_0600,-37.889
10008425,111230-06_10263637_0100,-42.332
10008425,111230-06_10542880_0200,-42.603
10008425,111230-06_10542880_0300,-42.603
10008425,111230-06_10566888_0100,-16.065
10008425,111230-06_10566888_0300,-16.065
10008425,111230-06_10603449_0100,-13.927999999999999
10008425,111230-06_10603449_0300,-13.927999999999999
10008425,111230-06_10739817_0200,-47.508
10008425,111230-06_10739817_0300,-47.508
10008425,111230-06_10777106_0300,-49.335
10008425,111230-06_10777106_0400,-49.335
10008425,111230-06_10784130_0100,-22.706
10008425,111230-06_10784130_0200,-22.706
10008425,111230-06_10814907_0100,-41.69
10008425,111230-06_10814907_0200,-41.69
10008425,111230-06_10827345_0300,-23.521
10008425,111230-06_10827345_0400,-23.521
10008425,111230-06_10839115_1111,-45.236999999999995
10008425,111230-06_10857100_0200,-30.544
10008425,111230-06_10857100_0400,-30.544
10008425,111230-06_10903414_0300,-25.775
10008425,111230-06_10903414_0400,-25.775
10008425,111230-06_10909676_0300,-28.189
10008425,111230-06_10913865_0200,-29.662
10008425,111230-06_10913865_0300,-29.662
10008425,111230-06_10963671_0300,-40.663000000000004
10008425,111230-06_10975650_0200,-10.639000000000001
10008425,111230-06_10975650_0300,-10.639000000000001
10008425,111230-06_10984174_1111,-22.276999999999997
10008425,111230-06_10994393_0100,-10.421
10008425,111230-06_10994393_0200,-10.421
10008425,111230-06_10996525_0300,-35.746
10008425,111230-06_10996525_0400,-35.746
10008425,111230-06_10999733_0200,-30.410999999999998
10008425,111230-06_10999733_0300,-30.410999999999998
10008425,111230-06_10999735_1111,-7.631
10008425,111230-06_11006069_1111,-51.521
10008425,111230-06_11010065_0200,-3.79
10008425,111230-06_11010065_0300,-3.79
10008425,111230-06_11019881_1111,-43.373999999999995
10008425,111230-06_11022520_1111,-21.44
10008425,111230-06_11023382_1111,-10.144
10008425,111230-06_11038708_1111,-35.544000000000004
10008425,111230-06_11041537_1111,-19.413
10008425,111260-01_10070668_0500,-15.087
10008425,111260-01_10087187_0500,-2.044
10008425,111260-01_10211274_0300,-20.383
10008425,111260-01_10234339_0500,-38.945
10008425,111260-01_10537599_0500,-10.882
10008425,111260-01_10538939_0100,-24.034000000000002
10008425,111260-01_10542880_0400,-42.683
10008425,111260-01_10552353_0110,-21.76
10008425,111260-01_10569503_0200,-24.019000000000002
10008425,111260-01_10579452_0300,-32.236999999999995
10008425,111260-01_10579452_0400,-32.236999999999995
10008425,111260-01_10580590_0100,-18.896
10008425,111260-01_10589790_0100,-21.921
10008425,111260-01_10739817_0100,-46.781000000000006
10008425,111260-01_10913865_0100,-30.765
10008425,111260-01_10913865_0400,-30.765
10008425,111260-01_10975650_0100,-10.845
10008425,111260-01_10996525_0500,-36.436
10008425,111260-01_10999735_0100,-7.781000000000001
10008425,111260-01_10963671_0100,-41.49
10008425,111260-02_10064482_0500,-52.549
10008425,111260-02_10087187_0510,-2.044
10008425,111260-02_10201117_0500,-54.369
10008425,111260-02_10201117_0510,-54.369
10008425,111260-02_10201117_0520,-54.369
10008425,111260-02_10212140_0500,-55.798
10008425,111260-02_10212140_0510,-55.798
10008425,111260-02_10212140_0520,-55.798
10008425,111260-02_10234062_0500,-56.036
10008425,111260-02_10234062_0510,-56.036
10008425,111260-02_10234062_0520,-56.036
10008425,111260-02_10297343_0500,-18.344
10008425,111260-02_10297343_0510,-18.344
10008425,111260-02_10515527_0500,-59.115
10008425,111260-02_10515527_0520,-59.115
10008425,111260-02_10515527_0530,-59.115
10008425,111260-02_10537599_0300,-10.882
10008425,111260-02_10537599_0400,-10.882
10008425,111260-02_10234339_0700,-37.147
10008425,111260-02_10542880_0600,-42.683
10008425,111260-02_10542880_0700,-42.683
10008425,111260-02_11036459_0500,-18.329
10008425,111260-02_11019881_0100,-44.225
10008425,111260-03_10297343_0520,-18.344
10008425,111260-03_10552353_0300,-21.76
10008425,111260-10_10538939_0300,-24.034000000000002
10008425,111260-10_10538939_0500,-24.034000000000002
10008425,111260-10_10569503_0220,-24.019000000000002
10008425,111260-10_10234339_0700,-38.945
10008425,111260-10_10234339_0600,-38.945
10008425,111260-11_10016528_0500,-48.161
10008425,111260-11_10016528_0600,-48.161
10008425,111260-11_10017458_0500,-43.95
10008425,111260-11_10063694_0500,-47.111000000000004
10008425,111260-11_10068659_0500,-23.090999999999998
10008425,111260-11_10068659_0600,-23.090999999999998
10008425,111260-11_10096123_0500,-39.025
10008425,111260-11_10096123_0600,-39.025
10008425,111260-11_10263637_0500,-42.836000000000006
10008425,111260-11_10263637_0600,-42.836000000000006
10008425,111260-11_10552353_0100,-21.76
10008425,111260-11_10552353_0200,-21.76
10008425,111260-11_10589790_0400,-21.921
10008425,111260-11_10739817_0500,-46.781000000000006
10008425,111260-11_10739817_0600,-46.781000000000006
10008425,111260-11_10739817_0800,-46.781000000000006
10008425,111260-11_10847612_0100,-17.664
10008425,111260-11_10847612_0200,-17.664
10008425,111260-11_10847612_0300,-17.664
10008425,111260-11_10975650_0400,-10.845
10008425,111260-11_10975650_0500,-10.845
10008425,111260-11_10542880_0600,-42.683
10008425,111260-11_11019881_0100,-44.225
10008425,111450-01_10008425_0101,100.0
10008425,151450-01_10756753_0100,-9.9
10008425,151450-01_11009986_0100,-15.0
10008444,110980-01_10008444_0701,100.0
10008444,110980-01_10008444_0702,100.0
10008775,124930-12_10008775_1200,100.0
10008775,124930-12_10008775_1210,100.0
10008775,124930-13_10008775_1300,100.0
10008775,124930-13_10008775_1310,100.0
10008869,110980-01_10008869_0603,100.0
10008869,110980-01_10008869_0605,100.0
10008869,110980-01_10008869_0606,100.0
10008869,110980-01_10008869_0607,100.0
10008869,110980-01_10008869_0900,100.0
10008869,110980-02_10008869_0200,100.0
10008869,110980-02_10008869_0201,100.0
10008869,110980-02_10008869_0800,100.0
10008995,110980-01_10008995_0701,100.0
10008995,110980-01_10008995_0702,100.0
10008995,111480-01_10006961_0200,-0.004
10008995,111480-01_10205834_0200,-0.004
