K,P,h
10003901,111190-01_10972289_0101,1
10003901,111190-01_10972289_0102,1
10003901,111190-03_10956034_0300,1
10003901,111230-06_10880595_1111,1
10003901,111230-06_10880595_0300,1
10003901,123410-15_10582753_0100,1
10003901,123410-15_10582753_0200,1
10003901,123510-05_10559454_1100,1
10003901,111190-01_10591655_0101,1
10003901,123510-05_10703866_1200,1
10003901,123520-03_10316502_0100,1
10003901,135090-01_10204110_0100,1
10003901,151330-06_10074299_0200,1
10003901,111190-01_10956034_0102,1
10003901,111190-01_10591655_0100,1
10003901,111190-01_10510640_0101,1
10003901,111190-01_10579453_0103,1
10003901,111190-01_10579453_0104,1
10003901,110980-02_10240547_0200,1
10003901,111190-01_10095046_0101,1
10003901,111190-01_10095046_0106,1
10003901,111190-01_10208445_0101,1
10003901,111190-01_10208445_0102,1
10003901,111190-01_10208445_0104,1
10003901,111190-01_10208495_0101,1
10003901,111190-01_10208495_0103,1
10003901,111190-01_10208495_0104,1
10003901,111190-01_10240547_0101,1
10003901,111190-01_10240547_0105,1
10003901,111190-01_10240547_0109,1
10003901,111190-01_10500742_0101,1
10003901,111190-01_10095046_0104,1
10003901,111190-01_10500742_0105,1
10003901,111190-01_10579453_0100,1
10003901,111190-01_10535416_0101,1
10003901,111190-01_10515356_0105,1
10003901,111190-01_10515356_0103,1
10003901,111190-01_10515356_0101,1
10003901,111190-01_10510640_0109,1
10003901,111190-01_10510640_0110,1
10003901,111190-01_10510640_0107,1
10003901,111190-01_10510640_0106,1
10003901,111190-01_10510640_0105,1
10003901,111190-01_10510640_0104,1
10003901,111190-01_10510640_0103,1
10003901,111190-01_10510640_0108,1
10003901,111190-01_10500742_0102,1
10003903,111150-07_11033566_0100,1
10003903,123350-83_10203483_0300,1
10003903,123350-82_10203484_0300,1
10003903,111150-07_10701220_0100,1
10003903,111150-07_10208326_0100,1
10003903,111150-07_10082187_0400,1
10003903,111150-07_10082187_0300,1
10003903,111150-07_10220499_0100,1
10003953,135120-10_10954523_0100,1
10003953,135120-10_10261960_0100,1
10003953,135120-10_10086963_0100,1
10003953,135120-10_10075817_0100,1
10003953,135120-10_10015258_0300,1
10003953,123290-02_10075343_0200,1
10003953,111640-01_10010385_0100,1
10003953,111140-01_10002820_0100,1
10003953,100360-06_10097260_0100,1
10003953,123500-03_10205306_0100,1
10003974,111640-08_10544463_0800,1
10003974,123680-20_10993674_0100,1
10003974,123680-20_10993673_0100,1
10003974,123680-20_10955973_0200,1
10003974,123540-04_10001758_0100,1
10003974,111640-08_10086915_0800,1
10003974,111640-08_10204609_0800,1
10003974,111130-04_10003685_0100,1
10003974,100410-09_10998165_0100,1
10003974,100410-09_10996978_0100,1
10003974,100410-09_10561187_0200,1
10003974,100410-09_10253465_0100,1
10003974,111640-03_10086915_0330,1
10004057,100410-04_10068205_0300,1
10004057,100410-04_10068205_0400,1
10004061,100410-04_10068205_0400,1
10004061,100410-04_10068205_0300,1
10004144,124930-05_10089481_0510,1
10004144,124930-05_10202061_0500,1
10004144,124930-05_10202061_0501,1
10004144,124930-05_10208259_0500,1
10004144,110980-03_10087151_0800,1
10004144,124930-05_10214019_0510,1
10004144,124930-05_10503069_0502,1
10004144,124930-05_10089481_0500,1
10004144,124930-05_10214019_0500,1
10004144,124930-05_10012293_0503,1
10004144,111640-03_10206323_0300,1
10004144,124930-05_10012293_0501,1
10004144,124270-01_10606744_0400,1
10004144,111640-08_10206323_0800,1
10004144,124930-05_10543927_0500,1
10004144,111500-01_10082235_0200,1
10004144,111150-07_11033566_0100,1
10004144,111150-07_10701220_0100,1
10004144,111150-07_10208326_0100,1
10004144,111150-07_10082187_0400,1
10004144,111150-07_10082187_0300,1
10004144,124930-05_10012293_0502,1
10004144,124930-05_10925544_0500,1
10004144,124930-52_10584347_5200,1
10004144,124930-52_10005681_5200,1
10004144,134130-41_10175467_1300,1
10004144,134130-41_10175465_1300,1
10004144,134130-05_10175467_1400,1
10004144,134130-05_10175466_1700,1
10004144,134130-05_10175465_1400,1
10004144,124930-70_10209914_7000,1
10004144,124930-70_10097600_7010,1
10004144,124930-70_10097600_7000,1
10004144,124930-52_10977964_520B,1
10004144,124930-05_10936412_0500,1
10004144,124930-52_10612561_520B,1
10004144,124930-52_10584347_520B,1
10004144,124930-52_10582894_520B,1
10004144,124930-52_10612561_5201,1
10004144,124930-52_10612561_5200,1
10004144,124930-52_10611145_5201,1
10004144,124930-52_10611145_5200,1
10004144,124930-52_10584347_5201,1
10004144,124930-52_10582894_5201,1
10004144,124930-52_10582894_5200,1
10004144,124930-52_10611145_520B,1
10004144,110980-02_10240539_0702,1
10004144,124930-52_10977964_5200,1
10004144,110980-02_10240539_0700,1
10004144,110980-01_10080123_0707,1
10004144,110980-01_10080123_0705,1
10004144,110980-01_10080123_0701,1
10004144,110980-01_10080123_0700,1
10004144,110980-01_10018952_0704,1
10004144,110980-01_10018952_0702,1
10004144,110980-01_10018952_0701,1
10004144,110980-01_10018952_0700,1
10004144,110980-01_10016965_0706,1
10004144,110980-01_10087151_0701,1
10004144,110980-01_10016965_0703,1
10004144,110980-01_10016965_0700,1
10004144,110980-01_10015141_0706,1
10004144,110980-01_10015141_0705,1
10004144,110980-01_10015141_0702,1
10004144,110980-01_10015141_0700,1
10004144,110980-01_10001569_0706,1
10004144,110980-01_10001569_0703,1
10004144,110980-01_10001569_0702,1
10004144,110980-01_10001569_0701,1
10004144,110980-01_10016965_0702,1
10004144,110980-01_10087151_0702,1
10004144,110980-02_10240539_0701,1
10004144,110980-01_10087151_0704,1
10004144,110980-02_10233851_0202,1
10004144,110980-01_10087151_0703,1
10004144,110980-02_10233851_0200,1
10004144,110980-02_10080123_0202,1
10004144,110980-02_10080123_0201,1
10004144,110980-02_10080123_0200,1
10004144,110980-02_10018952_0201,1
10004144,110980-02_10018952_0200,1
10004144,110980-02_10016965_0201,1
10004144,110980-02_10016965_0200,1
10004144,110980-02_10015141_0200,1
10004144,110980-02_10233851_0201,1
10004144,110980-02_10006314_0700,1
10004144,110980-02_10006314_0701,1
10004144,110980-01_10233851_0700,1
10004144,110980-01_10233851_0703,1
10004144,110980-01_10233851_0706,1
10004144,110980-01_10233851_0701,1
10004144,110980-02_10001569_0201,1
10004144,110980-02_10004578_0700,1
10004144,110980-02_10004578_0701,1
10004144,110980-02_10001569_0200,1
10004193,135090-16_10886281_0100,1
10004193,135090-20_10892309_0100,1
10004193,135090-20_10886942_0100,1
10004193,135090-16_10918155_0200,1
10004193,135090-16_10892252_0200,1
10004193,135090-16_10888863_0100,1
10004193,135090-20_10892252_0100,1
10004193,135090-15_10402079_0200,1
10004193,135090-14_10974229_0100,1
10004193,135090-15_10095144_0300,1
10004193,135090-14_10967654_0100,1
10004193,135090-01_10204110_0100,1
10004193,135090-01_10080289_0200,1
10004193,135090-01_10072240_0300,1
10004193,135090-01_10007102_0400,1
10004193,135090-15_10214248_0200,1
10004196,151310-02_10964659_0100,1
10004196,151310-02_11003849_0100,1
10004196,151310-02_10964671_0100,1
10004196,151310-02_10964670_0100,1
10004196,151310-02_10964658_0100,1
10004196,151310-01_10022257_0400,1
10004196,151310-01_10033102_0300,1
10004196,151310-01_10022552_0300,1
10004196,151310-02_10964657_0100,1
10004196,151310-01_10015508_0200,1
10004196,151310-01_10000752_0400,1
10004265,135100-21_10005775_0600,1
10004266,135100-21_10005777_0500,1
10004320,100610-10_10599480_0140,1
10004320,100610-10_10599480_0130,1
10004320,100610-10_10599480_0120,1
10004320,100610-10_10016814_0200,1
10004320,100610-10_10599480_0110,1
10004320,100610-10_10016814_0130,1
10004320,100610-10_10016814_0120,1
10004320,100610-10_10016814_0110,1
10004320,100610-10_10016814_0140,1
10004337,110980-02_10940639_0200,1
10004337,110980-02_10938777_0200,1
10004337,110980-02_10938777_0201,1
10004337,110980-02_10938777_0202,1
10004337,110980-02_10811392_0200,1
10004337,110980-02_10939424_0200,1
10004337,110980-02_10940373_0700,1
10004337,110980-02_10940373_0701,1
10004337,110980-02_10940639_0201,1
10004337,110980-02_10953806_0202,1
10004337,110980-02_10942238_0200,1
10004337,110980-02_10942238_0201,1
10004337,110980-02_10942238_0202,1
10004337,110980-02_10942406_0200,1
10004337,110980-02_10953806_0200,1
10004337,110980-02_10953806_0201,1
10004337,110980-02_10553996_0101,1
10004337,110980-02_10973066_0200,1
10004337,110980-02_10973066_0201,1
10004337,110980-02_10973077_0200,1
10004337,110980-02_10940639_0202,1
10004337,110980-02_10553996_0100,1
10004337,110980-02_10085539_0701,1
10004337,110980-02_10233864_0200,1
10004337,110980-02_10973077_0201,1
10004337,110980-02_10008869_0800,1
10004337,110980-02_10010278_0200,1
10004337,110980-02_10010278_0201,1
10004337,110980-02_10016965_0800,1
10004337,110980-02_10016965_0801,1
10004337,110980-02_10001571_0202,1
10004337,110980-02_10064839_0700,1
10004337,110980-02_10064839_0701,1
10004337,110980-02_10067363_0700,1
10004337,110980-02_10067363_0701,1
10004337,110980-02_10067363_0702,1
10004337,110980-02_10080123_0800,1
10004337,110980-02_10080123_0801,1
10004337,110980-02_10080123_0802,1
10004337,110980-02_10085539_0700,1
10004337,110980-02_10208401_0200,1
10004337,110980-02_10208401_0202,1
10004337,110980-02_10233851_0800,1
10004337,110980-02_10233851_0801,1
10004337,110980-02_10233851_0802,1
10004337,110980-02_10233864_0201,1
10004337,110980-02_10985823_0100,1
10004337,123680-09_10013726_0300,1
10004337,110980-02_11023066_0200,1
10004337,111480-01_10207069_0200,1
10004337,111480-01_10214122_0300,1
10004337,111480-01_10233789_0200,1
10004337,111480-01_10293912_0300,1
10004337,111480-01_10504462_0300,1
10004337,111480-01_10513669_0200,1
10004337,111480-01_10539864_0100,1
10004337,111480-01_10576145_0100,1
10004337,111480-01_10705035_0100,1
10004337,111480-01_10204129_0100,1
10004337,111480-01_11007843_0100,1
10004337,111700-11_10867893_0100,1
10004337,136040-21_10892189_1100,1
10004337,123530-03_10939960_0200,1
10004337,124500-06_10017668_0900,1
10004337,124500-06_11037585_0100,1
10004337,134130-01_10502480_1500,1
10004337,134130-02_10070011_1400,1
10004337,134130-02_10072488_1400,1
10004337,110980-02_10001571_0201,1
10004337,111480-01_11022662_0100,1
10004337,111240-16_10500845_0200,1
10004337,111240-16_10241186_0201,1
10004337,111240-06_10500845_0100,1
10004337,110980-02_11023066_0201,1
10004337,110980-02_11023066_0202,1
10004337,110980-02_10938778_0200,1
10004337,110980-02_10938778_0201,1
10004337,110980-02_10941375_0201,1
10004337,110980-02_10939424_0201,1
10004337,111190-01_10001570_0100,1
10004337,111190-01_10016965_0101,1
10004337,111190-01_10016965_0103,1
10004337,111190-01_10016965_0105,1
10004337,111190-01_10211144_0101,1
10004337,111190-01_10211144_0106,1
10004337,111190-01_10211144_0108,1
10004337,111190-01_10213257_0100,1
10004337,111190-01_10213257_0101,1
10004337,111190-01_10213257_0102,1
10004337,111190-01_10234497_0101,1
10004337,111190-01_10234497_0106,1
10004337,111190-01_10234497_0107,1
10004337,111190-01_10213257_0103,1
10004337,111240-06_10241186_0200,1
10004337,110980-02_10985823_0101,1
10004337,110980-02_10001571_0200,1
10004337,110980-01_10000761_0704,1
10004337,110980-02_10001570_0201,1
10004337,110980-01_10010278_0702,1
10004337,110980-01_10010278_0707,1
10004337,110980-01_10016965_0900,1
10004337,110980-01_10016965_0901,1
10004337,110980-01_10016965_0902,1
10004337,110980-01_10016965_0903,1
10004337,110980-01_10061054_0700,1
10004337,110980-01_10061054_0701,1
10004337,110980-01_10061054_0703,1
10004337,110980-01_10010278_0701,1
10004337,110980-01_10061054_0704,1
10004337,110980-02_10001570_0202,1
10004337,110980-01_10080123_0902,1
10004337,110980-01_10080123_0903,1
10004337,110980-01_10233851_0900,1
10004337,110980-01_10233851_0901,1
10004337,110980-01_10233851_0902,1
10004337,110980-01_10233851_0903,1
10004337,110980-01_10233864_0700,1
10004337,110980-01_10233864_0701,1
10004337,110980-01_10080123_0900,1
10004337,110980-01_10010278_0700,1
10004337,110980-01_10008869_0900,1
10004337,110980-01_10001571_0706,1
10004337,110980-01_10000758_0700,1
10004337,110980-01_10000758_0701,1
10004337,110980-01_10000758_0703,1
10004337,110980-01_10000758_0705,1
10004337,110980-01_10000761_0700,1
10004337,110980-01_10000761_0701,1
10004337,110980-01_10000761_0703,1
10004337,110980-01_10001569_0800,1
10004337,110980-01_10001569_0801,1
10004337,110980-01_10001569_0802,1
10004337,110980-01_10001569_0803,1
10004337,110980-01_10001569_0804,1
10004337,110980-01_10001570_0700,1
10004337,110980-01_10001570_0701,1
10004337,110980-01_10001570_0702,1
10004337,110980-01_10001570_0703,1
10004337,110980-01_10001570_0704,1
10004337,110980-01_10001571_0700,1
10004337,110980-01_10001571_0701,1
10004337,110980-01_10001571_0702,1
10004337,110980-01_10001571_0704,1
10004337,110980-01_10233864_0702,1
10004337,110980-01_10233864_0703,1
10004337,110980-01_10080123_0901,1
10004337,110980-01_10811392_0100,1
10004337,110980-01_11023066_0103,1
10004337,110980-01_10938778_0100,1
10004337,110980-01_10938778_0101,1
10004337,110980-01_10938778_0102,1
10004337,110980-01_10938778_0103,1
10004337,110980-01_10208401_0100,1
10004337,110980-01_10208401_0101,1
10004337,110980-01_10208401_0102,1
10004337,110980-01_10233864_0704,1
10004337,110980-01_11023066_0102,1
10004337,110980-01_10939424_0101,1
10004337,110980-01_10942406_0101,1
10004337,110980-01_10942406_0102,1
10004337,110980-01_10941375_0102,1
10004337,110980-01_10941375_0103,1
10004337,110980-02_10000758_0200,1
10004337,110980-02_10000758_0201,1
10004337,110980-02_10000758_0202,1
10004337,110980-02_10001569_0900,1
10004337,110980-02_10001570_0200,1
10004337,110980-01_10939424_0102,1
10004337,110980-01_11023066_0101,1
10004337,110980-01_10208401_0103,1
10004337,110980-01_10953806_0103,1
10004337,110980-01_11023066_0100,1
10004337,110980-01_10811392_0101,1
10004337,110980-01_10811392_0103,1
10004337,110980-01_10938777_0100,1
10004337,110980-01_10938777_0101,1
10004337,110980-01_10938777_0102,1
10004337,110980-01_10938777_0103,1
10004337,110980-01_10939424_0100,1
10004337,110980-01_10940639_0100,1
10004337,110980-01_10940639_0101,1
10004337,110980-01_10811392_0102,1
10004337,110980-01_10940639_0103,1
10004337,110980-01_10941375_0101,1
10004337,110980-01_10942238_0100,1
10004337,110980-01_10942238_0101,1
10004337,110980-01_10942238_0102,1
10004337,110980-01_10942238_0103,1
10004337,110980-01_10942406_0100,1
10004337,110980-01_10953806_0100,1
10004337,110980-01_10940639_0102,1
10004337,110980-01_10953806_0101,1
10004337,110980-01_10953806_0102,1
10004368,100680-10_10716337_0110,1
10004368,100680-10_10933162_0110,1
10004368,100680-10_10200732_0210,1
10004368,100680-10_10209547_0210,1
10004472,135090-01_10072240_0300,1
10004472,124870-14_10234631_0600,1
10004472,123550-11_10205376_1000,1
10004472,123550-11_10068315_1000,1
10004472,123550-11_10067988_1000,1
10004472,123550-04_10096334_1200,1
10004472,123550-04_10096334_1100,1
10004472,111360-01_10564628_1000,1
10004472,111220-05_10072210_0500,1
10004472,111220-05_10018039_0500,1
10004472,111220-05_10001523_0500,1
10004472,111220-05_10001443_0500,1
10004472,123550-04_10096334_1000,1
10004512,123520-15_10235277_0200,1
10004512,123520-15_10908526_0100,1
10004632,140040-25_10006268_0500,1
10004632,140040-10_10235355_0100,1
10004635,100610-70_10707526_0220,1
10004635,100650-02_10513500_0110,1
10004635,100610-70_10004606_0200,1
10004665,134130-35_10521300_1500,1
10004728,134130-08_10872230_1300,1
10004776,111260-10_10538939_0500,1
10004776,111260-10_10538939_0300,1
10004776,111260-01_10863398_0100,1
10004776,111260-01_10781543_0100,1
10004776,111260-01_10538939_0100,1
10004776,111260-01_10997229_0100,1
10004776,111260-01_10210988_0500,1
10004776,111260-01_10095878_0500,1
10004776,111230-06_11036843_1111,1
10004776,111230-06_10204538_0200,1
10004776,111230-06_10204538_0100,1
10004776,111260-01_10210989_0500,1
10004808,124930-54_10586299_5400,1
10004808,124930-54_10089392_5400,1
10004808,124930-54_10089008_5410,1
10004808,124930-54_10089008_5400,1
10004808,124930-50_11040116_5000,1
10004808,124930-54_10081833_5400,1
10004808,124930-50_10559846_5010,1
10004808,124930-50_10559846_5000,1
10004808,124930-54_10586299_5410,1
10004808,124930-54_10081833_5410,1
10004808,124930-70_10007968_7000,1
10004808,124930-70_10084364_7010,1
10004808,124930-70_10063593_7000,1
10004808,124930-70_10063593_7010,1
10004808,124930-70_10071048_7000,1
10004808,124930-70_10071048_7010,1
10004808,124930-70_10084364_7000,1
10004808,124930-50_10206386_5010,1
10004808,124930-70_10586299_7000,1
10004808,124930-70_10586299_7010,1
10004808,124930-70_10910669_7000,1
10004808,124930-70_10910669_7010,1
10004808,124930-70_10007968_7010,1
10004808,124930-50_10206386_5000,1
10004808,124930-17_11040116_1700,1
10004808,124930-50_10071048_5010,1
10004808,124930-13_10007968_1300,1
10004808,124930-13_10010680_1300,1
10004808,124930-13_10010680_1310,1
10004808,124930-13_10016057_1300,1
10004808,124930-13_10016057_1310,1
10004808,124930-13_10071048_1300,1
10004808,124930-13_10071048_1310,1
10004808,124930-13_10089392_1300,1
10004808,124930-13_10206386_1300,1
10004808,124930-50_10089392_5000,1
10004808,124930-17_10016057_1700,1
10004808,124930-13_10206386_1310,1
10004808,124930-17_10016057_7000,1
10004808,124930-50_10071048_5000,1
10004808,124930-50_10016057_5010,1
10004808,124930-17_10016057_1710,1
10004808,124930-17_10559846_1710,1
10004808,124930-50_10016057_5000,1
10004808,124930-17_10206386_1710,1
10004808,124930-17_10206386_1700,1
10004808,124930-17_10089392_1700,1
10004808,124930-17_10016057_7010,1
10004808,124930-17_10559846_1700,1
10004837,151540-02_10544278_0200,1
10004837,151140-04_10208348_0100,1
10004837,151540-01_10002247_0110,1
10004837,151540-01_10544278_0100,1
10004837,151540-02_10002247_0200,1
10004838,124270-01_10543981_0200,1
10004838,112020-03_10608733_0100,1
10004838,112020-01_10511986_0100,1
10004838,112020-03_10608732_0100,1
10004843,111190-01_10219786_0101,1
10004843,111190-01_10207115_0101,1
10004843,111190-01_10207115_0104,1
10004843,111190-01_10208253_0104,1
10004843,111190-01_10208253_0105,1
10004843,111190-01_10209934_0111,1
10004843,111190-01_10219786_0102,1
10004843,111190-01_10219786_0103,1
10004843,111190-01_10504699_0102,1
10004843,111190-01_10713175_0100,1
10004843,111190-01_10713175_0101,1
10004843,111190-01_10773550_0100,1
10004843,111190-01_10773550_0101,1
10004843,111190-03_10207115_0300,1
10004843,111190-03_10208253_0300,1
10004843,111190-03_10209934_0301,1
10004843,111190-03_10219786_0300,1
10004843,111190-03_10294012_0301,1
10004843,111190-03_10504699_0300,1
10004843,111190-03_10585451_0301,1
10004843,111190-03_10596860_0300,1
10004843,111190-03_10606847_0300,1
10004843,111190-03_10713175_0300,1
10004843,111190-01_10201630_0111,1
10004843,111190-01_10201630_0103,1
10004843,111190-01_10207115_0105,1
10004843,111190-01_10200397_0107,1
10004843,110980-01_10065975_0500,1
10004843,110980-01_10065975_0501,1
10004843,110980-01_10065975_0502,1
10004843,110980-01_10209934_0800,1
10004843,110980-01_10209934_0801,1
10004843,110980-01_10209934_0802,1
10004843,110980-01_10504699_0701,1
10004843,111190-01_10201630_0100,1
10004843,110980-01_10504699_0703,1
10004843,110980-01_11003335_0100,1
10004843,110980-01_11003335_0101,1
10004843,110980-01_11003335_0102,1
10004843,110980-01_10504699_0702,1
10004843,110980-01_11035272_0100,1
10004843,110980-01_11003335_0103,1
10004843,111190-01_10200397_0101,1
10004843,111190-01_10065975_0111,1
10004843,111190-01_10065975_0105,1
10004843,111190-01_10200397_0105,1
10004843,111180-09_10504699_0500,1
10004843,111180-09_10294012_0100,1
10004843,111150-07_10220499_0100,1
10004843,111150-07_10208326_0100,1
10004843,111190-01_10065975_0101,1
10005004,111390-01_10292510_0101,1
10005004,111600-03_10006433_0500,1
10005004,123060-03_10084334_0300,1
10005004,123060-04_10084334_0400,1
10005056,123510-02_10004777_1000,1
10005092,100680-10_10716337_0110,1
10005092,100680-10_10595708_0110,1
10005092,100680-10_10597269_0110,1
10005092,100680-10_10606813_0110,1
10005092,100680-10_10701385_0110,1
10005092,100680-10_10747987_0110,1
10005092,100680-10_10579660_0110,1
10005092,100680-10_10935765_0110,1
10005092,100680-10_10960756_0110,1
10005092,100680-10_11030005_0110,1
10005092,100680-10_11030044_0110,1
10005092,100680-10_10238588_0110,1
10005092,100680-10_10933162_0110,1
10005092,100680-10_10554433_0110,1
10005092,100680-10_10873918_0110,1
10005092,100680-10_10516046_0110,1
10005092,100680-10_10002714_0210,1
10005092,100680-10_10016636_0310,1
10005092,100680-10_10019147_0210,1
10005092,100680-10_10061959_0210,1
10005092,100680-10_10084756_0110,1
10005092,100680-10_10518552_0110,1
10005092,100680-10_10017373_0110,1
10005092,100680-10_10206607_0210,1
10005092,100680-10_10209891_0210,1
10005092,100680-10_10214024_0110,1
10005092,100680-10_10215307_0110,1
10005092,100680-10_10270190_0110,1
10005092,100680-10_10096959_0310,1
10005177,135100-04_10006110_0500,1
10005177,135100-21_10006110_0700,1
10005212,111240-12_10017937_0100,1
10005214,136060-10_10078236_0500,1
10005214,111040-01_10086660_0800,1
10005214,111040-01_10002211_0500,1
10005214,111040-01_10002211_0400,1
10005214,111040-01_10002153_0400,1
10005214,111040-01_10002153_0500,1
10005214,136060-10_10234734_0200,1
10005214,111040-04_10002153_0100,1
10005214,111640-07_10072378_0700,1
10005214,111040-04_10086660_0300,1
10005214,111040-04_10002211_0300,1
10005214,111040-04_10002211_0100,1
10005214,111040-04_10002153_0300,1
10005214,123510-05_10000768_1000,1
10005418,135130-18_10993040_0400,1
10005418,136040-18_10214644_0100,1
10005418,135130-25_10213750_0400,1
10005418,135130-19_10213750_0200,1
10005418,135130-18_10234277_0400,1
10005418,135130-18_10234225_0400,1
10005418,135130-18_10213750_0500,1
10005418,135120-08_10993040_0100,1
10005418,135120-08_10025195_0200,1
10005418,135120-01_10967650_0100,1
10005473,123380-03_58699921_0300,1
10005473,123380-03_58693622_0350,1
10005473,123380-03_58679459_0101,1
10005473,123380-03_58660105_0318,1
10005473,123380-03_58660105_0310,1
10005473,123380-03_58660105_0308,1
10005473,123410-15_10849324_0200,1
10005473,123380-03_58699921_0308,1
10005473,123380-03_58630054_0401,1
10005473,123380-03_58589956_0101,1
10005473,123380-03_58586337_0101,1
10005473,123380-03_58579148_0350,1
10005473,123380-03_58660105_0300,1
10005473,123380-03_58699921_0310,1
10005473,123380-03_58874298_0401,1
10005473,123380-03_58573139_0318,1
10005473,123380-03_58992367_0300,1
10005473,123380-03_58992367_0308,1
10005473,123380-03_58992367_0318,1
10005473,123380-03_50440760_0300,1
10005473,123380-03_50440760_0308,1
10005473,123380-03_50440760_0310,1
10005473,123380-03_50440760_0318,1
10005473,123380-03_58021410_0101,1
10005473,123380-03_58010056_0600,1
10005473,123380-03_58026484_0401,1
10005473,123380-03_58026491_0350,1
10005473,123380-03_58026507_0101,1
10005473,123380-03_58040282_0300,1
10005473,123380-03_58699921_0318,1
10005473,123380-03_58573139_0310,1
10005473,123380-03_58657433_0350,1
10005473,123380-03_58573139_0300,1
10005473,123380-03_58573139_0308,1
10005473,123380-03_10205781_0401,1
10005473,123380-03_10291559_0300,1
10005473,123380-03_10291559_0308,1
10005473,123380-03_10291559_0310,1
10005473,123380-03_10291559_0318,1
10005473,123380-03_10516835_0101,1
10005473,123380-03_10775768_0350,1
10005473,123380-03_10870412_0350,1
10005473,123380-03_58007025_0101,1
10005473,123380-03_58333047_0101,1
10005473,123380-03_58365864_0101,1
10005473,123380-03_58476522_0300,1
10005473,123380-03_58476522_0308,1
10005473,123380-03_58476522_0310,1
10005473,123380-03_58992367_0310,1
10005473,123380-03_58493727_0300,1
10005473,123380-03_58563123_0318,1
10005473,123380-03_58563123_0310,1
10005473,123380-03_58563123_0308,1
10005473,123380-03_58563123_0300,1
10005473,123380-03_58562874_0101,1
10005473,123380-03_58561402_0401,1
10005473,123380-03_58561396_0401,1
10005473,123380-03_58476522_0318,1
10005473,123380-03_58517966_0401,1
10005473,123380-03_58495875_0401,1
10005473,123380-03_58494090_0101,1
10005473,123380-03_58493727_0318,1
10005473,123380-03_58493727_0308,1
10005473,123380-03_58493727_0310,1
10005473,123380-03_58560177_0101,1
10005475,134130-32_10884342_1700,1
10005475,134130-32_10716959_1600,1
10005475,134130-32_10233815_1600,1
10005475,134130-32_10081624_1600,1
10005475,134130-31_10884342_1500,1
10005475,134130-31_10716959_1500,1
10005475,134130-31_10233815_1500,1
10005475,134130-31_10085070_1500,1
10005475,134130-31_10712493_1500,1
10005475,134130-31_10081624_1500,1
10005489,123590-02_10205766_0400,1
10005489,124870-04_10082569_0500,1
10005489,124870-04_10082569_0500,1
10005489,123590-06_10519403_0200,1
10005489,123590-04_10554716_0400,1
10005489,123590-04_10205766_0500,1
10005489,123590-02_10554716_0200,1
10005489,123590-01_10554716_0100,1
10005489,123530-04_10018641_0801,1
10005489,123590-01_10205766_0301,1
10005489,111240-06_10709255_0100,1
10005489,111240-06_10911052_0100,1
10005489,111240-06_10559565_0200,1
10005489,111240-06_11018259_0100,1
10005489,111240-06_10913351_0100,1
10005489,123530-04_10018641_0800,1
10005510,100610-10_10226202_0110,1
10005510,100610-10_10226202_0120,1
10005510,100610-10_10226202_0130,1
10005510,100610-10_10226202_0140,1
10005510,100650-01_10956782_0110,1
10005510,100710-20_10994197_0110,1
10005561,123510-02_10000685_1000,1
10005561,123510-02_10011329_1000,1
10005561,123510-02_10019448_1000,1
10005565,140040-22_10004632_0400,1
10005565,162150-01_10004472_1000,1
10005565,123600-01_10228315_0300,1
10005565,123600-01_10228315_0301,1
10005576,135100-04_10006190_0200,1
10005576,135100-21_10006190_0500,1
10005622,124950-15_10005689_0300,1
10005622,124950-15_10005689_0310,1
10005681,124950-15_10005619_0200,1
10005681,124950-15_10005619_0210,1
10005767,135130-22_10025283_0400,1
10005775,135130-22_10023245_0400,1
10005777,135130-22_10024095_0400,1
10006003,111190-01_10070664_0101,1
10006003,111190-01_10986196_0100,1
10006003,134130-05_10714352_1300,1
10006066,123540-12_10006068_0100,1
10006068,123680-05_10520769_0700,1
10006098,100600-01_10209975_0210,1
10006098,100600-01_10015696_0210,1
10006099,100600-01_10017043_0210,1
10006099,100600-05_10017043_0210,1
10006110,135130-22_10027127_0400,1
10006244,111640-01_10010385_0100,1
10006244,123500-03_10205306_0100,1
10006244,140040-12_10072875_0200,1
10006244,151140-01_10002173_0300,1
10006244,151140-01_10004837_0100,1
10006244,151140-02_10577602_0200,1
10006244,151210-06_10072056_0700,1
10006244,151210-06_10081835_0700,1
10006244,151210-06_10089438_0700,1
10006244,151210-06_10587921_0600,1
10006244,151210-06_10587921_0700,1
10006244,151210-44_10010742_0100,1
10006244,151210-51_10002209_0500,1
10006248,162430-08_10006251_0700,1
10006248,162010-02_10554239_0200,1
10006251,162430-01_10072807_0100,1
10006251,162430-02_10072807_0200,1
10006268,124270-02_10592492_0100,1
10006268,124270-02_10703764_0100,1
10006268,124270-02_10706902_0100,1
10006268,124270-02_10714440_0100,1
10006268,124270-02_10781412_0100,1
10006268,124270-02_10810516_0100,1
10006268,124270-02_10873829_0100,1
10006268,124270-02_10881244_0100,1
10006268,124270-02_10912755_0100,1
10006268,124270-02_10912755_0200,1
10006268,124270-02_10955721_0100,1
10006268,124270-02_10963393_0100,1
10006268,124270-02_10968116_0100,1
10006268,124270-02_10873833_0100,1
10006268,124270-01_11040331_0100,1
10006268,124270-01_10983324_0100,1
10006268,124270-01_11033597_0100,1
10006268,124270-01_10915474_0200,1
10006268,124270-01_10928117_0100,1
10006268,124270-01_10934834_0100,1
10006268,124270-01_10954943_0100,1
