K,P,h
10000440,111230-06_10008111_0100,1
10000440,111230-06_10008111_0200,1
10000440,111230-06_10064402_0100,1
10000440,111230-06_10064402_0200,1
10000440,111230-06_10067660_0100,1
10000440,111230-06_10067660_0200,1
10000440,111230-06_10070668_0100,1
10000440,111230-06_10070668_0200,1
10000440,111230-06_10087187_0200,1
10000440,111230-06_10201798_0100,1
10000440,111230-06_10201798_0200,1
10000440,111230-06_10202135_0100,1
10000440,111230-06_10202135_0200,1
10000440,111230-06_10204538_0100,1
10000440,111230-06_10204538_0200,1
10000440,111230-06_10207201_0100,1
10000440,111230-06_10207201_0200,1
10000440,111230-06_10210990_0100,1
10000440,111230-06_10210990_0200,1
10000440,111230-06_10211150_0100,1
10000440,111230-06_10211150_0200,1
10000440,111230-06_10211274_0100,1
10000440,111230-06_10211274_0200,1
10000440,111230-06_10211276_0100,1
10000440,111230-06_10211276_0200,1
10000440,111230-06_10234339_0600,1
10000440,111230-06_10923977_0100,1
10000440,111230-06_10925745_1111,1
10000440,111230-06_10882870_0100,1
10000440,111230-06_10933957_0200,1
10000440,111230-06_11036843_1111,1
10000440,111230-06_10990525_0100,1
10000440,111230-06_10991906_0300,1
10000440,111230-06_10933957_0100,1
10000440,111230-06_11041537_1111,1
10000440,111230-06_11042219_1111,1
10000440,111230-16_10204285_0100,1
10000440,111240-12_10017937_0100,1
10000440,111240-12_10207217_0100,1
10000440,111240-16_10061404_0200,1
10000440,111240-21_10000416_0300,1
10000440,111240-21_10000427_0300,1
10000440,111240-21_10000433_0300,1
10000440,111240-21_10208776_0300,1
10000440,111230-06_11038103_1111,1
10000440,111240-21_10506855_0300,1
10000440,111260-01_10000411_0600,1
10000440,111260-01_10064208_0500,1
10000440,111260-01_10070668_0500,1
10000440,111260-01_10075658_0600,1
10000440,111260-01_10087187_0500,1
10000440,111260-01_10088092_0520,1
10000440,111260-01_10200358_0400,1
10000440,111260-01_10200990_0500,1
10000440,111260-01_10206982_0620,1
10000440,111260-01_10207201_0510,1
10000440,111260-01_10210827_0510,1
10000440,111260-01_10210987_0620,1
10000440,111260-01_10210989_0500,1
10000440,111260-01_10211274_0300,1
10000440,111240-21_10518812_0200,1
10000440,111230-06_11037808_1111,1
10000440,111230-06_11038731_1111,1
10000440,111230-06_10880595_0300,1
10000440,111230-06_10934610_0200,1
10000440,111230-06_10934610_0300,1
10000440,111230-06_10957089_0300,1
10000440,111230-06_10965899_0300,1
10000440,111230-06_10970539_0200,1
10000440,111230-06_10975622_1111,1
10000440,111230-06_10975650_0200,1
10000440,111230-06_10975650_0300,1
10000440,111230-06_10999744_0100,1
10000440,111230-06_10981341_1111,1
10000440,111230-06_10990525_1111,1
10000440,111230-06_10991906_1111,1
10000440,111230-06_10991907_1111,1
10000440,111230-06_10992173_0100,1
10000440,111230-06_10977545_1111,1
10000440,111230-06_10994393_0100,1
10000440,111230-06_10999744_1111,1
10000440,111230-06_10992173_0200,1
10000440,111230-06_11017634_1111,1
10000440,111230-06_11010808_1111,1
10000440,111230-06_11010065_0300,1
10000440,111230-06_11010065_0200,1
10000440,111230-06_11017665_1111,1
10000440,111230-06_11001698_1111,1
10000440,111230-06_10999735_1111,1
10000440,111230-06_10999733_0300,1
10000440,111230-06_10999733_0200,1
10000440,111230-06_10994393_0200,1
10000440,111230-06_11001837_1111,1
10000441,111230-06_10814907_0100,1
10000441,111230-06_10814907_0200,1
10000441,111230-06_10839115_1111,1
10000441,111230-06_10861977_1111,1
10000441,111230-06_10923977_0100,1
10000441,111230-06_11010808_1111,1
10000441,111240-21_10506855_0300,1
10000441,111230-06_11019881_1111,1
10000441,111230-06_10999744_1111,1
10000441,111230-06_10999744_0100,1
10000441,111230-06_10739817_0300,1
10000441,111230-06_11001698_1111,1
10000441,111230-06_10739817_0200,1
10000441,111230-06_11001837_1111,1
10000441,111230-06_10603449_0100,1
10000441,111230-06_10063694_0600,1
10000441,111230-06_10063713_0100,1
10000441,111230-06_10063713_0200,1
10000441,111230-06_10067660_0100,1
10000441,111230-06_10067660_0200,1
10000441,111230-06_10603449_0300,1
10000441,111230-06_10077490_0200,1
10000441,111230-06_10087071_0100,1
10000441,111230-06_10087071_0200,1
10000441,111230-06_10211150_0100,1
10000441,111230-06_10211150_0200,1
10000441,111230-06_10077490_0100,1
10000446,111860-40_10869482_0071,1
10000446,111860-40_10860884_0081,1
10000446,111860-40_10860884_0070,1
10000446,111860-40_10076484_0071,1
10000446,111800-01_10911524_0100,1
10000446,111800-01_10001703_0100,1
10000461,123680-05_10911159_0400,1
10000461,123680-05_10911159_0400,1
10000461,123680-23_10911159_0500,1
10000464,135120-10_10261960_0100,1
10000464,135120-10_10086963_0100,1
10000464,135120-10_10954523_0100,1
10000464,135120-10_10015258_0300,1
10000464,135120-10_10075817_0100,1
10000467,123540-05_10006066_0100,1
10000474,124550-01_10555858_1000,1
10000476,111040-01_10000712_0500,1
10000476,124870-03_11022888_0100,1
10000476,124870-03_10061329_0500,1
10000476,124870-16_10211758_0100,1
10000476,111700-03_10003670_0500,1
10000476,111360-01_10564628_1000,1
10000476,111040-04_10000712_0200,1
10000476,124270-01_10077451_0500,1
10000484,111190-03_10205499_0301,1
10000484,123020-24_11006316_0100,1
10000484,123020-24_10962223_0700,1
10000484,111580-04_10062585_0400,1
10000484,111240-06_11018259_0100,1
10000484,111190-03_10990438_0300,1
10000484,123590-06_11016416_0100,1
10000484,111190-03_10848567_0400,1
10000484,111190-03_10205499_0300,1
10000484,111190-01_10849141_0101,1
10000484,111190-01_10990438_0101,1
10000484,111190-01_10990438_0102,1
10000484,111180-08_10608407_0100,1
10000484,111190-01_10205499_0400,1
10000484,111190-01_10205499_0401,1
10000484,111190-01_10849141_0100,1
10000484,111190-01_10849141_0102,1
10000484,111190-01_10990438_0100,1
10000484,111190-01_10205499_0402,1
10000553,140500-01_10001181_0500,1
10000554,123410-15_10014806_0200,1
10000554,123410-15_10014806_0210,1
10000554,123410-15_10071258_0300,1
10000560,123550-10_10219791_1000,1
10000561,123550-09_11040141_1000,1
10000561,123550-09_10067291_1000,1
10000561,123550-10_10219792_1100,1
10000566,111040-01_10001590_0900,1
10000566,124930-70_10213638_7000,1
